epsilon,idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after)
"0,1",4,9,7,504,11,5.2575863790214585,2.598349223087826
"0,1",19,9,7,522,19,4.722280253844296,2.557891047883239
"0,1",22,9,7,548,13,4.9337899972560875,2.4793557472021153
"0,1",33,9,7,513,17,4.467928345282349,2.5354965571331665
"0,1",43,9,7,520,16,4.843773872583208,2.728772181091969
"0,1",45,9,7,483,13,4.999829293510382,2.8361672509083364
"0,1",48,9,7,619,41,5.032400976915933,3.2152606126691774
"0,1",54,9,7,499,5,4.884152751182728,1.4238372702270645
"0,1",57,9,7,509,13,4.620113824282599,2.138351940071569
"0,1",87,9,7,500,8,5.1721283035134205,2.2551406523283486
"0,1",110,9,7,531,20,5.395431447761811,2.944570590610984
"0,1",116,9,7,504,13,4.969483189227256,2.794763599224068
"0,1",133,9,7,517,10,4.402934954872679,2.263234391655551
"0,1",153,9,7,528,12,4.260449983724913,2.0316942738642796
"0,1",154,9,7,499,11,5.131241803424721,2.4872979893784675
"0,1",162,9,7,550,12,5.25522240755463,2.651766329719797
"0,1",167,9,7,507,16,5.038522879055742,2.5701387561146247
"0,1",170,9,7,514,12,4.751680736255358,2.4485038468507785
"0,1",172,9,7,501,2,4.421816870558424,1.0565043591848295
"0,1",176,9,7,543,11,4.718329942589403,2.1654943150708994
"0,1",183,9,7,477,12,5.0768231233478405,2.6465504232183914
"0,1",195,9,7,518,14,4.952171085708767,2.6853755473053225
"0,1",226,9,7,541,6,4.971147820146781,1.9340212752098267
"0,1",227,9,7,527,15,4.937078911034268,2.2320960955172207
"0,1",247,9,7,535,5,4.773526894840247,2.0123341318499723
"0,1",264,9,7,643,10,5.669664720176643,2.3145827590976378
"0,1",267,9,7,525,9,4.5832434719092685,1.8633559369973034
"0,1",280,9,7,529,10,4.7267267115429075,2.237137183065768
"0,1",282,9,7,634,8,5.307641405149688,2.0806314659721425
"0,1",285,9,7,547,4,4.640678999491001,1.7209074615880662
"0,1",304,9,7,560,11,4.887984782362037,1.9451217582361537
"0,1",313,9,7,525,4,4.82678512793767,1.783154115756194
"0,1",319,9,7,504,9,5.21168503457893,2.2777529279127595
"0,1",322,9,7,573,29,5.24833361811277,2.8468670599276655
"0,1",334,9,7,563,15,6.028355399251502,2.7145810733317375
"0,1",344,9,7,567,22,5.669967150647977,3.427450980392157
"0,1",346,9,7,536,22,6.118628629147428,3.150218315057855
"0,1",350,9,7,548,17,5.165421958190007,3.0060761228362205
"0,1",362,9,7,553,8,5.038516774604027,2.1382836164312597
"0,1",364,9,7,588,8,4.895765496842848,1.7951363228266868
"0,1",374,9,7,556,17,4.9393367256651,2.325420757485923
"0,1",383,9,7,518,10,5.088017298590621,2.6390612663503936
"0,1",389,9,7,512,18,5.196047354698042,2.5779951916163313
"0,1",409,9,7,518,8,4.994332812904964,2.132799817947559
"0,1",419,9,7,510,7,4.932335695130442,2.105382056174269
"0,1",423,9,7,504,8,4.7593870094669075,2.1765695084392047
"0,1",424,9,7,592,12,5.500772725417882,2.793913305221446
"0,1",428,9,7,560,17,5.395130730732265,2.8382080326504093
"0,1",434,9,7,614,8,5.122706536653156,2.049225057717675
"0,1",441,9,7,527,8,4.703728265159929,2.032833148909016
"0,1",460,9,7,555,13,5.196541599778785,2.4795945396622097
"0,1",471,9,7,519,12,4.972719116284159,2.6975404235698752
"0,1",482,9,7,547,7,5.494736217994827,2.2226128068897313
"0,1",487,9,7,514,8,4.679328678146449,1.8181112845009464
"0,1",501,9,7,524,9,4.793952040124538,2.2159048998507633
"0,1",520,9,7,526,14,5.779458247912989,3.0689801213116006
"0,1",525,9,7,496,10,5.019185031212447,2.6652274086016954
"0,1",529,9,7,493,6,5.314489489972057,1.8986832483756835
"0,1",550,9,7,541,12,5.018552278719499,2.5647178748895127
"0,1",566,9,7,558,17,5.080419022034143,2.914435297386584
"0,1",580,9,7,522,19,5.0020680075517,2.7171773354069497
"0,1",583,9,7,514,10,4.9607409127761235,2.3022279966498207
"0,1",589,9,7,520,7,5.246581062102721,2.0082413820737752
"0,1",595,9,7,508,7,4.6461552857034025,1.874452374212554
"0,1",600,9,7,539,16,4.393935214209088,2.5542811458884955
"0,1",601,9,7,537,11,5.14877767751455,2.091486928040747
"0,1",621,9,7,540,14,5.0421399922704655,2.5212941636984842
"0,1",626,9,7,511,25,6.411168647715502,3.90174006667105
"0,1",631,9,7,526,6,5.323579604717699,2.048147858464951
"0,1",641,9,7,502,6,5.1877995459714015,1.9636567195969616
"0,1",687,9,7,501,18,5.514947009978955,3.380551381537359
"0,1",704,9,7,524,21,6.309875820645943,3.5713822592702207
"0,1",707,9,7,490,8,5.140017218730182,2.3797427805654148
"0,1",727,9,7,518,13,5.127943964603533,2.7452745041320172
"0,1",741,9,7,521,17,5.0705791365188375,2.776528746482942
"0,1",744,9,7,563,13,4.748282839822326,1.6359334810679333
"0,1",755,9,7,506,18,5.380017708344387,3.061931553219521
"0,1",763,9,7,503,16,5.516743937126325,3.150828479567065
"0,1",764,9,7,552,15,5.365643192971288,2.970867132445791
"0,1",772,9,7,488,10,6.341661494540827,2.4543130283989254
