idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after),epsilon
4,9,7,504,9,5.257586379,2.596652978,"0,1"
19,9,7,522,16,4.722280254,2.554819947,"0,1"
22,9,7,548,11,4.933789997,2.366747079,"0,1"
33,9,7,513,15,4.467928345,2.503030075,"0,1"
43,9,7,520,17,4.843773873,2.731191667,"0,1"
45,9,7,483,13,4.999829294,2.944364286,"0,1"
48,9,7,619,35,5.032400977,3.235857348,"0,1"
54,9,7,499,6,4.884152751,1.859547307,"0,1"
57,9,7,509,15,4.620113824,2.1306969,"0,1"
87,9,7,500,6,5.172128304,1.86378093,"0,1"
110,9,7,531,25,5.395431448,3.186300452,"0,1"
116,9,7,504,12,4.969483189,2.78642836,"0,1"
133,9,7,517,10,4.402934955,2.263234392,"0,1"
153,9,7,528,9,4.260449984,2.11722218,"0,1"
154,9,7,499,9,5.131241803,2.309387758,"0,1"
162,9,7,550,13,5.255222408,2.639090403,"0,1"
167,9,7,507,15,5.038522879,2.5259773,"0,1"
170,9,7,514,14,4.751680736,2.397387403,"0,1"
172,9,7,501,2,4.421816871,0.941217319,"0,1"
176,9,7,543,9,4.718329943,2.230986562,"0,1"
183,9,7,477,14,5.076823123,2.817703685,"0,1"
195,9,7,518,14,4.952171086,2.715226832,"0,1"
226,9,7,541,7,4.97114782,2.004658166,"0,1"
227,9,7,527,13,4.937078911,2.203562178,"0,1"
247,9,7,535,14,4.773526895,2.407990032,"0,1"
264,9,7,643,10,5.66966472,2.353388846,"0,1"
267,9,7,525,14,4.583243472,2.046611776,"0,1"
280,9,7,529,14,4.726726712,2.173766205,"0,1"
282,9,7,634,8,5.307641405,2.080631466,"0,1"
285,9,7,547,4,4.640678999,1.720907462,"0,1"
304,9,7,560,11,4.887984782,1.945121758,"0,1"
313,9,7,525,4,4.826785128,1.801135957,"0,1"
319,9,7,504,19,5.211685035,2.944902215,"0,1"
322,9,7,573,29,5.248333618,2.879654599,"0,1"
334,9,7,563,13,6.028355399,2.860608926,"0,1"
344,9,7,567,24,5.669967151,3.42892686,"0,1"
346,9,7,536,25,6.118628629,3.249033216,"0,1"
350,9,7,548,11,5.165421958,2.586517552,"0,1"
362,9,7,553,5,5.038516775,1.863607643,"0,1"
364,9,7,588,8,4.895765497,1.795136323,"0,1"
374,9,7,556,18,4.939336726,2.407022278,"0,1"
383,9,7,518,10,5.088017299,2.639061266,"0,1"
389,9,7,512,26,5.196047355,3.081704267,"0,1"
409,9,7,518,14,4.994332813,2.163291666,"0,1"
419,9,7,510,7,4.932335695,2.105382056,"0,1"
423,9,7,504,9,4.759387009,2.241895996,"0,1"
424,9,7,592,14,5.500772725,2.88110684,"0,1"
428,9,7,560,13,5.395130731,2.455503278,"0,1"
434,9,7,614,8,5.122706537,2.049225058,"0,1"
441,9,7,527,8,4.703728265,2.032833149,"0,1"
460,9,7,555,10,5.1965416,2.509025615,"0,1"
471,9,7,519,10,4.972719116,2.547707053,"0,1"
482,9,7,547,8,5.494736218,2.226377123,"0,1"
487,9,7,514,8,4.679328678,1.774045005,"0,1"
501,9,7,524,8,4.79395204,2.069325224,"0,1"
520,9,7,526,18,5.779458248,2.981911378,"0,1"
525,9,7,496,14,5.019185031,2.642738668,"0,1"
529,9,7,493,7,5.31448949,2.20789886,"0,1"
550,9,7,541,17,5.018552279,2.645434505,"0,1"
566,9,7,558,14,5.080419022,2.826371119,"0,1"
580,9,7,522,15,5.002068008,2.917114647,"0,1"
583,9,7,514,13,4.960740913,2.231458698,"0,1"
589,9,7,520,7,5.246581062,2.008241382,"0,1"
595,9,7,508,7,4.646155286,2.075002721,"0,1"
600,9,7,539,19,4.393935214,2.589135316,"0,1"
601,9,7,537,12,5.148777678,1.942016059,"0,1"
621,9,7,540,14,5.042139992,2.521294164,"0,1"
626,9,7,511,27,6.411168648,4.017815,"0,1"
631,9,7,526,6,5.323579605,2.083080261,"0,1"
641,9,7,502,6,5.187799546,2.066711314,"0,1"
687,9,7,501,23,5.51494701,3.562975485,"0,1"
704,9,7,524,20,6.309875821,3.436838224,"0,1"
707,9,7,490,11,5.140017219,2.568950736,"0,1"
727,9,7,518,19,5.127943965,2.997810299,"0,1"
741,9,7,521,16,5.070579137,2.748739881,"0,1"
744,9,7,563,9,4.74828284,1.463990428,"0,1"
755,9,7,506,21,5.380017708,3.091708598,"0,1"
763,9,7,503,13,5.516743937,3.076424974,"0,1"
764,9,7,552,15,5.365643193,3.071391977,"0,1"
772,9,7,488,13,6.341661495,2.689478553,"0,1"
782,9,7,565,13,5.196868604,2.689269834,"0,1"
788,9,7,550,32,6.617883801,3.663601529,"0,1"
793,9,7,512,13,4.780620561,2.722585559,"0,1"
800,9,7,521,10,5.789289983,2.65478321,"0,1"
806,9,7,528,17,5.225088091,2.846764421,"0,1"
812,9,7,538,14,4.919052556,2.835695467,"0,1"
822,9,7,557,8,4.364756972,1.733661578,"0,1"
826,9,7,642,12,6.843675466,2.661953736,"0,1"
827,9,7,509,29,5.197466333,3.182506973,"0,1"
864,9,7,560,10,4.422976603,1.903682261,"0,1"
887,9,7,480,15,5.600818307,3.127349559,"0,1"
900,9,7,589,15,4.456962379,2.197251087,"0,1"
902,9,7,538,14,5.893294399,2.363151051,"0,1"
929,9,7,514,42,5.687780734,3.627830399,"0,1"
930,9,7,528,12,5.282304904,2.505112036,"0,1"
932,9,7,568,17,4.765619214,3.047881384,"0,1"
940,9,7,559,16,5.222098373,2.334884968,"0,1"
974,9,7,610,42,6.825126025,4.394691146,"0,1"
980,9,7,522,28,5.24646821,3.280858001,"0,1"
1005,9,7,504,27,6.260558018,3.751566122,"0,1"
1027,9,7,538,13,4.452341504,1.729549592,"0,1"
1036,9,7,500,6,5.045742321,2.076728862,"0,1"
1038,9,7,563,11,5.503721435,2.146699764,"0,1"
1056,9,7,559,13,5.157681289,2.744655427,"0,1"
1061,9,7,510,16,4.639860396,2.424151199,"0,1"
1066,9,7,508,3,5.181356874,1.597080189,"0,1"
1083,9,7,521,18,6.277321674,3.345304915,"0,1"
1103,9,7,507,19,5.423554932,2.939220264,"0,1"
1112,9,7,536,17,5.013930613,2.657608607,"0,1"
1116,9,7,522,13,5.177290488,2.135646094,"0,1"
1122,9,7,492,7,4.513376249,1.97907547,"0,1"
1138,9,7,538,4,4.240176924,1.6097263,"0,1"
1142,9,7,554,25,5.85268466,3.180940936,"0,1"
1147,9,7,526,30,5.905366746,3.656879041,"0,1"
1161,9,7,511,10,5.09489043,2.672033239,"0,1"
1167,9,7,536,23,5.340550192,3.176378599,"0,1"
1169,9,7,553,24,5.157493438,3.128128883,"0,1"
1173,9,7,524,11,4.565066356,2.352839867,"0,1"
1177,9,7,545,22,5.424143274,2.992018088,"0,1"
1194,9,7,646,34,5.672715409,3.091827976,"0,1"
1221,9,7,522,7,6.398953442,2.133751401,"0,1"
1235,9,7,509,13,6.113490292,2.959612805,"0,1"
1250,9,7,511,8,4.756854663,2.130603068,"0,1"
1256,9,7,586,4,4.876900649,1.707670913,"0,1"
1272,9,7,534,24,5.681282461,2.950369945,"0,1"
1274,9,7,521,24,5.304731554,3.165973942,"0,1"
1282,9,7,559,30,5.563907141,3.559620178,"0,1"
1284,9,7,560,11,4.216273557,1.675561042,"0,1"
1286,9,7,554,13,4.728293042,2.451457209,"0,1"
1291,9,7,512,9,5.831467489,2.199024634,"0,1"
