idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after),epsilon
4,9,7,504,9,5.257586379,2.490097265,"0,1"
19,9,7,522,16,4.722280254,2.556537932,"0,1"
22,9,7,548,8,4.933789997,2.156702311,"0,1"
33,9,7,513,16,4.467928345,2.407306576,"0,1"
43,9,7,520,13,4.843773873,2.755707788,"0,1"
45,9,7,483,11,4.999829294,2.9445497,"0,1"
48,9,7,619,23,5.032400977,2.980015456,"0,1"
54,9,7,499,6,4.884152751,1.84163894,"0,1"
57,9,7,509,13,4.620113824,2.315174023,"0,1"
87,9,7,500,5,5.172128304,1.81878362,"0,1"
110,9,7,531,25,5.395431448,3.172158778,"0,1"
116,9,7,504,13,4.969483189,2.771647522,"0,1"
133,9,7,517,8,4.402934955,1.996409696,"0,1"
153,9,7,528,8,4.260449984,1.877620686,"0,1"
154,9,7,499,13,5.131241803,2.501376784,"0,1"
162,9,7,550,10,5.255222408,2.668860113,"0,1"
167,9,7,507,10,5.038522879,2.843656477,"0,1"
170,9,7,514,10,4.751680736,2.4816187,"0,1"
172,9,7,501,3,4.421816871,1.064711299,"0,1"
176,9,7,543,8,4.718329943,2.173369987,"0,1"
183,9,7,477,10,5.076823123,2.701192298,"0,1"
195,9,7,518,11,4.952171086,2.531414316,"0,1"
226,9,7,541,6,4.97114782,2.074884135,"0,1"
227,9,7,527,6,4.937078911,1.839863593,"0,1"
247,9,7,535,5,4.773526895,1.657028649,"0,1"
264,9,7,643,12,5.66966472,2.322856691,"0,1"
267,9,7,525,5,4.583243472,1.688853477,"0,1"
280,9,7,529,11,4.726726712,2.066502951,"0,1"
282,9,7,634,8,5.307641405,2.077476658,"0,1"
285,9,7,547,4,4.640678999,1.720907462,"0,1"
304,9,7,560,9,4.887984782,1.835030147,"0,1"
313,9,7,525,4,4.826785128,1.739988112,"0,1"
319,9,7,504,11,5.211685035,2.509699753,"0,1"
322,9,7,573,26,5.248333618,2.997574311,"0,1"
334,9,7,563,19,6.028355399,2.948018186,"0,1"
344,9,7,567,27,5.669967151,3.592923114,"0,1"
346,9,7,536,24,6.118628629,3.379420724,"0,1"
350,9,7,548,14,5.165421958,2.853942955,"0,1"
362,9,7,553,5,5.038516775,1.863607643,"0,1"
364,9,7,588,7,4.895765497,1.766604643,"0,1"
374,9,7,556,17,4.939336726,2.574625537,"0,1"
383,9,7,518,10,5.088017299,2.750884657,"0,1"
389,9,7,512,12,5.196047355,2.392089359,"0,1"
409,9,7,518,11,4.994332813,2.233745594,"0,1"
419,9,7,510,7,4.932335695,2.185351955,"0,1"
423,9,7,504,7,4.759387009,2.227875546,"0,1"
424,9,7,592,15,5.500772725,2.93917579,"0,1"
428,9,7,560,12,5.395130731,2.608196939,"0,1"
434,9,7,614,18,5.122706537,2.688223138,"0,1"
441,9,7,527,7,4.703728265,1.906951205,"0,1"
460,9,7,555,12,5.1965416,2.469246445,"0,1"
471,9,7,519,9,4.972719116,2.345527536,"0,1"
482,9,7,547,7,5.494736218,2.397502866,"0,1"
487,9,7,514,5,4.679328678,1.814610277,"0,1"
501,9,7,524,8,4.79395204,2.021213905,"0,1"
520,9,7,526,12,5.779458248,2.907176024,"0,1"
525,9,7,496,11,5.019185031,2.492800861,"0,1"
529,9,7,493,5,5.31448949,1.965762308,"0,1"
550,9,7,541,10,5.018552279,2.406060527,"0,1"
566,9,7,558,9,5.080419022,2.455271538,"0,1"
580,9,7,522,12,5.002068008,2.728383286,"0,1"
583,9,7,514,7,4.960740913,2.123745757,"0,1"
589,9,7,520,12,5.246581062,2.699198907,"0,1"
595,9,7,508,8,4.646155286,2.085024688,"0,1"
600,9,7,539,16,4.393935214,2.669104998,"0,1"
601,9,7,537,12,5.148777678,2.523071549,"0,1"
