epsilon,idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after)
"0,1",4,9,7,504,11,5.2575863790214585,2.766690985287988
"0,1",19,9,7,522,16,4.722280253844296,2.422225044000487
"0,1",22,9,7,548,4,4.9337899972560875,1.5842797511402857
"0,1",33,9,7,513,16,4.467928345282349,2.407306576226128
"0,1",43,9,7,520,13,4.843773872583208,2.7557077880832317
"0,1",45,9,7,483,11,4.999829293510382,2.94454969961234
"0,1",48,9,7,619,25,5.032400976915933,2.877314523938166
"0,1",54,9,7,499,6,4.884152751182728,1.7596091978127693
"0,1",57,9,7,509,13,4.620113824282599,2.3151740231354103
"0,1",87,9,7,500,5,5.1721283035134205,1.796386650495283
"0,1",110,9,7,531,14,5.395431447761811,2.705606692409301
"0,1",116,9,7,504,10,4.969483189227256,2.777616911912541
"0,1",133,9,7,517,9,4.402934954872679,1.9598115233940199
"0,1",153,9,7,528,10,4.260449983724913,1.9477488262597102
"0,1",154,9,7,499,20,5.131241803424721,2.466806941365079
"0,1",162,9,7,550,13,5.25522240755463,2.868889457698243
"0,1",167,9,7,507,11,5.038522879055742,2.8309760191617346
"0,1",170,9,7,514,14,4.751680736255358,2.466725894734545
"0,1",172,9,7,501,3,4.421816870558424,1.0131317713699288
"0,1",176,9,7,543,12,4.718329942589403,2.149427469525606
"0,1",183,9,7,477,10,5.0768231233478405,2.701192298011064
"0,1",195,9,7,518,11,4.952171085708767,2.705097925514071
"0,1",226,9,7,541,6,4.971147820146781,2.1650681708769373
"0,1",227,9,7,527,4,4.937078911034268,1.7564600378794377
"0,1",247,9,7,535,5,4.773526894840247,1.7205186847012148
"0,1",264,9,7,643,11,5.669664720176643,2.218554451070443
"0,1",267,9,7,525,5,4.5832434719092685,1.6888534770362251
"0,1",280,9,7,529,9,4.7267267115429075,2.0605109798022014
"0,1",282,9,7,634,18,5.307641405149688,2.949872112907054
"0,1",285,9,7,547,5,4.640678999491001,1.7932120290158957
"0,1",304,9,7,560,9,4.887984782362037,1.8350301469290384
"0,1",313,9,7,525,4,4.82678512793767,1.7399881124006726
"0,1",319,9,7,504,9,5.21168503457893,2.151297633316378
"0,1",322,9,7,573,28,5.24833361811277,3.039291586655027
"0,1",334,9,7,563,20,6.028355399251502,3.179441844433963
"0,1",344,9,7,567,26,5.669967150647977,3.5784759599693317
"0,1",346,9,7,536,32,6.118628629147428,3.5051168177665533
"0,1",350,9,7,548,12,5.165421958190007,2.4905696801726838
"0,1",362,9,7,553,6,5.038516774604027,1.7991155074081653
"0,1",364,9,7,588,7,4.895765496842848,1.9324859933700214
"0,1",374,9,7,556,12,4.9393367256651,2.1653309697091094
"0,1",383,9,7,518,10,5.088017298590621,2.750884657258353
"0,1",389,9,7,512,10,5.196047354698042,2.3492552829497932
"0,1",409,9,7,518,9,4.994332812904964,2.1951853926518976
"0,1",419,9,7,510,7,4.932335695130442,2.2212389212445895
"0,1",423,9,7,504,8,4.7593870094669075,2.2776043857073063
"0,1",424,9,7,592,15,5.500772725417882,2.739245862817485
"0,1",428,9,7,560,16,5.395130730732265,2.638691204477604
"0,1",434,9,7,614,10,5.122706536653156,2.2781681195154637
"0,1",441,9,7,527,9,4.703728265159929,1.8949009868845699
"0,1",460,9,7,555,11,5.196541599778785,2.386718343695752
"0,1",471,9,7,519,9,4.972719116284159,2.3455275362482384
"0,1",482,9,7,547,6,5.494736217994827,2.2875757236149776
"0,1",487,9,7,514,5,4.679328678146449,1.8261671834976703
"0,1",501,9,7,524,8,4.793952040124538,2.0212139054717673
"0,1",520,9,7,526,17,5.779458247912989,3.499691863186658
"0,1",525,9,7,496,11,5.019185031212447,2.5412248845545484
"0,1",529,9,7,493,8,5.314489489972057,2.495732613168354
"0,1",550,9,7,541,17,5.018552278719499,2.926291747417448
"0,1",566,9,7,558,9,5.080419022034143,2.451237633559503
"0,1",580,9,7,522,13,5.0020680075517,2.7326665290687515
"0,1",583,9,7,514,7,4.9607409127761235,2.1237457569079736
"0,1",589,9,7,520,10,5.246581062102721,2.5609944963739215
"0,1",595,9,7,508,7,4.6461552857034025,2.0988417010262914
"0,1",600,9,7,539,13,4.393935214209088,2.2596948210659273
"0,1",601,9,7,537,5,5.14877767751455,1.8634013291957794
"0,1",621,9,7,540,11,5.0421399922704655,2.6312556591319582
"0,1",626,9,7,511,29,6.411168647715502,3.8532879153463737
"0,1",631,9,7,526,6,5.323579604717699,2.06607871980526
"0,1",641,9,7,502,6,5.1877995459714015,1.8321197619128347
"0,1",687,9,7,501,16,5.514947009978955,3.3093578363082923
"0,1",704,9,7,524,24,6.309875820645943,3.62432297566191
"0,1",707,9,7,490,9,5.140017218730182,2.397448342384493
"0,1",727,9,7,518,13,5.127943964603533,2.806700939772713
"0,1",741,9,7,521,12,5.0705791365188375,2.858430807636485
"0,1",744,9,7,563,3,4.748282839822326,1.4402838372066007
"0,1",755,9,7,506,15,5.380017708344387,3.144498989450609
