idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after),epsilon
4,9,7,504,23,5.257586379,2.585777205,"0,1"
19,9,7,522,16,4.722280254,2.316707948,"0,1"
22,9,7,548,9,4.933789997,1.862043211,"0,1"
33,9,7,513,22,4.467928345,2.384397573,"0,1"
43,9,7,520,24,4.843773873,2.791523391,"0,1"
45,9,7,483,36,4.999829294,3.239932504,"0,1"
48,9,7,619,77,5.032400977,3.633375131,"0,1"
54,9,7,499,7,4.884152751,2.009615486,"0,1"
57,9,7,509,15,4.620113824,2.416160509,"0,1"
87,9,7,500,14,5.172128304,2.358141313,"0,1"
110,9,7,531,20,5.395431448,2.941790786,"0,1"
116,9,7,504,21,4.969483189,2.562324252,"0,1"
133,9,7,517,10,4.402934955,2.02450197,"0,1"
153,9,7,528,16,4.260449984,1.967107452,"0,1"
154,9,7,499,16,5.131241803,2.49550769,"0,1"
162,9,7,550,19,5.255222408,2.787383009,"0,1"
167,9,7,507,18,5.038522879,2.689987415,"0,1"
170,9,7,514,19,4.751680736,2.50247705,"0,1"
172,9,7,501,3,4.421816871,0.719102777,"0,1"
176,9,7,543,10,4.718329943,2.105254224,"0,1"
183,9,7,477,18,5.076823123,2.924265106,"0,1"
195,9,7,518,21,4.952171086,3.089367362,"0,1"
226,9,7,541,12,4.97114782,2.177307735,"0,1"
227,9,7,527,14,4.937078911,2.31197674,"0,1"
247,9,7,535,4,4.773526895,1.663729823,"0,1"
264,9,7,643,10,5.66966472,2.362542502,"0,1"
267,9,7,525,11,4.583243472,2.172587952,"0,1"
280,9,7,529,20,4.726726712,2.250628517,"0,1"
282,9,7,634,22,5.307641405,2.389155945,"0,1"
285,9,7,547,4,4.640678999,1.699962684,"0,1"
304,9,7,560,11,4.887984782,1.636323558,"0,1"
313,9,7,525,5,4.826785128,1.75118129,"0,1"
319,9,7,504,12,5.211685035,2.461480255,"0,1"
322,9,7,573,23,5.248333618,2.833829253,"0,1"
334,9,7,563,28,6.028355399,3.164606262,"0,1"
344,9,7,567,39,5.669967151,3.559324223,"0,1"
346,9,7,536,27,6.118628629,3.641365998,"0,1"
350,9,7,548,24,5.165421958,2.829856745,"0,1"
362,9,7,553,13,5.038516775,2.439054909,"0,1"
364,9,7,588,14,4.895765497,2.32304206,"0,1"
374,9,7,556,21,4.939336726,2.475050437,"0,1"
383,9,7,518,19,5.088017299,2.807854091,"0,1"
389,9,7,512,17,5.196047355,2.697819759,"0,1"
409,9,7,518,14,4.994332813,2.584661823,"0,1"
419,9,7,510,10,4.932335695,2.150625563,"0,1"
423,9,7,504,11,4.759387009,2.372711062,"0,1"
424,9,7,592,19,5.500772725,2.854928895,"0,1"
428,9,7,560,23,5.395130731,2.999241221,"0,1"
434,9,7,614,11,5.122706537,2.159584735,"0,1"
441,9,7,527,8,4.703728265,1.937449383,"0,1"
460,9,7,555,25,5.1965416,2.298099444,"0,1"
471,9,7,519,27,4.972719116,3.144308248,"0,1"
482,9,7,547,6,5.494736218,1.995099725,"0,1"
487,9,7,514,7,4.679328678,1.804769622,"0,1"
501,9,7,524,17,4.79395204,2.149041076,"0,1"
520,9,7,526,14,5.779458248,2.798579856,"0,1"
525,9,7,496,22,5.019185031,2.615392287,"0,1"
529,9,7,493,16,5.31448949,2.65501781,"0,1"
550,9,7,541,9,5.018552279,2.495369029,"0,1"
566,9,7,558,25,5.080419022,2.867884187,"0,1"
580,9,7,522,31,5.002068008,2.986587987,"0,1"
583,9,7,514,8,4.960740913,1.912415173,"0,1"
589,9,7,520,8,5.246581062,2.147537774,"0,1"
595,9,7,508,21,4.646155286,2.595151188,"0,1"
600,9,7,539,33,4.393935214,2.761814647,"0,1"
601,9,7,537,9,5.148777678,2.232109875,"0,1"
621,9,7,540,23,5.042139992,2.442709181,"0,1"
626,9,7,511,48,6.411168648,4.11551392,"0,1"
631,9,7,526,14,5.323579605,2.251079454,"0,1"
641,9,7,502,9,5.187799546,2.221834261,"0,1"
687,9,7,501,30,5.51494701,3.530572794,"0,1"
704,9,7,524,40,6.309875821,3.87842146,"0,1"
707,9,7,490,19,5.140017219,2.789429159,"0,1"
727,9,7,518,33,5.127943965,3.240129482,"0,1"
741,9,7,521,16,5.070579137,2.650568479,"0,1"
744,9,7,563,11,4.74828284,1.533879848,"0,1"
755,9,7,506,35,5.380017708,3.566679063,"0,1"
763,9,7,503,23,5.516743937,3.211893986,"0,1"
764,9,7,552,23,5.365643193,2.966650467,"0,1"
772,9,7,488,31,6.341661495,3.453544057,"0,1"
782,9,7,565,40,5.196868604,3.069789293,"0,1"
788,9,7,550,34,6.617883801,3.501416202,"0,1"
793,9,7,512,16,4.780620561,2.777827297,"0,1"
800,9,7,521,14,5.789289983,2.774827807,"0,1"
806,9,7,528,20,5.225088091,2.771503256,"0,1"
812,9,7,538,28,4.919052556,2.944925715,"0,1"
822,9,7,557,7,4.364756972,1.889101465,"0,1"
826,9,7,642,17,6.843675466,3.203955168,"0,1"
827,9,7,509,25,5.197466333,2.767221773,"0,1"
864,9,7,560,16,4.422976603,2.232729867,"0,1"
887,9,7,480,28,5.600818307,3.458434463,"0,1"
900,9,7,589,11,4.456962379,1.944552422,"0,1"
902,9,7,538,14,5.893294399,2.494459836,"0,1"
929,9,7,514,31,5.687780734,3.254559396,"0,1"
930,9,7,528,19,5.282304904,2.594176188,"0,1"
932,9,7,568,28,4.765619214,2.899092382,"0,1"
940,9,7,559,22,5.222098373,2.615286444,"0,1"
974,9,7,610,38,6.825126025,3.686045049,"0,1"
980,9,7,522,22,5.24646821,2.619845592,"0,1"
1005,9,7,504,28,6.260558018,3.747686201,"0,1"
1027,9,7,538,8,4.452341504,1.821381826,"0,1"
1036,9,7,500,7,5.045742321,1.824684433,"0,1"
1038,9,7,563,11,5.503721435,2.418136013,"0,1"
1056,9,7,559,21,5.157681289,2.6712619,"0,1"
1061,9,7,510,15,4.639860396,1.90880515,"0,1"
1066,9,7,508,21,5.181356874,2.684877267,"0,1"
1083,9,7,521,34,6.277321674,3.896928472,"0,1"
1103,9,7,507,21,5.423554932,3.009999994,"0,1"
1112,9,7,536,16,5.013930613,2.437825088,"0,1"
1116,9,7,522,17,5.177290488,2.414091019,"0,1"
1122,9,7,492,9,4.513376249,2.246466746,"0,1"
1138,9,7,538,4,4.240176924,1.399763807,"0,1"
1142,9,7,554,35,5.85268466,3.341931241,"0,1"
1147,9,7,526,32,5.905366746,3.541526051,"0,1"
1161,9,7,511,24,5.09489043,2.910757732,"0,1"
1167,9,7,536,16,5.340550192,2.821518892,"0,1"
1169,9,7,553,36,5.157493438,3.227951263,"0,1"
1173,9,7,524,7,4.565066356,2.047757375,"0,1"
1177,9,7,545,15,5.424143274,2.719824835,"0,1"
1194,9,7,646,23,5.672715409,2.679886494,"0,1"
1221,9,7,522,9,6.398953442,2.306269142,"0,1"
1235,9,7,509,6,6.113490292,1.926919321,"0,1"
1250,9,7,511,15,4.756854663,2.443813836,"0,1"
1256,9,7,586,18,4.876900649,2.214096254,"0,1"
1272,9,7,534,41,5.681282461,3.241126057,"0,1"
1274,9,7,521,33,5.304731554,3.316970218,"0,1"
1282,9,7,559,48,5.563907141,3.565775633,"0,1"
1284,9,7,560,7,4.216273557,1.787921369,"0,1"
1286,9,7,554,12,4.728293042,2.521858307,"0,1"
1291,9,7,512,10,5.831467489,2.676926629,"0,1"
1292,9,7,500,8,5.018107925,2.343028138,"0,1"
1305,9,7,508,13,5.854249205,2.936097576,"0,1"
1307,9,7,505,6,5.44118601,2.144029558,"0,1"
1316,9,7,505,13,5.083443662,2.445537486,"0,1"
1333,9,7,505,12,6.184552447,2.543160687,"0,1"
1352,9,7,613,54,6.910568385,5.083540469,"0,1"
1355,9,7,513,14,5.58351228,2.689841628,"0,1"
1360,9,7,569,12,5.455274088,2.811893234,"0,1"
1364,9,7,564,29,7.580124357,3.530100151,"0,1"
1370,9,7,543,15,5.70121499,2.622054745,"0,1"
1383,9,7,516,6,5.447686972,1.990218294,"0,1"
1396,9,7,542,14,4.923340045,2.264015683,"0,1"
1399,9,7,523,17,5.152378577,3.008684086,"0,1"
1401,9,7,541,14,5.968322117,1.980737691,"0,1"
1410,9,7,564,8,5.501463229,1.821035613,"0,1"
1421,9,7,502,11,4.694654907,1.828288119,"0,1"
1426,9,7,578,8,4.671855741,2.02540193,"0,1"
1441,9,7,495,7,4.188404197,1.918985859,"0,1"
1455,9,7,527,15,4.522250514,2.015472637,"0,1"
1459,9,7,494,18,4.795738529,2.669349861,"0,1"
1462,9,7,525,15,5.744511782,3.217694256,"0,1"
1465,9,7,509,11,5.166783866,2.18327148,"0,1"
1500,9,7,555,19,4.574020212,2.337879901,"0,1"
1507,9,7,512,13,5.245056624,2.74066589,"0,1"
1518,9,7,650,22,6.288917282,2.887054988,"0,1"
1522,9,7,618,4,5.558377753,0.983633856,"0,1"
1552,9,7,572,17,5.273594206,2.678861964,"0,1"
1555,9,7,499,17,4.655300047,2.438676569,"0,1"
1560,9,7,569,24,5.690325805,3.007449421,"0,1"
1569,9,7,482,10,5.576709131,2.537991226,"0,1"
1574,9,7,533,19,6.025644288,3.267245671,"0,1"
1585,9,7,505,11,4.528061933,2.143792842,"0,1"
1591,9,7,522,26,4.964854565,2.950031116,"0,1"
1610,9,7,507,9,5.581198184,2.361924029,"0,1"
1612,9,7,573,17,4.876481232,2.490974095,"0,1"
1620,9,7,612,22,6.163505845,3.535406673,"0,1"
1622,9,7,566,7,6.008655809,1.796788968,"0,1"
1623,9,7,529,11,5.759522813,2.28138245,"0,1"
1632,9,7,561,25,4.99462995,2.809983848,"0,1"
1643,9,7,525,13,4.849512356,2.236425582,"0,1"
1659,9,7,525,22,4.945113589,2.788403514,"0,1"
1683,9,7,533,18,5.545756679,2.726381572,"0,1"
1684,9,7,521,11,5.59500931,2.521159971,"0,1"
1695,9,7,526,16,5.117284939,2.591189639,"0,1"
1720,9,7,599,18,4.922641864,2.589806416,"0,1"
1728,9,7,521,24,4.451470993,2.563821278,"0,1"
1732,9,7,588,4,4.949954854,1.405459777,"0,1"
1733,9,7,538,23,4.602541798,2.738583306,"0,1"
1736,9,7,548,18,4.984392403,2.688729378,"0,1"
1740,9,7,614,4,5.624959481,1.769574982,"0,1"
1743,9,7,521,23,4.923330674,2.916012614,"0,1"
1748,9,7,540,16,5.245059556,2.61342172,"0,1"
1751,9,7,530,19,5.01959712,2.542864363,"0,1"
1757,9,7,527,26,5.377014031,3.252758567,"0,1"
1794,9,7,517,11,5.298650202,1.951952659,"0,1"
1811,9,7,509,21,4.655108441,2.379623224,"0,1"
1820,9,7,572,13,6.533962967,2.667888993,"0,1"
1826,9,7,592,7,5.486351595,1.786858775,"0,1"
1850,9,7,637,30,4.587363752,2.792443255,"0,1"
1855,9,7,535,11,4.9997201,1.990021242,"0,1"
1875,9,7,559,7,5.891202494,2.09637097,"0,1"
1878,9,7,550,7,4.802556028,2.058323002,"0,1"
1882,9,7,557,8,5.00211105,2.235552101,"0,1"
1884,9,7,543,17,5.063018477,2.785619688,"0,1"
1895,9,7,488,7,4.3498187,1.963793769,"0,1"
1903,9,7,517,18,4.489845007,2.350708091,"0,1"
1905,9,7,489,9,4.769048292,2.173854637,"0,1"
1912,9,7,539,19,6.107694267,3.234504954,"0,1"
1925,9,7,519,22,5.268053487,3.030789077,"0,1"
1937,9,7,512,20,4.47769473,2.476625055,"0,1"
1939,9,7,535,16,5.302833784,3.134538039,"0,1"
1940,9,7,547,19,5.730387377,2.907985268,"0,1"
1949,9,7,514,22,4.486809237,2.459527059,"0,1"
1950,9,7,519,12,5.086508831,2.58730524,"0,1"
1960,9,7,569,20,4.990235756,2.549390622,"0,1"
1962,9,7,597,9,5.07110229,1.983829283,"0,1"
1968,9,7,565,4,4.167138612,0.946853792,"0,1"
1984,9,7,547,10,5.62606938,2.345048855,"0,1"
2006,9,7,530,18,4.896330885,2.465793667,"0,1"
2033,9,7,487,15,5.210485392,2.905805614,"0,1"
2041,9,7,547,20,4.627786628,2.414511428,"0,1"
2060,9,7,588,16,4.467685676,2.288352064,"0,1"
2099,9,7,516,27,4.960099154,2.985745965,"0,1"
2116,9,7,532,17,5.205726891,2.516990324,"0,1"
2119,9,7,511,9,5.198504798,2.327671496,"0,1"
2137,9,7,510,18,5.684037423,3.101693055,"0,1"
2140,9,7,488,9,4.902318418,2.213054137,"0,1"
2141,9,7,539,14,5.399793523,2.601936404,"0,1"
2199,9,7,535,10,5.313285562,2.203338839,"0,1"
2216,9,7,530,18,4.872464985,2.399987184,"0,1"
2219,9,7,539,7,5.102138623,1.997564838,"0,1"
2221,9,7,526,17,5.063352586,2.634164674,"0,1"
2247,9,7,501,7,5.16887589,2.146065667,"0,1"
2267,9,7,531,11,5.238930954,2.681406782,"0,1"
2274,9,7,536,13,5.791945779,2.335352562,"0,1"
2284,9,7,632,8,5.627747481,2.113732766,"0,1"
2299,9,7,528,20,5.224082877,3.007477545,"0,1"
2312,9,7,592,8,5.262685193,2.089320348,"0,1"
2321,9,7,513,17,5.252085871,2.598245645,"0,1"
2331,9,7,533,7,4.944829027,2.21357873,"0,1"
2351,9,7,495,8,5.068941091,2.253264538,"0,1"
2364,9,7,554,12,5.269849972,2.173868786,"0,1"
2370,9,7,553,12,4.654683907,2.454692092,"0,1"
2371,9,7,525,21,5.135555773,2.94324633,"0,1"
2385,9,7,520,26,5.122834123,2.914226859,"0,1"
2398,9,7,605,44,4.836353111,3.32176308,"0,1"
2434,9,7,539,10,5.627904607,2.446744575,"0,1"
2438,9,7,602,5,4.526891753,1.659217494,"0,1"
2453,9,7,490,16,5.145958799,2.691987627,"0,1"
2460,9,7,547,19,5.232298475,2.916769318,"0,1"
2465,9,7,510,17,5.129246864,2.493892578,"0,1"
2471,9,7,504,17,5.021444211,2.394171444,"0,1"
2501,9,7,499,15,5.023359505,2.768857959,"0,1"
2509,9,7,522,9,5.093370411,2.372101724,"0,1"
2514,9,7,564,28,5.020761203,2.917786735,"0,1"
2521,9,7,511,12,5.174093334,2.480434782,"0,1"
2553,9,7,539,10,5.562036973,2.469012881,"0,1"
2559,9,7,506,11,5.255635009,2.450214782,"0,1"
