epsilon,idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after)
"0,1",4,9,7,504,10,5.2575863790214585,2.7309889515695174
"0,1",19,9,7,522,12,4.722280253844296,2.4607366607369445
"0,1",22,9,7,548,27,4.9337899972560875,2.5371276144693704
"0,1",33,9,7,513,14,4.467928345282349,2.1221810576312063
"0,1",43,9,7,520,14,4.843773872583208,2.48727325767841
"0,1",45,9,7,483,18,4.999829293510382,2.684052322596273
"0,1",48,9,7,619,30,5.032400976915933,3.219189865634436
"0,1",54,9,7,499,7,4.884152751182728,1.9177352720397904
"0,1",57,9,7,509,13,4.620113824282599,2.4819533178935895
"0,1",87,9,7,500,18,5.1721283035134205,2.4958589309399346
"0,1",110,9,7,531,22,5.395431447761811,2.885445852912237
"0,1",116,9,7,504,18,4.969483189227256,2.783175685677635
"0,1",133,9,7,517,16,4.402934954872679,2.3988976066160195
"0,1",153,9,7,528,20,4.260449983724913,2.0945105014481697
"0,1",154,9,7,499,16,5.131241803424721,2.386183477407139
"0,1",162,9,7,550,11,5.25522240755463,2.5463998604176346
"0,1",167,9,7,507,27,5.038522879055742,3.0295735726823456
"0,1",170,9,7,514,17,4.751680736255358,2.4166314677466856
"0,1",172,9,7,501,3,4.421816870558424,0.8539840367957025
"0,1",176,9,7,543,7,4.718329942589403,2.019238496590493
"0,1",183,9,7,477,12,5.0768231233478405,2.5635723344947476
"0,1",195,9,7,518,22,4.952171085708767,3.0655732467234453
"0,1",226,9,7,541,8,4.971147820146781,1.989433834519265
"0,1",227,9,7,527,8,4.937078911034268,1.68791985393113
"0,1",247,9,7,535,8,4.773526894840247,1.8944383279059624
"0,1",264,9,7,643,14,5.669664720176643,2.557410022026434
"0,1",267,9,7,525,7,4.5832434719092685,1.9008203575104976
"0,1",280,9,7,529,12,4.7267267115429075,2.3790447457635704
"0,1",282,9,7,634,18,5.307641405149688,2.586562144881671
"0,1",285,9,7,547,7,4.640678999491001,1.9536025338943162
"0,1",304,9,7,560,13,4.887984782362037,2.1196432131419756
"0,1",313,9,7,525,9,4.82678512793767,2.150482541988819
"0,1",319,9,7,504,9,5.21168503457893,1.950498511777039
"0,1",322,9,7,573,19,5.24833361811277,2.567687299881566
"0,1",334,9,7,563,15,6.028355399251502,2.764914468560364
"0,1",344,9,7,567,24,5.669967150647977,3.1984569520753476
