epsilon,idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after)
"0,0",2764,9,7,69,7,1.578123219219706,0.7215792838087798
"0,0",3696,9,7,51,7,1.6066279482477375,0.5280301507125467
"0,1",22,9,7,76,24,6.230044651761119,3.7059943960653556
"0,1",54,9,7,92,11,5.800695977015378,2.537348848156186
"0,1",57,9,7,80,21,6.056051145644499,3.337411576700613
"0,1",153,9,7,74,16,5.92567835571541,2.8834811717471074
"0,1",154,9,7,88,12,5.314634174529178,2.605409449705583
"0,1",172,9,7,81,1,4.761189697506301,0.8509803921568627
"0,1",176,9,7,68,12,4.777373622740555,2.5183921687705273
"0,1",183,9,7,79,28,6.134794971517838,4.081906513421606
"0,1",226,9,7,72,17,4.760034828106069,2.8627450980392157
"0,1",227,9,7,81,19,5.688228197168962,2.9345048515154746
"0,1",247,9,7,83,19,5.663231199602052,2.8435753550226917
"0,1",280,9,7,71,28,5.798325335928362,3.950242231438908
"0,1",282,9,7,76,23,5.293039832188002,3.255919991988898
"0,1",285,9,7,72,12,4.993023968561975,2.570249450462138
"0,1",304,9,7,55,9,4.611457906294947,2.4646645448668196
"0,1",313,9,7,70,21,5.308675699062453,3.2804290751881044
"0,1",334,9,7,86,26,5.881929396516549,3.824130671679408
"0,1",364,9,7,72,19,5.597691345944311,3.297682478200117
"0,1",374,9,7,68,26,4.573601600842549,3.076977301151757
"0,1",389,9,7,75,22,5.535934131211589,3.367988252259605
"0,1",409,9,7,88,16,6.03524570302537,3.118234005668907
"0,1",424,9,7,78,15,5.634958441023731,3.2370001443683196
"0,1",428,9,7,78,39,5.62429371019705,4.482399258676859
"0,1",441,9,7,70,27,5.281956984737737,3.8800607216103353
"0,1",487,9,7,91,21,6.741095483664133,3.925858437998223
"0,1",525,9,7,93,17,6.409221777918051,3.3906831208686827
"0,1",550,9,7,79,25,5.149213741244198,3.1570429859640674
"0,1",600,9,7,58,29,5.288391965515643,3.8715158711195596
"0,1",744,9,7,66,7,4.86681044485913,2.4271025122874113
"0,1",930,9,7,98,24,5.758936688988162,3.7176015551116075
"0,1",1027,9,7,68,14,6.100885786652316,2.8554271225663563
"0,1",1061,9,7,84,14,5.6665689658447755,2.5940813359840673
"0,1",1116,9,7,75,12,5.259724155600053,2.5523778782785214
"0,1",1122,9,7,75,17,4.970143848333338,3.1868192596167186
"0,1",1138,9,7,59,10,5.0129566841751565,2.0985266063893384
"0,1",1250,9,7,77,9,5.268904376209914,2.1752513808249505
"0,1",1284,9,7,66,14,5.496716016545818,2.9945612625124913
"0,1",1292,9,7,83,18,5.381286726066826,2.729135663294498
"0,1",1316,9,7,81,21,5.571944607146899,2.862382464273439
"0,1",1401,9,7,73,7,5.171863665963716,1.788093389622459
"0,1",1441,9,7,67,24,5.384587914130298,3.618424381125345
"0,1",1459,9,7,85,13,5.771159519468697,2.474789456246519
"0,1",1500,9,7,64,24,5.52347755549311,3.4368717838454272
"0,1",1555,9,7,76,12,5.949791204630672,2.51374996164406
"0,1",1610,9,7,89,20,5.980603017819139,3.687567566288111
"0,1",1622,9,7,97,10,5.632731006612059,2.304985152917712
"0,1",1632,9,7,83,25,5.210863168753867,3.366899052127981
"0,1",1643,9,7,77,19,5.5072480290538826,3.1622727969925366
"0,1",1695,9,7,88,22,5.742164813674791,3.416899449126951
"0,1",1732,9,7,77,7,5.237167910245732,2.1892224914938616
"0,1",1733,9,7,77,26,5.8976793799286185,3.799621584185264
"0,1",1740,9,7,81,11,5.3789613943985355,2.2327884132679663
"0,1",1748,9,7,87,21,5.550736241089723,3.2553106287271634
"0,1",1794,9,7,80,14,5.006021748710072,2.731518231549761
"0,1",1811,9,7,83,21,5.477817979050684,3.21468420541759
"0,1",1826,9,7,78,6,4.774443370315283,1.3006076124167332
"0,1",1855,9,7,76,13,5.227417148295268,2.608692180820005
"0,1",1875,9,7,101,4,6.911826727575991,1.8552750111955032
"0,1",1878,9,7,78,20,5.1911808217130755,3.104181055136451
"0,1",1895,9,7,73,13,4.865208104889566,2.85645562119885
"0,1",1905,9,7,72,8,4.436043001217472,2.3196799418626135
"0,1",1937,9,7,62,18,4.864052638882289,3.130956913739626
"0,1",2033,9,7,80,13,4.599633905496235,2.5378882138361587
"0,1",2041,9,7,76,34,5.525602915673487,3.9140025050299863
"0,1",2119,9,7,79,16,5.321645208748606,2.6211278905625957
"0,1",2141,9,7,67,27,4.949087970690947,3.293188477731792
"0,1",2199,9,7,84,16,5.201083789698678,2.746929361129019
"0,1",2247,9,7,87,23,5.51132767988611,3.246040382103293
"0,1",2312,9,7,89,19,5.87807426088954,2.918766915595353
"0,1",2321,9,7,85,31,5.826628870836217,4.0221990691396385
"0,1",2331,9,7,79,25,5.142674883718677,2.9013592381298245
"0,1",2364,9,7,80,16,5.135792337831798,2.5086915427050474
"0,1",2434,9,7,77,12,5.727231806024485,2.8291175638221455
"0,1",2438,9,7,65,17,5.290264392936724,3.01272962483983
"0,1",2453,9,7,93,20,5.921134901659035,3.3276052282641775
"0,1",2562,9,7,74,34,5.039285877286391,3.9513885839838423
"0,1",2595,9,7,82,17,5.768763411308832,3.032316013797962
"0,1",2633,9,7,103,24,5.7787224555253625,3.570141889385095
"0,1",2649,9,7,74,15,5.3862770080723985,2.9154640789842965
"0,1",2696,9,7,87,12,5.126345248749932,2.1558821300234396
"0,1",2712,9,7,70,14,4.627783304783436,2.628200068809766
"0,1",2728,9,7,92,6,5.875436456666389,1.5009314037676207
"0,1",2764,9,7,68,9,3.378885975354642,1.762072108657642
"0,1",2797,9,7,86,26,5.619161757262983,3.821910164921124
"0,1",2953,9,7,87,15,5.893372684582645,2.9054933453996203
"0,1",2956,9,7,82,5,4.783135502622471,1.803260748528025
"0,1",2973,9,7,79,25,5.903186635771175,3.647069365365325
"0,1",2989,9,7,69,13,5.691155444050938,2.6901589204545218
"0,1",2997,9,7,82,11,5.847129837419393,2.286973962222378
"0,1",3020,9,7,83,18,5.23265704311612,3.36774167175939
"0,1",3063,9,7,105,12,6.655194281076801,2.388405930991567
"0,1",3099,9,7,81,12,6.0844511620907715,2.333326742452382
"0,1",3104,9,7,76,16,5.931984087741988,3.5530840121918303
"0,1",3193,9,7,75,15,5.6440310510476746,2.851872989164899
"0,1",3227,9,7,106,22,7.750815462300857,3.918426191930515
"0,1",3232,9,7,79,18,5.259852803895436,3.30021145035744
"0,1",3257,9,7,83,14,5.31701077805891,2.966347195841126
"0,1",3277,9,7,79,9,5.02078111288153,1.680477953285969
"0,1",3284,9,7,78,19,6.199743269603713,3.8059101331430485
"0,1",3292,9,7,85,19,5.542387778181623,3.3144076336989965
"0,1",3296,9,7,80,24,5.357464152500576,3.028573397541877
"0,1",3311,9,7,92,15,6.6012010604294815,2.9789186243842876
"0,1",3322,9,7,83,15,5.19226645225262,2.7728928982184633
"0,1",3371,9,7,99,10,6.061551514804458,2.4230756602956314
"0,1",3374,9,7,83,25,5.509909984325607,3.638598663040554
"0,1",3382,9,7,106,9,5.568735154992682,2.4174077136108942
"0,1",3414,9,7,82,27,5.576433358029108,3.619314669579278
"0,1",3447,9,7,74,20,5.6305791674446075,3.023186064277016
"0,1",3465,9,7,79,28,5.6593371419109815,3.7397765292919143
"0,1",3481,9,7,82,22,5.756160132365571,3.6163795005559805
"0,1",3508,9,7,65,13,4.884840692285085,2.9814265490850835
"0,1",3511,9,7,71,16,6.181545378622878,3.3255849967989475
"0,1",3519,9,7,68,19,4.650694366763004,3.1355730786148333
"0,1",3533,9,7,82,26,5.878063795751804,3.755876083134888
"0,1",3621,9,7,72,23,5.69165398006898,3.402866467000102
"0,1",3696,9,7,51,1,4.69136650095576,0.9921568627450981
"0,1",3704,9,7,94,14,5.44602539639908,2.3301345679937953
"0,1",3745,9,7,71,30,5.852972378147857,4.109414739842756
"0,1",3781,9,7,88,28,5.937914072248921,3.745442957117508
"0,1",3784,9,7,99,19,5.585221065305076,3.0449812484705223
"0,1",3785,9,7,78,13,5.767678305301768,3.036165452276073
"0,1",3786,9,7,92,14,5.532138112461396,2.589182833091495
"0,1",3787,9,7,76,27,5.68987174924671,3.768600926229318
"0,1",3834,9,7,75,17,5.432943780658745,2.9156038597474523
"0,1",3867,9,7,89,18,6.420621094589852,3.883000540165431
"0,1",3874,9,7,80,17,4.585543034492661,2.876576845545338
"0,1",3987,9,7,85,22,5.630592823838907,3.1081938318866538
"0,1",3991,9,7,74,21,5.249558301479328,3.2014366248449906
"0,1",4025,9,7,78,19,5.525529161136774,3.1963310377739806
"0,1",4050,9,7,91,6,4.596699081429344,1.939714244284701
"0,1",4085,9,7,91,19,5.814304438322732,2.868809048974352
"0,1",4092,9,7,69,14,4.828565838677056,2.5469252331040098
"0,1",4098,9,7,88,16,5.377371529611288,2.7444929305060795
"0,1",4118,9,7,71,25,4.703875389028648,2.9767702450622107
"0,1",4122,9,7,76,3,4.918299046750221,1.0331900782494752
"0,1",4127,9,7,83,23,5.935459619268303,3.4683675181648685
"0,1",4209,9,7,65,17,5.005866608271515,3.006498152646782
"0,1",4277,9,7,90,32,6.047690768332432,3.976878580608893
"0,1",4368,9,7,89,26,5.628201084120133,3.737664319281411
"0,1",4378,9,7,67,8,4.562977234840728,1.8052935958785934
"0,1",4503,9,7,70,16,4.7460394463972735,2.7780072185134856
"0,1",4523,9,7,65,15,5.132148337588827,3.000679149064833
"0,1",4555,9,7,71,11,5.228671731311668,2.799008447489855
"0,1",4663,9,7,59,8,4.791105754241662,2.091152339840366
"0,1",4678,9,7,96,16,5.31941812140452,2.8158528543220056
"0,1",4689,9,7,75,11,5.237647998402631,2.5761183989449217
"0,1",4690,9,7,61,9,4.4367657619891245,2.353006535039967
"0,1",4720,9,7,69,19,4.323962896769732,2.624153623094678
"0,1",4747,9,7,84,14,5.536809124976975,2.4788191555653456
"0,1",4771,9,7,82,15,5.087031857383196,2.3717289135176656
"0,1",4811,9,7,78,33,5.67217182888881,4.182710978120507
"0,1",4895,9,7,96,34,5.706111443416655,4.0755004551607374
"0,1",4902,9,7,67,21,5.459637644949379,3.2577072720720843
"0,1",4973,9,7,80,28,5.707848189084461,3.9081200771580167
"0,1",4983,9,7,96,20,5.886365951400098,3.262827581913642
"0,1",4989,9,7,99,16,6.306655400864378,3.0449484199950914
"0,1",5045,9,7,111,28,6.203720777098202,3.6839855221189253
"0,1",5062,9,7,98,10,5.60650333645389,2.243380625766522
"0,1",5063,9,7,108,18,6.856104350059181,3.3724122179276717
"0,1",5142,9,7,76,20,5.652997966157652,3.1097470508856695
"0,1",5172,9,7,80,23,4.994218880087478,2.705873827778557
"0,1",5219,9,7,90,30,5.545792729039199,3.850896528778154
"0,1",5276,9,7,78,10,5.355405595173161,2.5001806932008663
"0,1",5341,9,7,80,30,5.481163437957535,3.969669707361561
"0,1",5362,9,7,93,18,5.67372652019051,3.0853924045230463
"0,1",5390,9,7,52,12,5.0508494685260725,2.5814051292597804
"0,1",5457,9,7,85,21,5.440476549224389,3.533727209227519
"0,1",5492,9,7,75,19,5.478771025444511,3.114172437917861
"0,1",5523,9,7,94,20,5.935986861766799,3.2096595844749993
"0,1",5539,9,7,84,23,5.687096627520031,3.0639223466167764
"0,1",5544,9,7,77,20,5.152157698518524,3.1866865495270416
"0,1",5559,9,7,96,22,5.690610922567911,2.9079323826427426
"0,1",5595,9,7,80,25,5.648009179290544,3.430265367594527
"0,1",5614,9,7,67,21,5.259156896044153,3.5600413840153005
"0,1",5645,9,7,91,20,5.508022878701148,3.3032855616386096
"0,1",5664,9,7,62,11,4.8179818249782596,2.2117264633044824
"0,1",5672,9,7,79,10,5.513760354671799,1.8762646638499578
"0,1",5704,9,7,62,14,4.987051283824653,3.064815649182767
"0,1",5705,9,7,90,19,5.713258489534933,3.491350326873491
"0,1",5765,9,7,107,26,7.110919956100507,3.889371750107517
"0,1",5803,9,7,80,15,5.389131415050942,3.213511938256402
"0,1",5806,9,7,84,10,5.985818174934453,2.5368608961586867
"0,1",5865,9,7,88,20,5.66346201534283,3.495510384608272
"0,1",5892,9,7,84,26,5.606041120041857,3.5515298239961792
"0,1",5893,9,7,78,20,5.597253129795041,3.005001597682791
"0,1",5901,9,7,82,22,5.707135500149822,3.138994615674234
"0,1",5943,9,7,92,20,5.735580686656652,3.2670973988087004
"0,1",5992,9,7,86,19,5.55829336614894,3.2867822154495516
"0,1",6078,9,7,79,8,5.322434076460684,2.367565662547595
"0,1",6100,9,7,81,9,5.102717310642049,1.9493667580527272
"0,1",6166,9,7,78,14,5.077595509984448,2.925661036908327
"0,1",6174,9,7,70,3,5.037626971657864,1.7096285213144884
"0,1",6234,9,7,93,16,5.382219720484235,3.056394208769581
"0,1",6272,9,7,54,10,4.06500240114787,2.1005445916950554
"0,1",6294,9,7,73,26,5.259288482319044,3.6720019901842313
"0,1",6310,9,7,68,16,5.322613216938826,2.7395911149520438
"0,1",6334,9,7,77,21,5.136609748443489,3.3244888429497466
"0,1",6368,9,7,86,8,6.3847810206205535,2.3965822133336476
"0,1",6376,9,7,84,26,5.087580523816105,3.086710485687458
"0,1",6479,9,7,71,21,4.911216360139462,3.20908456730144
"0,1",6535,9,7,91,18,6.076681595081062,3.2453794084522447
"0,1",6588,9,7,84,18,5.561403765381487,2.8517732263295135
"0,1",6599,9,7,76,24,5.15416913174931,3.4275048230167604
"0,1",6634,9,7,78,14,5.494183426010336,2.6014310083186727
"0,1",6699,9,7,70,18,5.706302794293471,2.882638374555874
"0,1",6717,9,7,70,20,5.314547364267576,3.368522448088429
"0,1",6741,9,7,79,26,5.694128450267935,3.745233546465449
"0,1",6751,9,7,83,26,5.936885786438452,3.528492254948758
"0,1",6765,9,7,75,20,5.497746908399812,3.068173242084747
"0,1",6813,9,7,66,14,5.326489264916748,2.6313111824760393
"0,1",6820,9,7,81,22,5.85896789595607,3.404237809471768
"0,1",6842,9,7,87,19,6.413768350364222,3.5000653588668693
"0,1",6850,9,7,69,19,4.8203943262949505,3.1853567305658514
"0,1",6886,9,7,85,26,5.723160955164861,3.645460328587445
"0,1",6918,9,7,97,14,6.336733137130762,2.8347028374866836
"0,1",6922,9,7,80,22,5.635535628702565,3.4139974663874324
"0,1",7053,9,7,74,17,5.5136892309074685,3.0875199918567877
"0,1",7056,9,7,76,29,4.99605534516167,3.707879947142591
"0,1",7069,9,7,74,20,5.29551470310304,2.9574348018948227
"0,1",7110,9,7,74,14,5.003374486044101,2.4879100206127087
"0,1",7171,9,7,87,16,6.230580287497646,3.073851970440085
"0,1",7201,9,7,88,17,6.834697869216721,3.262228937301837
"0,1",7217,9,7,68,21,5.9898671325874595,3.685919882816931
"0,1",7245,9,7,72,10,5.980806157319127,2.6283170945895495
"0,1",7251,9,7,78,13,6.298252871623181,2.4911191742838055
"0,1",7258,9,7,72,36,4.967122975098372,3.888341588334802
"0,1",7269,9,7,81,19,6.830828865603152,3.600273388739246
"0,1",7274,9,7,96,20,5.762822154546232,3.2706752233694476
"0,1",7365,9,7,71,20,6.074245237849292,3.7114389300081867
"0,1",7407,9,7,82,18,5.795072745673105,2.710947234759492
"0,1",7416,9,7,78,22,5.1835972926110525,3.1226005782673543
"0,1",7430,9,7,98,22,6.511328666225929,3.6620144545640954
"0,1",7447,9,7,63,14,4.618049605700161,2.329164177771221
"0,1",7478,9,7,56,6,3.8374928538443456,1.528360624203693
"0,1",7511,9,7,81,17,5.680605693563992,3.349070119470298
"0,1",7518,9,7,63,13,4.995515097369145,2.977338476894707
"0,1",7538,9,7,81,25,5.127194159953755,3.3376373597118443
"0,1",7545,9,7,72,21,5.092691010664578,2.743562595792542
"0,1",7602,9,7,73,16,4.44518582820668,2.9852849415487293
"0,1",7680,9,7,72,23,4.692089263133248,3.5807722668319366
"0,1",7690,9,7,62,11,4.437098504344354,2.225254371197168
"0,1",7756,9,7,62,20,5.556913943888011,3.416852190647638
"0,1",7798,9,7,55,8,4.679371402692545,2.0605371020170757
"0,1",7853,9,7,80,17,5.737998691952661,3.0349090296328267
"0,1",7890,9,7,84,11,5.559091531389252,2.430679850724206
"0,1",7946,9,7,94,12,5.981340972627651,2.689561464048847
"0,1",7952,9,7,80,10,5.402132661583637,2.7055100624823045
"0,1",8030,9,7,85,25,5.455492560463993,3.6831693221037813
"0,1",8127,9,7,75,12,5.7680142567416235,2.6278489602014194
"0,1",8165,9,7,84,33,6.00547744341257,4.1130001790536115
"0,1",8199,9,7,85,21,6.227464562636445,3.239595476951839
"0,1",8220,9,7,92,9,5.4582656915783785,2.146452595944273
"0,1",8231,9,7,82,24,6.05841105265161,3.757069460930428
"0,1",8301,9,7,99,18,5.943888593414154,3.0569325477195584
"0,1",8393,9,7,69,11,5.0242579563854965,2.210373641262248
"0,1",8408,9,7,77,4,4.872487078945078,1.6997048390212894
"0,1",8424,9,7,83,30,5.909573619255408,3.8775747978545247
"0,1",8439,9,7,87,25,6.160124026972319,3.740629712996208
"0,1",8448,9,7,82,15,4.91065581784374,2.5352357332191335
"0,1",8467,9,7,80,10,5.16147411803319,2.5216936510340653
"0,1",8484,9,7,79,19,5.736604844359654,3.4296914649557713
"0,1",8503,9,7,89,14,5.67508025914281,2.8238806971019192
"0,1",8558,9,7,73,11,5.594410073248678,2.219781050541113
"0,1",8630,9,7,71,24,5.823900430512959,3.8891265923948057
"0,1",8654,9,7,77,27,5.433059835602726,3.1076272579194217
"0,1",8751,9,7,74,14,5.106978587779666,2.6219491709079845
"0,1",8837,9,7,74,12,4.9837660333760185,2.3024617820049116
"0,1",8847,9,7,63,11,4.530920723098164,2.038887605584118
"0,1",8953,9,7,78,15,5.795039573646648,3.084116144899962
"0,1",8998,9,7,75,13,4.761360885071947,2.66187574245708
"0,1",9122,9,7,63,24,5.067486123254903,3.4297721758169972
"0,1",9129,9,7,77,10,5.3125648106501915,2.2382471034532534
"0,1",9132,9,7,62,23,4.935318656603091,3.409922874493814
"0,1",9176,9,7,83,19,5.52049621938699,2.5118159827004916
"0,1",9229,9,7,78,18,5.267687110053818,3.0026465322472276
"0,1",9238,9,7,72,18,4.958975102157864,2.7274700102238545
"0,1",9304,9,7,71,2,4.206578396630367,1.2151611769185364
"0,1",9503,9,7,70,16,4.443118218120269,2.744680640535677
"0,1",9555,9,7,68,11,4.750924959012387,2.3180385190786486
"0,1",9613,9,7,83,14,5.089248831769257,2.4998331355308268
"0,1",9614,9,7,60,10,4.794176590519398,2.2475002132960653
"0,1",9631,9,7,76,9,5.307965911210369,2.170633401942531
"0,1",9655,9,7,70,12,5.012817097767571,2.7194318333702645
