epsilon,idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after)
"0,0",2764,9,7,69,12,1.578123219219706,0.8142993487963818
"0,0",3696,9,7,51,2,1.6066279482477375,0.3828101841156635
"0,1",22,9,7,76,15,6.230044651761119,2.9121733389900557
"0,1",54,9,7,92,9,5.800695977015378,2.324087795898637
"0,1",57,9,7,80,16,6.056051145644499,2.96075574586919
"0,1",153,9,7,74,21,5.92567835571541,3.1574083075047303
"0,1",154,9,7,88,14,5.314634174529178,2.453723954660495
"0,1",172,9,7,81,6,4.761189697506301,1.1894318701713502
"0,1",176,9,7,68,13,4.777373622740555,2.6252610130022975
"0,1",183,9,7,79,30,6.134794971517838,4.32856449509942
"0,1",226,9,7,72,16,4.760034828106069,2.893222136813706
"0,1",227,9,7,81,20,5.688228197168962,3.7096899207290193
"0,1",247,9,7,83,15,5.663231199602052,2.6964227944069927
"0,1",280,9,7,71,22,5.798325335928362,3.6109428287172474
"0,1",282,9,7,76,21,5.293039832188002,3.248105353753342
"0,1",285,9,7,72,11,4.993023968561975,2.2334426456747543
"0,1",304,9,7,55,9,4.611457906294947,2.2092323146792396
"0,1",313,9,7,70,22,5.308675699062453,3.5387523459674264
"0,1",334,9,7,86,25,5.881929396516549,3.7111426511263135
"0,1",364,9,7,72,12,5.597691345944311,2.495341295588374
"0,1",374,9,7,68,10,4.573601600842549,2.291595731312759
"0,1",389,9,7,75,17,5.535934131211589,3.126697923965121
"0,1",409,9,7,88,23,6.03524570302537,3.5529281911202775
"0,1",424,9,7,78,16,5.634958441023731,3.1990675304229
"0,1",428,9,7,78,37,5.62429371019705,4.29816265745162
"0,1",441,9,7,70,25,5.281956984737737,3.613507914252684
"0,1",487,9,7,91,15,6.741095483664133,3.1757394462349917
"0,1",525,9,7,93,22,6.409221777918051,3.744820850023363
"0,1",550,9,7,79,28,5.149213741244198,3.611030135430194
"0,1",600,9,7,58,30,5.288391965515643,3.930049652736201
"0,1",744,9,7,66,10,4.86681044485913,1.9328639608412177
"0,1",930,9,7,98,30,5.758936688988162,3.928478226549129
"0,1",1027,9,7,68,19,6.100885786652316,3.3043957302158153
"0,1",1061,9,7,84,13,5.6665689658447755,2.933962394538212
"0,1",1116,9,7,75,15,5.259724155600053,3.0590095468827863
"0,1",1122,9,7,75,10,4.970143848333338,2.507063454816099
"0,1",1138,9,7,59,6,5.0129566841751565,2.070443399569019
"0,1",1250,9,7,77,10,5.268904376209914,2.5999940851084644
"0,1",1284,9,7,66,31,5.496716016545818,4.014567858959983
"0,1",1292,9,7,83,11,5.381286726066826,2.2448060431744454
"0,1",1316,9,7,81,16,5.571944607146899,2.479650357960098
"0,1",1401,9,7,73,11,5.171863665963716,2.2002306684147883
"0,1",1441,9,7,67,16,5.384587914130298,2.9774985953697244
"0,1",1459,9,7,85,15,5.771159519468697,2.9140157668196234
"0,1",1500,9,7,64,18,5.52347755549311,3.268219860021811
"0,1",1555,9,7,76,12,5.949791204630672,2.5604089446531884
"0,1",1610,9,7,89,22,5.980603017819139,3.9388638225033965
"0,1",1622,9,7,97,10,5.632731006612059,2.152716156675346
"0,1",1632,9,7,83,25,5.210863168753867,3.442469451519413
"0,1",1643,9,7,77,23,5.5072480290538826,3.354397115382934
"0,1",1695,9,7,88,23,5.742164813674791,3.367056631177264
"0,1",1732,9,7,77,6,5.237167910245732,1.2706971630867903
"0,1",1733,9,7,77,29,5.8976793799286185,4.125231110928184
"0,1",1740,9,7,81,10,5.3789613943985355,1.8418685662814256
"0,1",1748,9,7,87,23,5.550736241089723,3.192681943614112
"0,1",1794,9,7,80,12,5.006021748710072,2.7655039871532274
"0,1",1811,9,7,83,20,5.477817979050684,3.1278043933329194
"0,1",1826,9,7,78,3,4.774443370315283,1.5179155662559756
"0,1",1855,9,7,76,13,5.227417148295268,2.443291469025826
"0,1",1875,9,7,101,9,6.911826727575991,2.6482292256385844
"0,1",1878,9,7,78,13,5.1911808217130755,2.587183386955654
"0,1",1895,9,7,73,12,4.865208104889566,2.56187707519398
"0,1",1905,9,7,72,8,4.436043001217472,2.3234425399496152
"0,1",1937,9,7,62,16,4.864052638882289,2.9191488860876014
"0,1",2033,9,7,80,11,4.599633905496235,2.392385074295933
"0,1",2041,9,7,76,32,5.525602915673487,4.053940417719415
"0,1",2119,9,7,79,17,5.321645208748606,2.6754382840076922
"0,1",2141,9,7,67,21,4.949087970690947,3.5356524347250593
"0,1",2199,9,7,84,18,5.201083789698678,2.9224659761537413
"0,1",2247,9,7,87,22,5.51132767988611,3.3352036275490673
"0,1",2312,9,7,89,24,5.87807426088954,3.356436659782839
"0,1",2321,9,7,85,26,5.826628870836217,3.567774084564897
"0,1",2331,9,7,79,23,5.142674883718677,2.996093830162666
"0,1",2364,9,7,80,12,5.135792337831798,2.6369071860574813
"0,1",2434,9,7,77,18,5.727231806024485,3.1555544725482925
"0,1",2438,9,7,65,18,5.290264392936724,2.819392394070332
"0,1",2453,9,7,93,17,5.921134901659035,3.258273708366333
"0,1",2562,9,7,74,34,5.039285877286391,4.113433885625366
"0,1",2595,9,7,82,21,5.768763411308832,3.412749463471193
"0,1",2633,9,7,103,24,5.7787224555253625,3.7169313450218993
"0,1",2649,9,7,74,16,5.3862770080723985,3.164178589111375
"0,1",2696,9,7,87,12,5.126345248749932,2.2709844213940644
"0,1",2712,9,7,70,11,4.627783304783436,2.376823244396159
"0,1",2728,9,7,92,8,5.875436456666389,1.5845903466527598
"0,1",2764,9,7,68,4,3.378885975354642,1.090781335359488
"0,1",2797,9,7,86,23,5.619161757262983,3.58036208994527
"0,1",2953,9,7,87,13,5.893372684582645,2.667995631938239
"0,1",2956,9,7,82,8,4.783135502622471,1.970918906994132
"0,1",2973,9,7,79,19,5.903186635771175,3.4847478957541114
"0,1",2989,9,7,69,12,5.691155444050938,2.808538636614494
"0,1",2997,9,7,82,15,5.847129837419393,2.428141433054467
"0,1",3020,9,7,83,20,5.23265704311612,3.2345834038145034
"0,1",3063,9,7,105,14,6.655194281076801,2.499020954006976
"0,1",3099,9,7,81,11,6.0844511620907715,2.4018895547661816
"0,1",3104,9,7,76,12,5.931984087741988,2.904807824406294
"0,1",3193,9,7,75,12,5.6440310510476746,2.8024348176796776
"0,1",3227,9,7,106,25,7.750815462300857,4.0680731963608565
"0,1",3232,9,7,79,22,5.259852803895436,3.0508241302793344
"0,1",3257,9,7,83,20,5.31701077805891,3.3762360147161683
"0,1",3277,9,7,79,8,5.02078111288153,1.9052447896723468
"0,1",3284,9,7,78,25,6.199743269603713,4.101747079500478
"0,1",3292,9,7,85,18,5.542387778181623,3.1256624057657567
"0,1",3296,9,7,80,13,5.357464152500576,2.7982089070107197
"0,1",3311,9,7,92,10,6.6012010604294815,2.495264257339525
"0,1",3322,9,7,83,16,5.19226645225262,2.8726420382449933
"0,1",3371,9,7,99,10,6.061551514804458,2.5759034801301386
"0,1",3374,9,7,83,28,5.509909984325607,3.6323443412350893
"0,1",3382,9,7,106,14,5.568735154992682,2.3852423372279983
"0,1",3414,9,7,82,31,5.576433358029108,3.9325591089916485
"0,1",3447,9,7,74,21,5.6305791674446075,3.287549474237521
"0,1",3465,9,7,79,31,5.6593371419109815,3.6247048428804196
"0,1",3481,9,7,82,22,5.756160132365571,3.2464762194011607
"0,1",3508,9,7,65,10,4.884840692285085,2.5776432106360154
"0,1",3511,9,7,71,16,6.181545378622878,3.340253485697161
"0,1",3519,9,7,68,22,4.650694366763004,3.258875439052365
"0,1",3533,9,7,82,22,5.878063795751804,3.6797836052920614
"0,1",3621,9,7,72,18,5.69165398006898,3.1328817559693842
"0,1",3696,9,7,51,1,4.69136650095576,0.9921568627450981
"0,1",3704,9,7,94,17,5.44602539639908,2.7687801990858127
"0,1",3745,9,7,71,40,5.852972378147857,4.591098486565174
"0,1",3781,9,7,88,25,5.937914072248921,3.72160168583842
"0,1",3784,9,7,99,25,5.585221065305076,3.039294116635067
"0,1",3785,9,7,78,20,5.767678305301768,3.463730901357167
"0,1",3786,9,7,92,9,5.532138112461396,2.049802833702544
"0,1",3787,9,7,76,23,5.68987174924671,3.310983898946802
"0,1",3834,9,7,75,21,5.432943780658745,3.1899616675150346
"0,1",3867,9,7,89,23,6.420621094589852,3.5207453511662203
"0,1",3874,9,7,80,16,4.585543034492661,2.851643799072011
"0,1",3987,9,7,85,23,5.630592823838907,3.2838542259774877
"0,1",3991,9,7,74,17,5.249558301479328,2.801155910139673
"0,1",4025,9,7,78,21,5.525529161136774,2.9761579830159017
"0,1",4050,9,7,91,6,4.596699081429344,1.598360367104229
"0,1",4085,9,7,91,15,5.814304438322732,2.6599974272462283
"0,1",4092,9,7,69,12,4.828565838677056,2.266893943419335
"0,1",4098,9,7,88,24,5.377371529611288,3.4940164154257918
"0,1",4118,9,7,71,19,4.703875389028648,3.069225651146352
"0,1",4122,9,7,76,1,4.918299046750221,0.8745098039215686
"0,1",4127,9,7,83,22,5.935459619268303,3.5905831812811893
"0,1",4209,9,7,65,16,5.005866608271515,2.880837269896507
"0,1",4277,9,7,90,22,6.047690768332432,3.562710026050301
"0,1",4368,9,7,89,17,5.628201084120133,2.8934347459358487
"0,1",4378,9,7,67,21,4.562977234840728,3.085664040080025
"0,1",4503,9,7,70,13,4.7460394463972735,2.667122221757016
"0,1",4523,9,7,65,11,5.132148337588827,2.880679786490555
"0,1",4555,9,7,71,16,5.228671731311668,3.3848794201515924
"0,1",4663,9,7,59,8,4.791105754241662,1.9732739477955987
"0,1",4678,9,7,96,22,5.31941812140452,2.65348529990878
"0,1",4689,9,7,75,7,5.237647998402631,2.139053030246166
"0,1",4690,9,7,61,13,4.4367657619891245,2.8142576527570284
"0,1",4720,9,7,69,19,4.323962896769732,3.0252582732960334
"0,1",4747,9,7,84,15,5.536809124976975,2.932271486534291
