epsilon,idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after)
"0,0",2764,9,7,69,10,1.578123219219706,0.8915511841913869
"0,0",3696,9,7,51,3,1.6066279482477375,0.7919724110628221
"0,1",22,9,7,76,17,6.230044651761119,3.199641944597165
"0,1",54,9,7,92,13,5.800695977015378,2.6120355509331636
"0,1",57,9,7,80,21,6.056051145644499,3.615256662835659
"0,1",153,9,7,74,24,5.92567835571541,3.699128610877899
"0,1",154,9,7,88,17,5.314634174529178,3.1968818910700705
"0,1",172,9,7,81,1,4.761189697506301,0.8509803921568627
"0,1",176,9,7,68,16,4.777373622740555,2.9539148981787595
"0,1",183,9,7,79,22,6.134794971517838,3.8154303362162216
"0,1",226,9,7,72,17,4.760034828106069,2.888671212927095
"0,1",227,9,7,81,19,5.688228197168962,3.0301953425344914
"0,1",247,9,7,83,21,5.663231199602052,3.384677234925259
"0,1",280,9,7,71,26,5.798325335928362,3.8692390918057598
"0,1",282,9,7,76,20,5.293039832188002,3.3043073027867003
"0,1",285,9,7,72,12,4.993023968561975,2.3131172347703477
"0,1",304,9,7,55,8,4.611457906294947,2.10434091173891
"0,1",313,9,7,70,25,5.308675699062453,3.569678793636021
"0,1",334,9,7,86,19,5.881929396516549,3.3446957439170997
"0,1",364,9,7,72,17,5.597691345944311,3.186430765399365
"0,1",374,9,7,68,9,4.573601600842549,2.286365316193512
"0,1",389,9,7,75,18,5.535934131211589,3.222644313390276
"0,1",409,9,7,88,31,6.03524570302537,4.090320153025722
"0,1",424,9,7,78,16,5.634958441023731,3.0141815262143608
"0,1",428,9,7,78,39,5.62429371019705,4.457272912295887
"0,1",441,9,7,70,29,5.281956984737737,3.839902600328254
"0,1",487,9,7,91,16,6.741095483664133,3.294059289865904
"0,1",525,9,7,93,21,6.409221777918051,3.7483345013519505
"0,1",550,9,7,79,20,5.149213741244198,3.4755320941084706
"0,1",600,9,7,58,32,5.288391965515643,4.142691345026983
"0,1",744,9,7,66,10,4.86681044485913,2.122630302297289
"0,1",930,9,7,98,32,5.758936688988162,3.9516006908583656
"0,1",1027,9,7,68,20,6.100885786652316,3.4774254132627838
"0,1",1061,9,7,84,14,5.6665689658447755,2.6864262158393237
"0,1",1116,9,7,75,13,5.259724155600053,2.746100657238321
"0,1",1122,9,7,75,7,4.970143848333338,2.188607741162204
"0,1",1138,9,7,59,8,5.0129566841751565,1.9076002908538028
"0,1",1250,9,7,77,11,5.268904376209914,2.619707641635458
"0,1",1284,9,7,66,25,5.496716016545818,3.860144441542731
"0,1",1292,9,7,83,16,5.381286726066826,2.839619189180427
"0,1",1316,9,7,81,18,5.571944607146899,3.038200969125745
"0,1",1401,9,7,73,6,5.171863665963716,1.8913998282397306
"0,1",1441,9,7,67,21,5.384587914130298,3.551144418641034
"0,1",1459,9,7,85,15,5.771159519468697,3.057961165517249
"0,1",1500,9,7,64,21,5.52347755549311,3.606071602578345
"0,1",1555,9,7,76,20,5.949791204630672,3.1741676473917626
"0,1",1610,9,7,89,21,5.980603017819139,3.7383061295438758
"0,1",1622,9,7,97,12,5.632731006612059,2.3007011284453776
"0,1",1632,9,7,83,25,5.210863168753867,3.5548927679060918
"0,1",1643,9,7,77,21,5.5072480290538826,3.5893965762537934
"0,1",1695,9,7,88,23,5.742164813674791,3.3504336455488386
"0,1",1732,9,7,77,7,5.237167910245732,1.9190499700084587
"0,1",1733,9,7,77,36,5.8976793799286185,4.333764506984572
"0,1",1740,9,7,81,12,5.3789613943985355,2.8535926754264023
"0,1",1748,9,7,87,18,5.550736241089723,3.1758048200867806
