idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after),epsilon
172,9,7,62,1,1.736028426,0.831372549,"0,0"
4122,9,7,52,1,1.146306105,0.454901961,"0,0"
4,9,7,65,13,5.650238756,3.45294062,"0,1"
19,9,7,63,13,4.819159506,2.891369118,"0,1"
22,9,7,67,8,5.194402986,2.537066999,"0,1"
33,9,7,61,13,4.730709021,3.173506242,"0,1"
43,9,7,63,21,5.062233233,3.78356388,"0,1"
45,9,7,63,17,5.676807535,3.854133927,"0,1"
54,9,7,65,7,5.051960689,2.429391983,"0,1"
57,9,7,61,13,5.153303775,3.344311794,"0,1"
87,9,7,65,10,5.55782714,2.916136548,"0,1"
110,9,7,70,29,6.289742539,4.830770907,"0,1"
116,9,7,67,13,5.560856218,3.384965743,"0,1"
133,9,7,64,10,5.403056364,2.940554183,"0,1"
153,9,7,63,8,5.19957559,2.816065844,"0,1"
154,9,7,67,8,5.316210981,2.718450494,"0,1"
162,9,7,71,12,5.985893966,3.119013143,"0,1"
167,9,7,59,13,5.491959101,3.411219249,"0,1"
170,9,7,65,20,5.616008042,4.04157365,"0,1"
172,9,7,65,1,4.91613793,0.988235294,"0,1"
176,9,7,66,8,5.310265859,2.533384932,"0,1"
183,9,7,54,17,5.29479589,3.818734047,"0,1"
195,9,7,62,11,5.515341576,3.028410901,"0,1"
227,9,7,65,16,5.327913913,3.157064906,"0,1"
247,9,7,64,16,5.447969263,3.381715768,"0,1"
267,9,7,64,9,5.341225418,2.38394605,"0,1"
280,9,7,65,14,5.558232496,3.455999025,"0,1"
282,9,7,68,9,5.645955775,2.749760746,"0,1"
285,9,7,64,9,5.360233487,2.604751226,"0,1"
304,9,7,66,4,4.799195755,1.854516397,"0,1"
313,9,7,63,13,5.22570025,3.227103119,"0,1"
319,9,7,60,11,5.375695372,2.957863772,"0,1"
344,9,7,69,14,6.181729476,3.442223739,"0,1"
350,9,7,70,12,5.979408469,3.191147405,"0,1"
362,9,7,64,15,5.979859828,3.596264455,"0,1"
364,9,7,67,9,5.323589715,2.88538456,"0,1"
374,9,7,74,15,6.22883992,3.53641136,"0,1"
383,9,7,63,19,5.651202184,4.196734418,"0,1"
389,9,7,62,11,5.375779764,3.12706925,"0,1"
409,9,7,59,24,5.429832018,4.153457725,"0,1"
419,9,7,61,10,5.860866641,3.020231665,"0,1"
423,9,7,59,18,5.393634022,3.818947481,"0,1"
441,9,7,66,9,5.679172035,2.625214149,"0,1"
460,9,7,65,15,5.916060287,3.53185754,"0,1"
471,9,7,61,12,5.182984612,3.098054108,"0,1"
482,9,7,65,6,5.667267761,2.121981765,"0,1"
487,9,7,66,10,5.150557541,2.962954665,"0,1"
501,9,7,68,9,5.089608413,2.469676147,"0,1"
520,9,7,71,14,6.180679549,3.459663763,"0,1"
525,9,7,62,21,5.096013172,4.167350809,"0,1"
529,9,7,68,9,4.826420304,2.829055051,"0,1"
550,9,7,70,14,5.954387693,3.709789413,"0,1"
566,9,7,68,11,5.957752067,2.832849541,"0,1"
580,9,7,68,18,5.800376501,4.202386682,"0,1"
583,9,7,67,9,5.155554893,2.870590914,"0,1"
589,9,7,60,8,4.473549071,2.553218262,"0,1"
595,9,7,65,8,4.770853776,2.748286664,"0,1"
600,9,7,66,15,5.196412864,3.381665744,"0,1"
601,9,7,67,14,4.98283559,3.465324467,"0,1"
621,9,7,65,15,5.261501563,3.766315016,"0,1"
641,9,7,66,4,4.890576585,1.919987345,"0,1"
687,9,7,68,20,5.605288051,4.135319685,"0,1"
704,9,7,68,22,5.665491431,4.091190449,"0,1"
707,9,7,59,12,5.690550117,3.329324002,"0,1"
727,9,7,65,22,5.521224644,4.195239058,"0,1"
741,9,7,66,19,5.673585572,4.041221661,"0,1"
744,9,7,63,5,4.929199615,2.007107708,"0,1"
755,9,7,61,18,5.631197769,3.7122427,"0,1"
763,9,7,68,23,5.5681759,4.238092757,"0,1"
772,9,7,69,11,5.535349336,3.06074349,"0,1"
782,9,7,66,14,5.893769314,3.479448091,"0,1"
793,9,7,62,15,5.583301572,3.83575722,"0,1"
800,9,7,66,17,5.931415006,3.855490351,"0,1"
