epsilon,idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after)
"0,0",172,9,7,62,1,1.7360284255588465,0.8313725490196079
"0,0",4122,9,7,52,1,1.1463061046271956,0.4549019607843137
"0,1",4,9,7,65,13,5.6502387560853515,3.4595904178507735
"0,1",19,9,7,63,19,4.819159506261408,3.500089524861524
"0,1",22,9,7,67,14,5.194402985522901,3.268965601149609
"0,1",33,9,7,61,10,4.730709021186703,2.8495505760028195
"0,1",43,9,7,63,22,5.062233233035759,3.830842679156775
"0,1",45,9,7,63,16,5.676807535124797,3.767915298651037
"0,1",54,9,7,65,7,5.051960689185434,2.429391982701274
"0,1",57,9,7,61,17,5.153303774510827,3.5447596576316616
"0,1",87,9,7,65,14,5.55782714035862,3.596153269689759
"0,1",110,9,7,70,37,6.289742539025583,5.379840479348548
"0,1",116,9,7,67,12,5.560856217903989,3.243379083854369
"0,1",133,9,7,64,10,5.403056363760523,2.974902064173941
"0,1",153,9,7,63,13,5.199575589695428,3.2134353671577744
"0,1",154,9,7,67,8,5.316210980822547,2.582387928358875
"0,1",162,9,7,71,10,5.985893965541414,2.78974890661108
"0,1",167,9,7,59,15,5.491959100680965,3.7566662521785976
"0,1",170,9,7,65,18,5.616008042046882,3.9334584461950404
"0,1",172,9,7,65,1,4.916137930242946,0.9882352941176471
"0,1",176,9,7,66,7,5.310265858783816,2.4759450174296824
"0,1",183,9,7,54,11,5.294795889742405,3.2426108589564167
"0,1",195,9,7,62,21,5.515341575561505,4.010649031225798
"0,1",227,9,7,65,16,5.327913913218444,2.989506188496235
"0,1",247,9,7,64,9,5.4479692628365655,2.6215620279442358
"0,1",267,9,7,64,10,5.341225417989994,3.1267864559233636
"0,1",280,9,7,65,11,5.558232496158587,3.0982427334492386
"0,1",282,9,7,68,9,5.6459557746228,2.7497607459447244
"0,1",285,9,7,64,8,5.360233487199354,2.697121366905848
"0,1",304,9,7,66,8,4.799195754743611,2.3099370779555453
"0,1",313,9,7,63,11,5.225700249613266,3.102327635033765
"0,1",319,9,7,60,13,5.37569537180896,3.230860896100298
"0,1",344,9,7,69,13,6.181729476097108,3.2949555423622625
"0,1",350,9,7,70,11,5.979408469404234,3.0291242962788445
"0,1",362,9,7,64,13,5.97985982844569,3.193987045801921
"0,1",364,9,7,67,8,5.3235897154711065,2.5460737124994965
"0,1",374,9,7,74,17,6.228839920181729,3.622748409169473
"0,1",383,9,7,63,24,5.65120218367055,4.407246488123191
"0,1",389,9,7,62,15,5.375779764259113,3.4454791267569895
