epsilon,idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after)
"0,0",172,9,7,62,3,1.7360284255588465,0.9805882156901949
"0,0",4122,9,7,52,4,1.1463061046271956,0.42890560194371496
"0,1",4,9,7,65,17,5.6502387560853515,3.545581695274044
"0,1",19,9,7,63,17,4.819159506261408,3.3544796378734127
"0,1",22,9,7,67,6,5.194402985522901,2.2973665615289884
"0,1",33,9,7,61,12,4.730709021186703,2.6584215093141568
"0,1",43,9,7,63,18,5.062233233035759,3.507809708408324
"0,1",45,9,7,63,15,5.676807535124797,3.4884000666480888
"0,1",54,9,7,65,7,5.051960689185434,2.308648467614846
"0,1",57,9,7,61,11,5.153303774510827,2.705916453323065
"0,1",87,9,7,65,9,5.55782714035862,2.7449579796202372
"0,1",110,9,7,70,33,6.289742539025583,5.184103107465655
"0,1",116,9,7,67,12,5.560856217903989,3.188141232965997
"0,1",133,9,7,64,13,5.403056363760523,3.074457282464557
"0,1",153,9,7,63,8,5.199575589695428,2.648008544224952
"0,1",154,9,7,67,11,5.316210980822547,2.8723877355511855
"0,1",162,9,7,71,12,5.985893965541414,2.9922056892169167
"0,1",167,9,7,59,14,5.491959100680965,3.405949517890128
"0,1",170,9,7,65,22,5.616008042046882,3.963270429228134
"0,1",172,9,7,65,1,4.916137930242946,0.9882352941176471
"0,1",176,9,7,66,10,5.310265858783816,2.868940382057741
"0,1",183,9,7,54,10,5.294795889742405,3.012566274052001
"0,1",195,9,7,62,15,5.515341575561505,3.5928225258732365
"0,1",227,9,7,65,11,5.327913913218444,3.034805148840099
"0,1",247,9,7,64,7,5.4479692628365655,2.5477251615224046
"0,1",267,9,7,64,7,5.341225417989994,2.3754123056185357
"0,1",280,9,7,65,17,5.558232496158587,3.6448717878500796
"0,1",282,9,7,68,12,5.6459557746228,2.9532458244538295
"0,1",285,9,7,64,9,5.360233487199354,2.877897049300838
"0,1",304,9,7,66,6,4.799195754743611,2.044262232155592
"0,1",313,9,7,63,16,5.225700249613266,3.2922356902356666
"0,1",319,9,7,60,14,5.37569537180896,3.2062630942584858
"0,1",344,9,7,69,12,6.181729476097108,3.0094174881261146
"0,1",350,9,7,70,13,5.979408469404234,2.621491632171863
"0,1",362,9,7,64,14,5.97985982844569,3.351977845789267
"0,1",364,9,7,67,8,5.3235897154711065,2.388399492085588
"0,1",374,9,7,74,18,6.228839920181729,3.6303454270951625
"0,1",383,9,7,63,18,5.65120218367055,3.9796657310666843
"0,1",389,9,7,62,11,5.375779764259113,3.0273925626792995
"0,1",409,9,7,59,16,5.429832017668683,3.3070381530360806
"0,1",419,9,7,61,10,5.860866641160428,2.957871570765478
"0,1",423,9,7,59,10,5.393634022267998,2.7216844638285873
"0,1",441,9,7,66,15,5.679172034894025,3.146310460162229
"0,1",460,9,7,65,18,5.916060287006252,3.8970705388897775
"0,1",471,9,7,61,15,5.182984612041426,3.2756203353433495
"0,1",482,9,7,65,9,5.667267761049633,2.7877526401701886
"0,1",487,9,7,66,11,5.150557541030669,3.0092922858231637
"0,1",501,9,7,68,10,5.089608413462051,2.6732876282884654
"0,1",520,9,7,71,7,6.1806795494044175,2.3532091350689126
"0,1",525,9,7,62,15,5.096013172069307,3.248469902732376
"0,1",529,9,7,68,9,4.826420303793053,2.8720182873157154
"0,1",550,9,7,70,7,5.95438769270853,2.6079787669286114
"0,1",566,9,7,68,13,5.957752066726284,3.15187768621592
"0,1",580,9,7,68,18,5.800376500792164,3.980695439039883
"0,1",583,9,7,67,10,5.155554892680491,2.718738993490384
"0,1",589,9,7,60,9,4.473549071130308,2.6384522393150274
"0,1",595,9,7,65,8,4.770853775964422,2.498793249696531
"0,1",600,9,7,66,14,5.1964128638213465,3.4533280784451876
"0,1",601,9,7,67,10,4.982835590206759,2.951354936819887
"0,1",621,9,7,65,10,5.261501562558967,2.9788876491565737
"0,1",641,9,7,66,8,4.890576584721533,2.5336854001702256
"0,1",687,9,7,68,17,5.605288050852138,3.756656017890791
"0,1",704,9,7,68,19,5.6654914311539,3.552746391232454
"0,1",707,9,7,59,8,5.690550116687025,2.7071977479101688
"0,1",727,9,7,65,20,5.521224643919812,3.992453473321856
"0,1",741,9,7,66,23,5.6735855718461785,3.9363349444729443
"0,1",744,9,7,63,4,4.9291996148211314,1.879348091836196
