idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after),epsilon
172,9,7,62,1,1.736028426,0.831372549,"0,0"
4122,9,7,52,4,1.146306105,0.426171858,"0,0"
4,9,7,65,14,5.650238756,3.475268806,"0,1"
19,9,7,63,11,4.819159506,2.911180373,"0,1"
22,9,7,67,7,5.194402986,2.545998209,"0,1"
33,9,7,61,12,4.730709021,2.773522307,"0,1"
43,9,7,63,14,5.062233233,3.175274527,"0,1"
45,9,7,63,15,5.676807535,3.577820523,"0,1"
54,9,7,65,5,5.051960689,2.029554793,"0,1"
57,9,7,61,10,5.153303775,2.562804356,"0,1"
87,9,7,65,20,5.55782714,4.207154157,"0,1"
110,9,7,70,27,6.289742539,4.850485812,"0,1"
116,9,7,67,17,5.560856218,3.637641225,"0,1"
133,9,7,64,12,5.403056364,3.048950885,"0,1"
153,9,7,63,15,5.19957559,3.6092836,"0,1"
154,9,7,67,9,5.316210981,2.801853069,"0,1"
162,9,7,71,11,5.985893966,2.925960641,"0,1"
167,9,7,59,16,5.491959101,3.652774353,"0,1"
170,9,7,65,18,5.616008042,3.771073047,"0,1"
172,9,7,65,1,4.91613793,0.996078431,"0,1"
176,9,7,66,9,5.310265859,2.747858556,"0,1"
183,9,7,54,12,5.29479589,3.327995726,"0,1"
195,9,7,62,15,5.515341576,3.48358263,"0,1"
227,9,7,65,13,5.327913913,2.899492856,"0,1"
247,9,7,64,10,5.447969263,2.857551023,"0,1"
267,9,7,64,8,5.341225418,2.545886461,"0,1"
280,9,7,65,14,5.558232496,3.568422748,"0,1"
282,9,7,68,9,5.645955775,2.754602593,"0,1"
285,9,7,64,12,5.360233487,2.832043264,"0,1"
304,9,7,66,8,4.799195755,2.188829071,"0,1"
313,9,7,63,9,5.22570025,2.839470252,"0,1"
319,9,7,60,13,5.375695372,3.136926453,"0,1"
344,9,7,69,19,6.181729476,3.835115678,"0,1"
350,9,7,70,12,5.979408469,2.906160184,"0,1"
362,9,7,64,18,5.979859828,3.785762194,"0,1"
364,9,7,67,13,5.323589715,3.080815862,"0,1"
374,9,7,74,19,6.22883992,3.69546414,"0,1"
383,9,7,63,15,5.651202184,3.206083222,"0,1"
389,9,7,62,11,5.375779764,2.763328819,"0,1"
409,9,7,59,21,5.429832018,4.046747214,"0,1"
419,9,7,61,9,5.860866641,2.772576753,"0,1"
423,9,7,59,16,5.393634022,3.430121901,"0,1"
441,9,7,66,12,5.679172035,3.142461366,"0,1"
460,9,7,65,18,5.916060287,4.033020187,"0,1"
471,9,7,61,18,5.182984612,3.552369776,"0,1"
482,9,7,65,11,5.667267761,3.158798578,"0,1"
487,9,7,66,5,5.150557541,2.045567032,"0,1"
501,9,7,68,6,5.089608413,2.127468148,"0,1"
520,9,7,71,10,6.180679549,2.90622633,"0,1"
525,9,7,62,24,5.096013172,4.490660135,"0,1"
529,9,7,68,9,4.826420304,2.829055051,"0,1"
550,9,7,70,15,5.954387693,3.397185437,"0,1"
566,9,7,68,11,5.957752067,3.062391082,"0,1"
580,9,7,68,21,5.800376501,4.201003157,"0,1"
583,9,7,67,10,5.155554893,2.808785032,"0,1"
589,9,7,60,14,4.473549071,3.223231225,"0,1"
595,9,7,65,7,4.770853776,2.462142427,"0,1"
600,9,7,66,12,5.196412864,3.323667647,"0,1"
601,9,7,67,8,4.98283559,2.639608979,"0,1"
621,9,7,65,17,5.261501563,3.823296122,"0,1"
641,9,7,66,7,4.890576585,2.484232476,"0,1"
687,9,7,68,21,5.605288051,4.247822791,"0,1"
704,9,7,68,18,5.665491431,3.649897693,"0,1"
707,9,7,59,14,5.690550117,3.633290477,"0,1"
727,9,7,65,20,5.521224644,4.190070832,"0,1"
741,9,7,66,16,5.673585572,3.643548806,"0,1"
744,9,7,63,6,4.929199615,2.238346729,"0,1"
755,9,7,61,14,5.631197769,3.563810582,"0,1"
763,9,7,68,16,5.5681759,3.65566137,"0,1"
772,9,7,69,15,5.535349336,3.575958856,"0,1"
782,9,7,66,15,5.893769314,3.623762831,"0,1"
793,9,7,62,20,5.583301572,4.203788043,"0,1"
800,9,7,66,16,5.931415006,3.852104385,"0,1"
806,9,7,67,20,5.885494586,3.895067317,"0,1"
812,9,7,68,19,5.584736435,3.834897128,"0,1"
822,9,7,68,8,5.220749422,2.539508651,"0,1"
827,9,7,59,15,5.351977217,3.463340166,"0,1"
864,9,7,69,6,5.024293156,2.373644213,"0,1"
887,9,7,65,19,5.229592254,3.997544421,"0,1"
902,9,7,69,17,5.355264884,3.423201476,"0,1"
930,9,7,67,19,5.746096413,3.884730902,"0,1"
932,9,7,66,25,6.032190974,4.4769906,"0,1"
980,9,7,70,9,5.746869833,2.691447717,"0,1"
1005,9,7,63,12,5.53748958,3.182535967,"0,1"
1027,9,7,62,6,5.019730391,2.40561307,"0,1"
1036,9,7,64,15,4.690197718,3.601313358,"0,1"
1056,9,7,67,21,5.697773363,3.669637048,"0,1"
1061,9,7,61,11,5.153943854,3.045928071,"0,1"
1066,9,7,64,14,4.762032656,3.333836179,"0,1"
1112,9,7,69,18,5.747471905,3.572159424,"0,1"
1122,9,7,64,5,5.391108633,2.171982654,"0,1"
1138,9,7,65,3,4.740994823,1.732050808,"0,1"
1142,9,7,65,20,6.003826795,4.332201076,"0,1"
1161,9,7,63,18,5.497366466,4.029810104,"0,1"
1169,9,7,67,24,5.569139717,4.222959526,"0,1"
1173,9,7,62,6,5.046685545,2.194887632,"0,1"
1177,9,7,65,9,5.372123928,2.71678395,"0,1"
1221,9,7,71,13,5.386154235,3.475868366,"0,1"
1235,9,7,63,14,5.293681899,3.451200973,"0,1"
1250,9,7,64,13,5.40358148,3.125829686,"0,1"
1256,9,7,66,19,5.920841405,3.914668439,"0,1"
1272,9,7,59,25,5.576157571,4.187045436,"0,1"
1284,9,7,68,13,5.230952154,3.164708312,"0,1"
1286,9,7,67,9,5.690281212,2.960101207,"0,1"
1292,9,7,62,4,5.464008975,1.998042102,"0,1"
