epsilon,idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after)
"0,0",172,9,7,62,2,1.7360284255588465,0.861683839253829
"0,0",4122,9,7,52,1,1.1463061046271956,0.4549019607843137
"0,1",4,9,7,65,11,5.6502387560853515,3.150254928261116
"0,1",19,9,7,63,16,4.819159506261408,3.700431721438572
"0,1",22,9,7,67,6,5.194402985522901,2.283952677012879
"0,1",33,9,7,61,15,4.730709021186703,3.3563564763917264
"0,1",43,9,7,63,21,5.062233233035759,3.833521383482333
"0,1",45,9,7,63,16,5.676807535124797,3.7647283496061617
"0,1",54,9,7,65,8,5.051960689185434,2.3751144775016604
"0,1",57,9,7,61,16,5.153303774510827,3.2983749333689327
"0,1",87,9,7,65,9,5.55782714035862,2.77039048459591
"0,1",110,9,7,70,30,6.289742539025583,5.005172257493427
"0,1",116,9,7,67,14,5.560856217903989,3.256040434017747
"0,1",133,9,7,64,8,5.403056363760523,2.7530752439283703
"0,1",153,9,7,63,14,5.199575589695428,3.377663700293428
"0,1",154,9,7,67,7,5.316210980822547,2.579244634288563
"0,1",162,9,7,71,12,5.985893965541414,3.187277670137796
"0,1",167,9,7,59,13,5.491959100680965,3.3822068737997104
"0,1",170,9,7,65,22,5.616008042046882,4.036683005709182
"0,1",172,9,7,65,2,4.916137930242946,1.0388826695428648
"0,1",176,9,7,66,11,5.310265858783816,3.210018917901762
"0,1",183,9,7,54,15,5.294795889742405,3.525525093068142
"0,1",195,9,7,62,16,5.515341575561505,3.6209862903254835
"0,1",227,9,7,65,12,5.327913913218444,2.980041259013202
"0,1",247,9,7,64,11,5.4479692628365655,3.0955413111808445
"0,1",267,9,7,64,13,5.341225417989994,3.0682208588617486
"0,1",280,9,7,65,17,5.558232496158587,3.7053490642330016
"0,1",282,9,7,68,13,5.6459557746228,3.3131615716945935
"0,1",285,9,7,64,10,5.360233487199354,2.9282933529249275
"0,1",304,9,7,66,9,4.799195754743611,2.254059518674139
"0,1",313,9,7,63,12,5.225700249613266,3.0996322536150807
"0,1",319,9,7,60,16,5.37569537180896,3.3693053256638965
"0,1",344,9,7,69,22,6.181729476097108,4.226928921164297
"0,1",350,9,7,70,12,5.979408469404234,3.210136291438681
"0,1",362,9,7,64,9,5.97985982844569,2.8071310303046952
"0,1",364,9,7,67,9,5.3235897154711065,2.554645375585802
"0,1",374,9,7,74,14,6.228839920181729,3.1251260643545917
"0,1",383,9,7,63,20,5.65120218367055,4.0493381634172065
"0,1",389,9,7,62,10,5.375779764259113,2.8924752234217013
"0,1",409,9,7,59,15,5.429832017668683,3.4527735982762437
"0,1",419,9,7,61,8,5.860866641160428,2.5328172849009087
"0,1",423,9,7,59,18,5.393634022267998,3.7029140514095253
"0,1",441,9,7,66,12,5.679172034894025,3.356228178981384
"0,1",460,9,7,65,11,5.916060287006252,3.1581193455672047
"0,1",471,9,7,61,11,5.182984612041426,3.167442993530048
"0,1",482,9,7,65,6,5.667267761049633,2.4053765228836164
"0,1",487,9,7,66,14,5.150557541030669,3.1519850271991796
"0,1",501,9,7,68,7,5.089608413462051,2.3191959258343755
"0,1",520,9,7,71,12,6.1806795494044175,3.1444158469958947
"0,1",525,9,7,62,20,5.096013172069307,4.076807746198212
"0,1",529,9,7,68,9,4.826420303793053,2.859143584655695
"0,1",550,9,7,70,10,5.95438769270853,3.0687120203844946
"0,1",566,9,7,68,9,5.957752066726284,2.8384681065407955
"0,1",580,9,7,68,13,5.800376500792164,3.4190164086494788
"0,1",583,9,7,67,12,5.155554892680491,2.904021525864363
"0,1",589,9,7,60,12,4.473549071130308,3.04921820171602
"0,1",595,9,7,65,10,4.770853775964422,2.8323527714997336
"0,1",600,9,7,66,8,5.1964128638213465,2.78074612642144
"0,1",601,9,7,67,10,4.982835590206759,2.950028509105754
"0,1",621,9,7,65,12,5.261501562558967,3.3732283857466228
"0,1",641,9,7,66,9,4.890576584721533,2.77657305671112
"0,1",687,9,7,68,22,5.605288050852138,4.343926365704779
"0,1",704,9,7,68,16,5.6654914311539,3.63297512598855
"0,1",707,9,7,59,13,5.690550116687025,3.4680615594871087
"0,1",727,9,7,65,8,5.521224643919812,2.719799391023635
"0,1",741,9,7,66,17,5.6735855718461785,3.859004857847079
"0,1",744,9,7,63,4,4.9291996148211314,1.7372460496388455
"0,1",755,9,7,61,19,5.63119776887543,3.9923745077233503
"0,1",763,9,7,68,21,5.568175899946852,4.25911420666924
"0,1",772,9,7,69,10,5.535349336058475,2.9718298058994908
"0,1",782,9,7,66,12,5.893769313803926,3.1967928950016855
"0,1",793,9,7,62,13,5.583301571635804,3.373016383485305
"0,1",800,9,7,66,13,5.93141500551974,3.1386345005843483
"0,1",806,9,7,67,15,5.885494585892422,3.4621499277559704
"0,1",812,9,7,68,19,5.584736434761415,3.654051908216836
"0,1",822,9,7,68,8,5.220749422164149,2.483997225145969
"0,1",827,9,7,59,14,5.351977216946925,3.4303953790703785
"0,1",864,9,7,69,6,5.024293156496191,2.3928478590553826
"0,1",887,9,7,65,18,5.229592253735528,3.8220912327902896
"0,1",902,9,7,69,8,5.355264883846831,2.8077637188899915
"0,1",930,9,7,67,21,5.7460964132855255,4.16805743801748
"0,1",932,9,7,66,28,6.032190974329987,4.427041089763852
"0,1",980,9,7,70,7,5.74686983319282,2.417802103706469
"0,1",1005,9,7,63,11,5.537489580096128,3.1144366254654714
