idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after),epsilon
4,9,4,588,6,4.991821069,1.748808569,"0,1"
19,9,4,611,27,4.51185631,2.048891074,"0,1"
22,9,4,585,9,4.457914612,1.944864787,"0,1"
33,9,4,640,67,4.489028018,2.531350526,"0,1"
43,9,4,557,30,4.085536797,2.312488869,"0,1"
45,9,4,602,48,4.991455983,2.578054845,"0,1"
48,9,4,571,46,4.68853502,3.391655862,"0,1"
54,9,4,599,5,4.941985617,1.495758453,"0,1"
57,9,4,599,16,4.435136351,2.237422447,"0,1"
87,9,4,615,18,5.191601475,2.951735295,"0,1"
110,9,4,593,21,5.049561364,2.372617079,"0,1"
116,9,4,589,22,4.686323734,2.237123434,"0,1"
133,9,4,571,51,4.035604706,2.220736912,"0,1"
153,9,4,585,5,4.115095381,1.604750733,"0,1"
154,9,4,592,32,5.133941455,2.008302643,"0,1"
162,9,4,572,9,4.220784878,2.075136123,"0,1"
167,9,4,621,27,4.937223754,2.942985065,"0,1"
170,9,4,592,63,4.91450317,2.710045107,"0,1"
172,9,4,596,17,4.661941915,1.666182167,"0,1"
176,9,4,578,11,4.323075429,1.840749392,"0,1"
183,9,4,589,17,5.388426517,2.906869193,"0,1"
195,9,4,596,38,4.661748933,2.708447207,"0,1"
226,9,4,573,7,4.410595052,2.111683688,"0,1"
227,9,4,558,13,4.15474974,2.137031829,"0,1"
247,9,4,571,6,3.826866317,1.619864197,"0,1"
264,9,4,582,4,5.049604002,1.165821081,"0,1"
267,9,4,565,19,4.166147603,2.259276235,"0,1"
280,9,4,588,12,4.265379708,1.749278975,"0,1"
282,9,4,593,13,5.123509526,2.46108974,"0,1"
285,9,4,548,6,3.937854419,1.90650357,"0,1"
304,9,4,558,16,4.227287275,2.11245187,"0,1"
313,9,4,569,13,4.081365837,1.987368802,"0,1"
319,9,4,579,17,4.376818455,2.225071223,"0,1"
322,9,4,593,78,4.81734978,2.776127153,"0,1"
334,9,4,573,31,5.07275328,3.016502095,"0,1"
344,9,4,579,5,4.787180112,1.615686275,"0,1"
346,9,4,617,106,5.129797011,3.744673007,"0,1"
350,9,4,577,40,4.249343075,2.510906621,"0,1"
362,9,4,571,11,4.21310637,1.828860014,"0,1"
364,9,4,571,15,4.099729457,1.87030869,"0,1"
374,9,4,584,13,3.842120714,1.727654614,"0,1"
383,9,4,602,10,4.813290584,2.158249109,"0,1"
389,9,4,572,27,4.291307165,2.150318056,"0,1"
409,9,4,592,6,4.323468498,1.612155861,"0,1"
419,9,4,581,26,4.298624191,2.107349691,"0,1"
423,9,4,572,13,4.140325967,2.014739993,"0,1"
424,9,4,611,7,4.920029444,1.785834301,"0,1"
428,9,4,586,25,4.458478611,2.585292445,"0,1"
434,9,4,617,46,4.902183524,2.525176573,"0,1"
441,9,4,562,21,3.863362148,1.887215941,"0,1"
