epsilon,idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after)
"0,1",4,9,4,588,6,4.991821069063276,1.7488085689965531
"0,1",19,9,4,611,18,4.511856310477711,2.03511276535349
"0,1",22,9,4,585,20,4.457914612380164,1.6405754750310502
"0,1",33,9,4,640,25,4.489028018293003,2.22493644315655
"0,1",43,9,4,557,39,4.08553679690654,2.344606152098532
"0,1",45,9,4,602,35,4.9914559833304715,2.637426191682063
"0,1",48,9,4,571,49,4.688535019654511,3.3952586974268844
"0,1",54,9,4,599,5,4.941985616910951,1.4957584526627399
"0,1",57,9,4,599,12,4.43513635058598,2.1413021582014498
"0,1",87,9,4,615,17,5.191601474946203,2.9189829326350973
"0,1",110,9,4,593,19,5.049561364424367,2.312276049818699
"0,1",116,9,4,589,15,4.6863237342562005,2.227668451134834
"0,1",133,9,4,571,43,4.035604706125022,2.1776326168382316
"0,1",153,9,4,585,6,4.115095381173482,1.6274037318915042
"0,1",154,9,4,592,31,5.133941455014269,2.111567161732789
"0,1",162,9,4,572,8,4.220784878477972,1.9671934469365555
"0,1",167,9,4,621,17,4.937223753581136,2.826626841355103
"0,1",170,9,4,592,46,4.914503169919732,2.7615278633296776
"0,1",172,9,4,596,12,4.661941915355159,1.5766364169928107
"0,1",176,9,4,578,8,4.323075428568404,1.8466383102349453
"0,1",183,9,4,589,15,5.388426517142278,2.806218721702402
"0,1",195,9,4,596,33,4.661748932985007,2.7205343573538054
"0,1",226,9,4,573,6,4.410595051921434,2.1116254255232536
"0,1",227,9,4,558,14,4.154749740431212,2.1355200730301025
"0,1",247,9,4,571,6,3.82686631664335,1.6198641965852263
"0,1",264,9,4,582,5,5.0496040019689925,1.1096445530968952
"0,1",267,9,4,565,28,4.166147603193571,2.4422841805274094
"0,1",280,9,4,588,10,4.26537970786747,1.679818924351142
"0,1",282,9,4,593,11,5.12350952623652,2.415877252445795
"0,1",285,9,4,548,6,3.9378544188514217,1.9065035701853708
"0,1",304,9,4,558,14,4.227287275378103,1.7193384098175812
"0,1",313,9,4,569,10,4.081365837225362,2.0517450679638247
"0,1",319,9,4,579,38,4.3768184554979594,2.2533976226641688
"0,1",322,9,4,593,32,4.817349779746424,2.88699106621034
"0,1",334,9,4,573,30,5.0727532796516766,2.833400501273187
"0,1",344,9,4,579,5,4.78718011209162,1.6156862745098037
"0,1",346,9,4,617,52,5.129797011376919,3.575008300993473
"0,1",350,9,4,577,33,4.249343075176419,2.4344856730156406
"0,1",362,9,4,571,11,4.213106369720995,1.8288600138894422
"0,1",364,9,4,571,17,4.099729457226769,1.9637741910497997
"0,1",374,9,4,584,12,3.8421207138976614,1.597802219885674
"0,1",383,9,4,602,13,4.813290583764126,2.1437605609210544
"0,1",389,9,4,572,22,4.291307165153505,2.23269542784281
"0,1",409,9,4,592,6,4.323468498081413,1.612155861127891
"0,1",419,9,4,581,11,4.298624190905798,2.0682399042235233
"0,1",423,9,4,572,13,4.140325967327297,2.014739993032168
"0,1",424,9,4,611,7,4.920029444496996,1.78010708610055
"0,1",428,9,4,586,15,4.458478611178484,2.488855591033371
"0,1",434,9,4,617,24,4.902183524351226,2.163679068773597
"0,1",441,9,4,562,22,3.8633621483859018,1.914966649913429
"0,1",460,9,4,609,32,4.9403018211252965,2.8709176924409507
"0,1",471,9,4,601,17,4.391561584310179,2.3838041251080107
"0,1",482,9,4,566,2,4.127830544701055,0.949149237622166
"0,1",487,9,4,673,8,4.786617895803947,2.0806055960440673
"0,1",501,9,4,689,9,4.8131100600958545,2.0754103090204015
"0,1",520,9,4,571,6,4.477754833690024,1.9620701666137934
"0,1",525,9,4,651,12,4.936178611526373,2.2393873770928545
"0,1",529,9,4,636,18,4.609476556544833,2.041544673049527
"0,1",550,9,4,588,24,4.321145134226528,2.0048998034409986
"0,1",566,9,4,572,6,4.189114617246959,1.8455178618460797
"0,1",580,9,4,584,11,4.639331707564189,1.8945479152432734
"0,1",583,9,4,647,45,4.582642812615881,2.1746574323550103
"0,1",589,9,4,610,10,4.673929099342697,2.0935374095162986
"0,1",595,9,4,638,23,4.854830687810326,2.2441071535402557
"0,1",600,9,4,564,9,4.350746664630381,1.9038680552242035
"0,1",601,9,4,651,13,4.852251485948683,1.9776762584695478
"0,1",621,9,4,618,6,4.657271808659107,1.771824422432781
"0,1",626,9,4,697,9,5.736092788365589,1.9631945970176579
"0,1",631,9,4,671,14,5.114529889818664,2.2663850832628363
"0,1",641,9,4,616,14,4.049809067034023,1.420712385811699
"0,1",687,9,4,579,20,4.8703119494749,2.436591489222555
"0,1",704,9,4,685,57,6.009611678465719,3.3623420555356476
"0,1",707,9,4,586,16,4.512072745575033,2.1874866946374065
"0,1",727,9,4,590,26,4.682146019666726,2.7919007373164373
"0,1",741,9,4,605,12,4.377171565199153,2.3723059347193507
"0,1",744,9,4,568,19,4.331279790235157,1.5713212164430725
"0,1",755,9,4,620,16,4.811462668501194,2.6103835481320217
"0,1",763,9,4,618,23,4.95902937260298,3.097048737173925
"0,1",764,9,4,596,22,5.696339975771232,2.995801239615508
"0,1",772,9,4,631,34,4.968257565506891,2.6029439459384847
"0,1",782,9,4,600,12,4.993113288847286,2.241995458751571
"0,1",788,9,4,592,7,5.219000863339076,1.2778658679496013
"0,1",793,9,4,613,28,4.899709286859008,2.67511062195137
"0,1",800,9,4,567,12,4.395621882504054,2.3166183311280295
"0,1",806,9,4,583,14,4.023045875466646,2.144115629790062
"0,1",812,9,4,593,12,4.716175018494858,2.1091514407640086
"0,1",822,9,4,575,28,3.8226766268699524,1.947401387632271
"0,1",826,9,4,658,26,6.402109417846407,3.2003916523109277
"0,1",827,9,4,609,27,4.599194219247443,2.6616273029931232
"0,1",864,9,4,566,13,3.7031964537942192,1.5616856201435083
"0,1",887,9,4,639,44,5.441893964353019,3.617516868904542
"0,1",900,9,4,568,2,4.067417254459665,0.9259968702796902
"0,1",929,9,4,631,42,5.562426815695578,3.719642469372769
"0,1",930,9,4,618,16,5.005491793708767,2.154512088052067
"0,1",932,9,4,598,8,4.7215539704026295,1.6326964838987004
"0,1",940,9,4,581,14,4.6291306356742234,2.4344067089551653
"0,1",974,9,4,602,26,5.925754915512754,2.6566710009675223
"0,1",980,9,4,559,34,4.294930534573163,1.91269660544956
"0,1",1005,9,4,650,26,5.564265068419547,3.04147164848579
"0,1",1027,9,4,577,4,4.194764316856377,1.38161710355588
"0,1",1036,9,4,655,8,4.995248799895416,1.8959922522337915
"0,1",1038,9,4,590,35,5.172544559899369,2.8711319532216657
"0,1",1056,9,4,597,9,4.5753598463893885,1.920672059746767
"0,1",1061,9,4,584,10,4.1200795802738215,1.8804688283046063
"0,1",1066,9,4,619,4,4.727587200483734,1.2466949771347728
"0,1",1083,9,4,641,14,5.80057269574444,2.624493506728279
"0,1",1103,9,4,607,25,4.638119970714977,2.6232363035655943
"0,1",1112,9,4,570,11,4.4996885705384,2.2067179245345634
"0,1",1116,9,4,587,5,4.39888665093585,1.6260187413827527
"0,1",1122,9,4,596,10,4.5299498873954995,2.1170006275518625
"0,1",1138,9,4,557,15,4.3442007284703825,2.380059414027766
"0,1",1142,9,4,617,16,5.520177242249709,2.548144646212973
"0,1",1147,9,4,619,21,5.222494450846221,2.62015668783752
"0,1",1161,9,4,624,32,4.741567313882612,2.464770617023126
"0,1",1167,9,4,603,33,4.6698588521866915,2.5242842084619452
"0,1",1169,9,4,602,13,4.502988883086382,1.7992009846058155
"0,1",1173,9,4,589,11,4.405182017168295,2.0643883710206343
"0,1",1177,9,4,591,15,5.046039478396073,2.1117346657975893
"0,1",1194,9,4,602,30,5.743850496951858,2.957273597086966
"0,1",1221,9,4,612,18,4.756623500764769,2.355661825782117
"0,1",1235,9,4,606,20,4.824715301375929,2.6503654002975128
"0,1",1250,9,4,559,42,3.912186816873548,2.052996422276672
"0,1",1256,9,4,564,9,4.0254725270139335,1.8872322382138027
"0,1",1272,9,4,621,42,5.749629478391871,2.7869167616784707
"0,1",1274,9,4,670,17,5.5983286900191676,2.4739504044369998
"0,1",1282,9,4,568,56,5.097969833615352,3.26959828907679
"0,1",1284,9,4,570,16,4.03238905319852,1.603811300682486
"0,1",1286,9,4,592,6,4.336776203062351,1.69990388040453
"0,1",1291,9,4,609,11,4.636163284026495,2.0977056725889827
"0,1",1292,9,4,579,12,4.329798931253351,1.8699715347955943
"0,1",1305,9,4,594,14,4.6885825803585055,2.2324026706595084
"0,1",1307,9,4,583,20,4.248449069072487,1.9088333484142754
"0,1",1316,9,4,611,26,4.577019978113067,2.0967120596249136
"0,1",1333,9,4,608,17,4.756337361672237,2.4239354948827656
"0,1",1352,9,4,645,55,6.156822779937731,3.5700988132448352
"0,1",1355,9,4,580,24,4.34341122492675,2.5509796385886063
"0,1",1360,9,4,631,41,5.129204888794573,2.983826710409757
"0,1",1364,9,4,658,31,5.929711321409162,3.086406554715682
"0,1",1370,9,4,571,8,5.239588456857259,2.314316973249786
"0,1",1383,9,4,581,46,4.010558920244028,2.4344130261742603
"0,1",1396,9,4,581,5,4.22532777996398,1.7059995452194938
"0,1",1399,9,4,591,11,4.37898760988254,2.0484556874815594
"0,1",1401,9,4,613,15,4.660224586318242,2.102524068511403
"0,1",1410,9,4,586,23,4.450363609334234,2.342936245377557
"0,1",1421,9,4,602,13,4.520998892731728,1.9348480722444863
"0,1",1426,9,4,573,11,4.198912365351665,1.6770243323527971
"0,1",1441,9,4,591,14,4.210588801414167,2.028186615129407
"0,1",1455,9,4,648,6,4.562881179665569,1.754291711181476
"0,1",1459,9,4,627,10,4.553773715913845,2.0494314249824264
"0,1",1462,9,4,583,22,5.452180711403825,2.431144834371272
"0,1",1465,9,4,629,9,4.731966922678572,2.1340144529748564
"0,1",1500,9,4,571,8,4.0142767133966455,1.5594437044778506
"0,1",1507,9,4,594,11,4.516080883203606,2.261586001422468
"0,1",1518,9,4,625,34,5.483759532312446,2.66254294765303
"0,1",1522,9,4,659,22,5.749412821263733,2.254826938223408
"0,1",1552,9,4,569,5,4.6071004824970645,1.1596642715056327
"0,1",1555,9,4,586,39,4.649219320724213,2.4942440466182805
"0,1",1560,9,4,603,46,4.947495181768804,3.396993039003135
"0,1",1569,9,4,625,12,4.727567682621967,2.093261924009207
"0,1",1574,9,4,622,29,5.5293116386429,3.136073306897666
"0,1",1585,9,4,589,14,4.260924625248967,1.8578180452545283
"0,1",1591,9,4,623,37,5.110052211324322,2.9884720198550236
"0,1",1610,9,4,637,11,4.979572265383298,2.181664884575311
"0,1",1612,9,4,568,11,4.205536344833131,1.5169426343096288
"0,1",1620,9,4,597,24,5.889667347878478,2.7733809107799012
"0,1",1622,9,4,628,39,5.29007398222451,2.998143729182799
"0,1",1623,9,4,590,13,5.243728243343879,2.0032346007946344
"0,1",1632,9,4,586,15,4.4794665882259554,2.0880355239067416
"0,1",1643,9,4,577,23,4.157674726467118,2.1780139378736085
"0,1",1659,9,4,577,13,4.3654422154296455,2.1569589996347505
"0,1",1674,9,4,672,48,6.494299987967741,3.0789283974937613
"0,1",1683,9,4,613,31,5.119568417027394,3.330192291704921
"0,1",1684,9,4,592,32,4.574364822929676,2.404692324380131
"0,1",1695,9,4,584,29,4.768474262245343,2.643111072192422
"0,1",1720,9,4,581,8,4.2874314496230985,1.9176590881374178
"0,1",1728,9,4,580,10,4.187093183484439,1.8367724898708409
"0,1",1732,9,4,616,23,4.586939652829597,2.559991469612854
"0,1",1733,9,4,582,30,4.519307973549124,2.3227375170778686
"0,1",1736,9,4,575,11,4.420794245479109,1.853562506056932
"0,1",1740,9,4,589,41,5.267720683515655,2.7711980512018637
"0,1",1743,9,4,588,26,4.5855380038859845,2.3371627827615518
"0,1",1748,9,4,598,28,5.225255853186254,3.110355266013044
"0,1",1751,9,4,591,20,4.954228016582624,2.6401361911907824
"0,1",1757,9,4,611,50,5.494519306251151,3.485749535894629
"0,1",1794,9,4,599,46,4.9617235412513425,3.1319464893250313
"0,1",1811,9,4,592,16,4.60054323723432,2.4635661176732473
"0,1",1820,9,4,603,28,5.389692128311727,2.698922564012526
"0,1",1826,9,4,633,30,4.684802459751069,2.1157326132053043
"0,1",1850,9,4,598,11,3.8183393633935623,1.5384349212496495
"0,1",1855,9,4,576,15,4.836586822094543,2.4874247354817913
"0,1",1875,9,4,669,25,4.967568793232163,1.6856359940225776
"0,1",1878,9,4,584,18,4.581184460080784,2.1453453633812596
"0,1",1882,9,4,583,12,4.36182453385383,2.167471237359974
"0,1",1884,9,4,595,14,5.08600691693323,2.655148133517013
"0,1",1895,9,4,576,26,4.383257791394529,2.3930695783700933
"0,1",1903,9,4,569,18,4.65622162769482,2.5121404565036993
"0,1",1905,9,4,593,20,5.082242494563658,2.526202554508492
"0,1",1912,9,4,595,27,5.976877141233494,3.026612705238729
"0,1",1925,9,4,621,47,5.369684365806717,3.314307873176644
"0,1",1937,9,4,567,44,4.04369635357591,1.9449517655310156
"0,1",1939,9,4,567,24,4.169861289743539,1.9911800909400286
"0,1",1940,9,4,591,1,4.595440964960547,0.2823529411764706
"0,1",1949,9,4,576,16,4.504831017811748,2.374463657847288
"0,1",1950,9,4,606,4,5.195727698114727,1.1348114385894261
"0,1",1960,9,4,600,22,4.521342442857262,2.334878381196514
"0,1",1962,9,4,565,4,4.479140426682079,1.2713444856648006
"0,1",1968,9,4,606,9,4.173146057831227,2.143635017451212
"0,1",1984,9,4,581,8,4.405110450109332,1.8240606436831837
"0,1",2006,9,4,586,16,4.297647398771522,2.105630393515106
"0,1",2033,9,4,596,24,4.4327726401776895,2.3123059786433253
"0,1",2041,9,4,572,8,4.440862647441484,1.9679945861898571
"0,1",2060,9,4,590,17,4.588691111931898,2.2754832264552682
"0,1",2099,9,4,559,20,4.253774134433364,1.97509678367485
"0,1",2116,9,4,590,14,4.38834743763205,2.0415635051497665
"0,1",2119,9,4,574,17,4.442032986705395,2.2004648070729225
"0,1",2137,9,4,609,25,5.207875620026267,3.1484823608320545
"0,1",2140,9,4,609,11,4.770566878573764,2.195413064469817
"0,1",2141,9,4,545,5,4.4731227765496095,1.7240948011946278
"0,1",2199,9,4,594,32,4.815534582780465,2.789798519346283
"0,1",2216,9,4,581,15,4.743702598249412,2.282646029291526
"0,1",2219,9,4,567,28,4.337531459466412,2.545412228711002
"0,1",2221,9,4,575,16,4.155880387068257,2.220584556115205
"0,1",2247,9,4,591,28,4.8107802179342185,3.2360593272130536
"0,1",2267,9,4,585,30,4.847003299383737,2.8951828636405206
"0,1",2274,9,4,607,11,5.317496672059377,1.9985384894492457
"0,1",2284,9,4,595,17,5.190814944177666,2.77381616771134
"0,1",2299,9,4,592,23,4.548267348212825,2.464808053164903
"0,1",2312,9,4,584,37,5.6571369763957415,2.922371254402535
"0,1",2321,9,4,591,29,5.082089680908647,2.7965431508866874
"0,1",2331,9,4,567,33,4.249111447924826,2.50509054967142
"0,1",2351,9,4,574,13,4.339559009304126,2.3087650381833726
"0,1",2364,9,4,576,16,4.797384908550106,2.0202359579128335
"0,1",2370,9,4,595,15,4.43461273176567,2.217299430113927
"0,1",2371,9,4,630,21,4.741849479471796,2.583989387246499
"0,1",2385,9,4,646,29,5.3619230828576905,2.6520823791485215
"0,1",2398,9,4,599,15,4.089776828850679,1.768296999693042
"0,1",2434,9,4,572,8,5.0657590396911125,1.8026849981664517
"0,1",2438,9,4,571,5,3.908478151528616,1.4249924961187048
"0,1",2453,9,4,616,45,5.142834868103815,2.854266251135686
"0,1",2460,9,4,626,29,5.163291303590788,2.8891316847073902
"0,1",2465,9,4,608,49,4.845084946142076,2.561787030061138
"0,1",2471,9,4,600,54,4.455575066520017,2.7111713016682697
"0,1",2501,9,4,581,12,4.227618316743435,2.228241367640507
"0,1",2509,9,4,609,13,4.715563571026007,2.6013423323405385
"0,1",2514,9,4,583,20,4.279859936552718,1.723323059765602
"0,1",2521,9,4,621,35,4.932081576908114,2.9247278615635466
"0,1",2553,9,4,687,17,5.107973729089683,2.4730986312068204
