idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after),epsilon
4,9,4,588,6,4.991821069,1.748808569,"0,1"
19,9,4,611,13,4.51185631,1.884426962,"0,1"
22,9,4,585,9,4.457914612,1.545819479,"0,1"
33,9,4,640,27,4.489028018,2.272267319,"0,1"
43,9,4,557,17,4.085536797,2.130339595,"0,1"
45,9,4,602,27,4.991455983,2.643969148,"0,1"
48,9,4,571,36,4.68853502,3.290721872,"0,1"
54,9,4,599,4,4.941985617,1.358499523,"0,1"
57,9,4,599,11,4.435136351,2.077406333,"0,1"
87,9,4,615,16,5.191601475,2.900503079,"0,1"
110,9,4,593,20,5.049561364,2.37145332,"0,1"
116,9,4,589,13,4.686323734,2.250669515,"0,1"
133,9,4,571,32,4.035604706,2.131873058,"0,1"
153,9,4,585,5,4.115095381,1.604750733,"0,1"
154,9,4,592,16,5.133941455,2.020152221,"0,1"
162,9,4,572,8,4.220784878,1.967193447,"0,1"
167,9,4,621,15,4.937223754,2.68199172,"0,1"
170,9,4,592,37,4.91450317,2.68021931,"0,1"
172,9,4,596,20,4.661941915,1.714133751,"0,1"
176,9,4,578,9,4.323075429,1.789911495,"0,1"
183,9,4,589,18,5.388426517,2.759700656,"0,1"
195,9,4,596,18,4.661748933,2.477910097,"0,1"
226,9,4,573,6,4.410595052,2.111625426,"0,1"
227,9,4,558,15,4.15474974,2.039807606,"0,1"
247,9,4,571,7,3.826866317,1.552024883,"0,1"
264,9,4,582,5,5.049604002,1.109644553,"0,1"
267,9,4,565,19,4.166147603,2.275324398,"0,1"
280,9,4,588,14,4.265379708,1.717579907,"0,1"
282,9,4,593,13,5.123509526,2.331249688,"0,1"
285,9,4,548,7,3.937854419,1.859311593,"0,1"
304,9,4,558,9,4.227287275,1.5210278,"0,1"
313,9,4,569,8,4.081365837,1.999861587,"0,1"
319,9,4,579,10,4.376818455,2.099222683,"0,1"
322,9,4,593,46,4.81734978,2.61086365,"0,1"
334,9,4,573,29,5.07275328,2.962993592,"0,1"
344,9,4,579,5,4.787180112,1.656276727,"0,1"
346,9,4,617,52,5.129797011,3.651845899,"0,1"
350,9,4,577,25,4.249343075,2.350253367,"0,1"
362,9,4,571,11,4.21310637,1.828860014,"0,1"
364,9,4,571,15,4.099729457,1.973897329,"0,1"
374,9,4,584,10,3.842120714,1.602909696,"0,1"
383,9,4,602,12,4.813290584,2.108557107,"0,1"
389,9,4,572,19,4.291307165,2.24143978,"0,1"
409,9,4,592,6,4.323468498,1.586854883,"0,1"
419,9,4,581,11,4.298624191,2.004447189,"0,1"
423,9,4,572,12,4.140325967,2.051186583,"0,1"
424,9,4,611,7,4.920029444,1.775708619,"0,1"
428,9,4,586,20,4.458478611,2.44123553,"0,1"
434,9,4,617,26,4.902183524,2.48936222,"0,1"
441,9,4,562,16,3.863362148,1.90538604,"0,1"
460,9,4,609,31,4.940301821,2.630247268,"0,1"
471,9,4,601,15,4.391561584,2.311747243,"0,1"
482,9,4,566,3,4.127830545,0.860639141,"0,1"
487,9,4,673,9,4.786617896,2.123046856,"0,1"
501,9,4,689,7,4.81311006,1.944477289,"0,1"
520,9,4,571,7,4.477754834,1.919642893,"0,1"
525,9,4,651,11,4.936178612,2.086860451,"0,1"
529,9,4,636,17,4.609476557,1.976801248,"0,1"
550,9,4,588,13,4.321145134,1.821719532,"0,1"
566,9,4,572,6,4.189114617,1.79514489,"0,1"
