idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after),epsilon
4,9,4,588,26,4.991821069,2.478791237,"0,1"
19,9,4,611,18,4.51185631,1.97039605,"0,1"
22,9,4,585,12,4.457914612,1.504865874,"0,1"
33,9,4,640,29,4.489028018,2.494567724,"0,1"
43,9,4,557,29,4.085536797,2.227105745,"0,1"
45,9,4,602,41,4.991455983,2.925143227,"0,1"
48,9,4,571,41,4.68853502,2.96779847,"0,1"
54,9,4,599,7,4.941985617,1.243712368,"0,1"
57,9,4,599,24,4.435136351,2.222090346,"0,1"
87,9,4,615,28,5.191601475,2.858753597,"0,1"
110,9,4,593,27,5.049561364,2.613830661,"0,1"
116,9,4,589,16,4.686323734,2.296030709,"0,1"
133,9,4,571,39,4.035604706,2.114671112,"0,1"
153,9,4,585,12,4.115095381,1.726073876,"0,1"
154,9,4,592,18,5.133941455,2.076847343,"0,1"
162,9,4,572,15,4.220784878,2.065907514,"0,1"
167,9,4,621,40,4.937223754,2.974390241,"0,1"
170,9,4,592,39,4.91450317,2.859918024,"0,1"
172,9,4,596,15,4.661941915,1.374071984,"0,1"
176,9,4,578,14,4.323075429,1.715017236,"0,1"
183,9,4,589,34,5.388426517,3.232845181,"0,1"
195,9,4,596,41,4.661748933,2.731056525,"0,1"
226,9,4,573,19,4.410595052,2.069633618,"0,1"
227,9,4,558,18,4.15474974,2.213498833,"0,1"
247,9,4,571,17,3.826866317,1.947180258,"0,1"
264,9,4,582,9,5.049604002,1.754865812,"0,1"
267,9,4,565,24,4.166147603,2.367458483,"0,1"
280,9,4,588,13,4.265379708,1.712809914,"0,1"
282,9,4,593,24,5.123509526,2.403803215,"0,1"
285,9,4,548,16,3.937854419,2.092725542,"0,1"
304,9,4,558,13,4.227287275,1.827114334,"0,1"
313,9,4,569,23,4.081365837,2.155300682,"0,1"
319,9,4,579,26,4.376818455,2.120034964,"0,1"
322,9,4,593,45,4.81734978,3.072493336,"0,1"
334,9,4,573,29,5.07275328,3.089250378,"0,1"
344,9,4,579,13,4.787180112,1.713043342,"0,1"
346,9,4,617,68,5.129797011,3.885928241,"0,1"
350,9,4,577,34,4.249343075,2.612497689,"0,1"
362,9,4,571,16,4.21310637,1.761360664,"0,1"
364,9,4,571,15,4.099729457,1.866357694,"0,1"
374,9,4,584,8,3.842120714,1.428856236,"0,1"
383,9,4,602,26,4.813290584,2.132406806,"0,1"
389,9,4,572,27,4.291307165,2.331394812,"0,1"
409,9,4,592,22,4.323468498,1.676272205,"0,1"
419,9,4,581,18,4.298624191,2.320120773,"0,1"
423,9,4,572,24,4.140325967,2.194985723,"0,1"
424,9,4,611,12,4.920029444,1.936143207,"0,1"
428,9,4,586,26,4.458478611,2.566213504,"0,1"
434,9,4,617,32,4.902183524,2.491406221,"0,1"
441,9,4,562,21,3.863362148,2.036872711,"0,1"
460,9,4,609,28,4.940301821,2.660667993,"0,1"
471,9,4,601,30,4.391561584,2.411047239,"0,1"
482,9,4,566,9,4.127830545,0.85501888,"0,1"
487,9,4,673,19,4.786617896,2.087070466,"0,1"
501,9,4,689,17,4.81311006,1.941956666,"0,1"
520,9,4,571,10,4.477754834,1.935352722,"0,1"
525,9,4,651,21,4.936178612,2.052914021,"0,1"
529,9,4,636,30,4.609476557,2.104943742,"0,1"
550,9,4,588,21,4.321145134,2.238260845,"0,1"
566,9,4,572,16,4.189114617,1.791088196,"0,1"
580,9,4,584,22,4.639331708,2.215464157,"0,1"
583,9,4,647,27,4.582642813,2.39219865,"0,1"
589,9,4,610,19,4.673929099,2.327162709,"0,1"
595,9,4,638,14,4.854830688,1.863570509,"0,1"
600,9,4,564,16,4.350746665,2.095574877,"0,1"
601,9,4,651,28,4.852251486,2.242557857,"0,1"
621,9,4,618,17,4.657271809,1.994290196,"0,1"
626,9,4,697,13,5.736092788,1.926300696,"0,1"
631,9,4,671,21,5.11452989,2.444565723,"0,1"
641,9,4,616,11,4.049809067,1.316239912,"0,1"
687,9,4,579,35,4.870311949,2.705001277,"0,1"
704,9,4,685,50,6.009611678,3.450545873,"0,1"
707,9,4,586,24,4.512072746,2.421974246,"0,1"
727,9,4,590,31,4.68214602,2.8989465,"0,1"
741,9,4,605,31,4.377171565,2.500491301,"0,1"
744,9,4,568,9,4.33127979,1.591867065,"0,1"
755,9,4,620,44,4.811462669,2.913480052,"0,1"
763,9,4,618,44,4.959029373,3.164001185,"0,1"
764,9,4,596,47,5.696339976,3.114745227,"0,1"
772,9,4,631,26,4.968257566,2.674619054,"0,1"
782,9,4,600,24,4.993113289,2.377576912,"0,1"
788,9,4,592,5,5.219000863,1.218813183,"0,1"
793,9,4,613,37,4.899709287,2.647715242,"0,1"
800,9,4,567,32,4.395621883,2.565599173,"0,1"
806,9,4,583,24,4.023045875,2.160787872,"0,1"
812,9,4,593,18,4.716175018,2.13180092,"0,1"
822,9,4,575,20,3.822676627,1.721988425,"0,1"
826,9,4,658,47,6.402109418,3.151709349,"0,1"
827,9,4,609,31,4.599194219,2.689810182,"0,1"
864,9,4,566,33,3.703196454,1.728922611,"0,1"
887,9,4,639,70,5.441893964,3.615490616,"0,1"
900,9,4,568,3,4.067417254,0.806900268,"0,1"
929,9,4,631,63,5.562426816,3.721167771,"0,1"
930,9,4,618,32,5.005491794,2.425720819,"0,1"
932,9,4,598,8,4.72155397,1.817650232,"0,1"
940,9,4,581,27,4.629130636,2.703340665,"0,1"
974,9,4,602,28,5.925754916,2.81642079,"0,1"
980,9,4,559,24,4.294930535,2.13250777,"0,1"
1005,9,4,650,49,5.564265068,2.932224284,"0,1"
