epsilon,idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after)
"0,1",4,9,4,588,21,4.991821069063276,2.120241692968353
"0,1",19,9,4,611,30,4.511856310477711,2.1290831364515426
"0,1",22,9,4,585,13,4.457914612380164,1.8705019094644797
"0,1",33,9,4,640,32,4.489028018293003,2.540746756211706
"0,1",43,9,4,557,24,4.08553679690654,2.3600643811391833
"0,1",45,9,4,602,30,4.9914559833304715,2.810057731103366
"0,1",48,9,4,571,39,4.688535019654511,2.8211945684004163
"0,1",54,9,4,599,7,4.941985616910951,1.4020581345605565
"0,1",57,9,4,599,12,4.43513635058598,2.250403014015533
"0,1",87,9,4,615,32,5.191601474946203,3.100599587313045
"0,1",110,9,4,593,24,5.049561364424367,2.5216479114178525
"0,1",116,9,4,589,28,4.6863237342562005,2.443562107018637
"0,1",133,9,4,571,35,4.035604706125022,2.3158481456266644
"0,1",153,9,4,585,25,4.115095381173482,2.000411337938645
"0,1",154,9,4,592,25,5.133941455014269,2.232096095517221
"0,1",162,9,4,572,16,4.220784878477972,2.016296543003331
"0,1",167,9,4,621,31,4.937223753581136,2.873238891930813
"0,1",170,9,4,592,42,4.914503169919732,3.0870218593355276
"0,1",172,9,4,596,12,4.661941915355159,1.608961829856333
"0,1",176,9,4,578,9,4.323075428568404,1.653516751369282
"0,1",183,9,4,589,48,5.388426517142278,3.4408139019095483
"0,1",195,9,4,596,39,4.661748932985007,2.8513606564644487
"0,1",226,9,4,573,11,4.410595051921434,2.078657035474224
"0,1",227,9,4,558,24,4.154749740431212,2.055328499362619
"0,1",247,9,4,571,17,3.82686631664335,1.6788940172349376
"0,1",264,9,4,582,6,5.0496040019689925,1.7193205206336744
"0,1",267,9,4,565,23,4.166147603193571,2.1724286793315004
"0,1",280,9,4,588,17,4.26537970786747,2.0701425545305887
"0,1",282,9,4,593,17,5.12350952623652,2.417223218736007
"0,1",285,9,4,548,9,3.9378544188514217,1.8787015238215412
