epsilon,idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after)
"0,0",4,9,4,80,14,5.054416685205292,2.771875004740827
"0,0",22,9,4,70,8,4.653279529603056,2.2711435536174336
"0,0",45,9,4,86,28,5.15238006913098,3.5937212964602674
"0,0",54,9,4,90,6,5.636793502004205,1.7135908772903745
"0,0",57,9,4,79,24,5.336557560587398,3.132727124847347
"0,0",133,9,4,64,30,4.40189920914181,3.2764160237650395
"0,0",154,9,4,84,18,5.155298353631513,3.118579216915923
"0,0",172,9,4,79,8,4.906042222438637,1.80663053203393
"0,0",183,9,4,78,22,5.96734030593173,3.9222626836794983
"0,0",226,9,4,73,18,4.062302194042773,2.735071324119353
"0,0",264,9,4,75,16,4.452032353877186,2.792256001764978
"0,0",280,9,4,73,15,5.16814690259155,2.5802163358659063
"0,0",282,9,4,72,19,5.158739686755801,3.289913283319897
"0,0",313,9,4,69,17,4.659706458884303,2.940242989119001
"0,0",344,9,4,62,8,3.8792263108090115,1.5881771957420152
"0,0",383,9,4,88,19,5.449101100788353,2.831804323169463
"0,0",389,9,4,74,15,4.749323997304516,2.73973144891049
"0,0",409,9,4,86,8,4.9994832489600425,2.0227882819710405
"0,0",423,9,4,80,21,4.743876037755592,3.0826921930752693
"0,0",482,9,4,67,3,4.479044290326869,1.2270061212276737
"0,0",525,9,4,92,32,5.702076757997438,3.600655670992915
"0,0",566,9,4,70,10,4.75347502340704,1.9722644319713767
"0,0",580,9,4,76,14,4.725333981634038,2.4935040557357793
"0,0",600,9,4,57,15,4.822904470914104,2.5967625424079905
"0,0",621,9,4,84,14,5.894126779114421,2.8361699620836287
"0,0",626,9,4,102,10,5.902580906774171,2.094598608203648
"0,0",744,9,4,65,15,5.167069597712495,2.5991392417788157
"0,0",764,9,4,86,31,5.221795036803164,3.7169872004783393
"0,0",788,9,4,83,4,5.015371987271092,1.5956929726775988
"0,0",812,9,4,78,18,5.171523185377901,2.7424132529265153
"0,0",822,9,4,64,20,4.559543270192381,3.1511042351543024
"0,0",900,9,4,63,3,4.37673764031665,1.4897470943850697
"0,0",932,9,4,76,12,4.731229124371086,2.4455154761047297
"0,0",940,9,4,84,25,4.970827623117365,3.084477639213012
"0,0",1027,9,4,68,7,4.684218106526608,1.9513419706323654
"0,0",1036,9,4,83,9,5.606795459518302,2.5140588931876664
"0,0",1112,9,4,79,22,4.8251902130465245,3.357804064464239
"0,0",1116,9,4,76,5,5.355541995480894,1.8368520285683942
"0,0",1122,9,4,75,33,4.912309077109294,3.0851755773286262
"0,0",1161,9,4,88,26,5.54925933106519,3.364858993728262
"0,0",1169,9,4,88,14,5.326687035225725,2.662427426255389
"0,0",1173,9,4,76,13,5.7011138352025315,2.857688254640002
"0,0",1284,9,4,62,10,4.939637170754598,2.4515199406130423
"0,0",1286,9,4,72,22,4.230318428003595,2.6970472412635034
"0,0",1307,9,4,74,18,5.22728623072689,3.102625049720667
"0,0",1316,9,4,78,20,5.227137657379655,2.9753750341121434
"0,0",1396,9,4,70,15,4.127008965200657,2.534362080928298
"0,0",1421,9,4,73,12,5.311922130861558,2.339668447217805
"0,0",1426,9,4,65,9,4.679543940160117,2.023077164845014
"0,0",1441,9,4,67,19,5.058840249250376,2.944594092807295
"0,0",1462,9,4,73,20,4.714131658465715,3.005531233090015
"0,0",1522,9,4,93,22,6.421138437918008,4.0357685652600805
"0,0",1552,9,4,64,1,4.458799386003926,0.984313725490196
"0,0",1555,9,4,79,18,5.559484347069039,2.8840357899173217
"0,0",1585,9,4,68,19,5.076324795882833,2.7950634794047784
"0,0",1612,9,4,63,3,4.6461867304467175,1.354088743210939
"0,0",1620,9,4,87,32,5.268774489508874,3.7661904752529707
"0,0",1695,9,4,89,30,4.857429099310155,3.5176579884849986
"0,0",1728,9,4,66,19,4.527521887368383,2.6704413883786815
"0,0",1733,9,4,77,25,5.225756164367712,3.397658465028923
"0,0",1736,9,4,63,10,4.349113314289542,1.9532167692781341
"0,0",1850,9,4,56,11,4.69529855573524,2.3990706902580126
"0,0",1875,9,4,100,12,5.634767396618481,2.391478528060206
"0,0",1895,9,4,73,27,4.939842645992529,3.6292353851698373
"0,0",1903,9,4,76,23,5.091834836964021,3.390787437508695
"0,0",1940,9,4,72,1,4.9200950844611135,0.07843137254901966
"0,0",1949,9,4,74,31,4.734179627707935,3.4589613595765196
"0,0",1950,9,4,76,5,5.066303938937305,1.520941855950149
"0,0",1962,9,4,68,11,4.823406661916522,2.032723451182883
"0,0",1968,9,4,62,26,4.3091580097261915,3.1456823084503958
"0,0",1984,9,4,80,21,4.920445149480925,2.9726731827759907
"0,0",2006,9,4,70,21,4.447527381339686,2.6188034458296547
"0,0",2033,9,4,79,23,4.724982480250845,2.9373727037294994
"0,0",2041,9,4,71,13,4.496401226622551,2.5534712259602608
"0,0",2216,9,4,74,21,5.1242988849109175,3.4527980952640394
"0,0",2274,9,4,84,21,5.427911405155967,3.2092115591245713
"0,0",2312,9,4,85,18,5.676880678742214,3.1218247998147137
"0,0",2321,9,4,84,22,5.615795814464571,3.140735813991237
"0,0",2398,9,4,66,9,4.937563260317255,2.0466794028961006
"0,0",2438,9,4,63,5,4.6659811656681445,1.8923549627072447
"0,0",2514,9,4,69,16,4.4033034329518035,2.2475104771429564
"0,0",2600,9,4,59,3,4.244746170265164,1.2450903195684728
"0,0",2643,9,4,85,26,5.043937667095271,3.247795218192743
"0,0",2649,9,4,75,22,5.080726258680724,3.204425524960932
"0,0",2703,9,4,92,27,5.561308363259935,3.636127408355795
"0,0",2712,9,4,70,22,4.868622318034457,2.797252455446271
"0,0",2722,9,4,68,11,4.501301447926558,2.345409514366465
"0,0",2764,9,4,68,16,4.235359476619874,2.293842785612329
"0,0",2779,9,4,101,9,5.8538617202322225,2.1793515643560424
"0,0",2787,9,4,89,13,5.03706523124238,2.1678685336612906
"0,0",2860,9,4,62,11,4.830906203619956,2.1061379331525396
"0,0",2973,9,4,79,27,5.3297565861120635,3.458803521350694
"0,0",3186,9,4,77,19,5.0925913576361905,3.0803116525719267
"0,0",3202,9,4,68,21,4.825378252400421,3.079098216771834
"0,0",3232,9,4,79,19,4.801905939686321,3.124102331662729
"0,0",3284,9,4,69,6,5.346684557319485,2.0853270736815226
"0,0",3310,9,4,56,15,4.424466247618667,2.7385692669973225
"0,0",3311,9,4,91,19,5.564172479237187,3.336697264532749
"0,0",3316,9,4,63,8,4.460704588815681,1.7302830049448779
"0,0",3348,9,4,80,15,5.609159313527894,2.5909848734369496
"0,0",3506,9,4,92,13,5.754932357871421,2.476507071285147
"0,0",3528,9,4,91,24,5.6022418207282145,3.243063754294314
"0,0",3533,9,4,83,11,5.260433144023893,2.7377436498319763
"0,0",3588,9,4,75,15,4.623161854039163,2.3323873514922426
"0,0",3636,9,4,72,30,4.853244989499765,3.6806068235785743
"0,0",3649,9,4,63,13,4.731338013736778,2.3280315446190274
"0,0",3746,9,4,77,20,5.693434302430634,3.3913951315204676
"0,0",3784,9,4,99,31,5.7733575201072425,3.69996830727202
"0,0",3796,9,4,77,30,4.5983648866647355,3.4860539421613366
"0,0",3818,9,4,95,33,5.913140346564584,4.043167684029956
"0,0",3834,9,4,74,28,5.030643506241489,3.3763886032268267
"0,0",3847,9,4,68,11,4.383534954862321,2.328906659437793
"0,0",3867,9,4,82,7,5.221124983914362,2.084194746940818
"0,0",3925,9,4,80,9,5.330062434128786,2.0909206704914345
"0,0",3935,9,4,88,14,5.34568350914369,2.644207614775096
"0,0",3967,9,4,85,23,5.120981559603071,2.795690647696254
"0,0",3991,9,4,75,25,4.883004917488969,3.0440113965859545
"0,0",3998,9,4,90,16,5.468151822341095,2.746727807518738
"0,0",4045,9,4,74,10,4.929226134056063,2.295461312557268
"0,0",4065,9,4,95,19,5.318802292237781,2.5364668291531194
"0,0",4091,9,4,81,21,5.344416108873865,3.174959698769733
"0,0",4092,9,4,67,11,4.371729458056685,1.9583553582898485
"0,0",4095,9,4,82,17,4.826670426375131,2.6568707039892367
"0,0",4124,9,4,75,19,4.852717364615225,2.473794993241963
"0,0",4158,9,4,65,5,4.632972777288272,1.5892468335300936
"0,0",4206,9,4,72,16,5.198450069191413,3.2939075563256743
"0,0",4209,9,4,63,10,4.256589527092438,2.1225687179269803
