epsilon,idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after)
"0,0",4,9,4,80,14,5.054416685205292,2.5103492054712677
"0,0",22,9,4,70,9,4.653279529603056,2.108651919617939
"0,0",45,9,4,86,29,5.15238006913098,3.338874287407756
"0,0",54,9,4,90,2,5.636793502004205,1.0979551788570112
"0,0",57,9,4,79,21,5.336557560587398,2.7762102459087385
"0,0",133,9,4,64,29,4.40189920914181,3.147991432273939
"0,0",154,9,4,84,19,5.155298353631513,2.83129922234092
"0,0",172,9,4,79,9,4.906042222438637,1.7696053989445941
"0,0",183,9,4,78,17,5.96734030593173,3.2555562772521713
"0,0",226,9,4,73,19,4.062302194042773,2.6843445192235347
"0,0",264,9,4,75,10,4.452032353877186,2.1270886110471383
"0,0",280,9,4,73,17,5.16814690259155,2.3356949656799806
"0,0",282,9,4,72,17,5.158739686755801,2.8561379569655823
"0,0",313,9,4,69,16,4.659706458884303,2.8102027548310966
"0,0",344,9,4,62,7,3.8792263108090115,1.534847053833721
"0,0",383,9,4,88,19,5.449101100788353,2.6759182077405677
"0,0",389,9,4,74,17,4.749323997304516,2.6114614438550023
"0,0",409,9,4,86,11,4.9994832489600425,2.3386461183879734
"0,0",423,9,4,80,23,4.743876037755592,3.0185024714780515
"0,0",482,9,4,67,4,4.479044290326869,1.518963810393671
"0,0",525,9,4,92,19,5.702076757997438,2.939814063538963
"0,0",566,9,4,70,10,4.75347502340704,2.0608206933226656
"0,0",580,9,4,76,14,4.725333981634038,2.40824867249813
"0,0",600,9,4,57,14,4.822904470914104,2.6135099862616022
"0,0",621,9,4,84,18,5.894126779114421,2.559958429112684
"0,0",626,9,4,102,9,5.902580906774171,2.014003264725953
"0,0",744,9,4,65,19,5.167069597712495,2.9172069033371844
"0,0",764,9,4,86,28,5.221795036803164,3.700103389143318
"0,0",788,9,4,83,6,5.015371987271092,1.5599810722537888
"0,0",812,9,4,78,12,5.171523185377901,2.591237118428487
"0,0",822,9,4,64,12,4.559543270192381,2.55185664141603
"0,0",900,9,4,63,2,4.37673764031665,1.1529678534995602
"0,0",932,9,4,76,12,4.731229124371086,2.2640904010437444
"0,0",940,9,4,84,27,4.970827623117365,3.32760291748739
"0,0",1027,9,4,68,5,4.684218106526608,1.4590870518890873
"0,0",1036,9,4,83,11,5.606795459518302,2.7081377358168703
"0,0",1112,9,4,79,20,4.8251902130465245,2.989511332719494
"0,0",1116,9,4,76,5,5.355541995480894,1.952689171865901
"0,0",1122,9,4,75,12,4.912309077109294,2.411818905815337
"0,0",1161,9,4,88,24,5.54925933106519,3.1505453779294985
"0,0",1169,9,4,88,18,5.326687035225725,2.296583223424436
"0,0",1173,9,4,76,17,5.7011138352025315,2.876705151028092
"0,0",1284,9,4,62,19,4.939637170754598,2.927526495223975
"0,0",1286,9,4,72,20,4.230318428003595,2.640436159839289
"0,0",1307,9,4,74,16,5.22728623072689,2.9008874538651632
"0,0",1316,9,4,78,20,5.227137657379655,2.7534383105121916
"0,0",1396,9,4,70,15,4.127008965200657,2.4132436084182847
"0,0",1421,9,4,73,14,5.311922130861558,2.520967817911716
"0,0",1426,9,4,65,10,4.679543940160117,2.0622529793938567
"0,0",1441,9,4,67,18,5.058840249250376,2.5942265772336413
"0,0",1462,9,4,73,21,4.714131658465715,2.933275662639543
"0,0",1522,9,4,93,13,6.421138437918008,2.8361347166026785
"0,0",1552,9,4,64,2,4.458799386003926,0.6945163361480208
"0,0",1555,9,4,79,19,5.559484347069039,2.951539911779376
"0,0",1585,9,4,68,16,5.076324795882833,2.5368487719328194
"0,0",1612,9,4,63,3,4.6461867304467175,1.3135030540398198
"0,0",1620,9,4,87,29,5.268774489508874,3.32886205305101
"0,0",1695,9,4,89,23,4.857429099310155,2.868232720486548
"0,0",1728,9,4,66,15,4.527521887368383,2.199402246569402
"0,0",1733,9,4,77,18,5.225756164367712,3.3246021751815413
"0,0",1736,9,4,63,7,4.349113314289542,2.0504029479921617
"0,0",1850,9,4,56,9,4.69529855573524,1.9955968447129346
"0,0",1875,9,4,100,15,5.634767396618481,2.3534182522883107
"0,0",1895,9,4,73,25,4.939842645992529,3.45849226994047
"0,0",1903,9,4,76,23,5.091834836964021,3.2616631878919566
"0,0",1940,9,4,72,1,4.9200950844611135,0.7686274509803922
"0,0",1949,9,4,74,20,4.734179627707935,3.0746798672453415
"0,0",1950,9,4,76,3,5.066303938937305,1.512327913196047
"0,0",1962,9,4,68,5,4.823406661916522,1.1494143737301554
"0,0",1968,9,4,62,21,4.3091580097261915,2.8058433014095048
"0,0",1984,9,4,80,13,4.920445149480925,2.5220260006629576
"0,0",2006,9,4,70,22,4.447527381339686,2.3002398617885182
"0,0",2033,9,4,79,20,4.724982480250845,2.912429448119383
"0,0",2041,9,4,71,11,4.496401226622551,2.4940837338920168
"0,0",2216,9,4,74,18,5.1242988849109175,3.1279273102132183
"0,0",2274,9,4,84,14,5.427911405155967,2.87981480886069
"0,0",2312,9,4,85,12,5.676880678742214,2.7359511474579423
"0,0",2321,9,4,84,21,5.615795814464571,2.7733032781620475
"0,0",2398,9,4,66,9,4.937563260317255,1.934228007601543
"0,0",2438,9,4,63,8,4.6659811656681445,1.7884287821019094
"0,0",2514,9,4,69,14,4.4033034329518035,2.117174965532837
"0,0",2600,9,4,59,2,4.244746170265164,1.091641022969366
"0,0",2643,9,4,85,24,5.043937667095271,2.9112754589963754
"0,0",2649,9,4,75,21,5.080726258680724,2.9073638096073977
"0,0",2703,9,4,92,23,5.561308363259935,3.2235866604333916
"0,0",2712,9,4,70,9,4.868622318034457,2.3824973731736927
"0,0",2722,9,4,68,15,4.501301447926558,2.1840848966632165
"0,0",2764,9,4,68,6,4.235359476619874,1.7089132416575439
"0,0",2779,9,4,101,4,5.8538617202322225,1.598870227811671
"0,0",2787,9,4,89,3,5.03706523124238,1.5258984281635182
"0,0",2860,9,4,62,10,4.830906203619956,1.6385494471200552
"0,0",2973,9,4,79,22,5.3297565861120635,3.1988824461470275
"0,0",3186,9,4,77,25,5.0925913576361905,3.2671279951065695
"0,0",3202,9,4,68,17,4.825378252400421,2.7378981209538824
"0,0",3232,9,4,79,21,4.801905939686321,3.033507606183059
"0,0",3284,9,4,69,7,5.346684557319485,2.2240480772810804
"0,0",3310,9,4,56,12,4.424466247618667,1.8878514463350793
"0,0",3311,9,4,91,22,5.564172479237187,3.392016318067718
"0,0",3316,9,4,63,6,4.460704588815681,1.6241071246460403
"0,0",3348,9,4,80,12,5.609159313527894,2.333036725257333
"0,0",3506,9,4,92,12,5.754932357871421,2.372244349259822
"0,0",3528,9,4,91,18,5.6022418207282145,2.6761021077958667
"0,0",3533,9,4,83,15,5.260433144023893,2.605226462552567
"0,0",3588,9,4,75,15,4.623161854039163,2.0329579701557625
"0,0",3636,9,4,72,29,4.853244989499765,3.4156930280656312
"0,0",3649,9,4,63,15,4.731338013736778,2.447797148546138
"0,0",3746,9,4,77,16,5.693434302430634,2.9853570617015976
"0,0",3784,9,4,99,18,5.7733575201072425,2.940669237307199
"0,0",3796,9,4,77,29,4.5983648866647355,3.301974756618941
"0,0",3818,9,4,95,29,5.913140346564584,3.6701021967465195
"0,0",3834,9,4,74,26,5.030643506241489,3.17316700639001
"0,0",3847,9,4,68,11,4.383534954862321,2.2701039139397525
"0,0",3867,9,4,82,10,5.221124983914362,1.9557071522100875
"0,0",3925,9,4,80,9,5.330062434128786,1.983123722846192
"0,0",3935,9,4,88,12,5.34568350914369,2.160577905518139
"0,0",3967,9,4,85,22,5.120981559603071,2.970856779423181
"0,0",3991,9,4,75,22,4.883004917488969,2.7955971315265202
"0,0",3998,9,4,90,11,5.468151822341095,2.2992401332421584
"0,0",4045,9,4,74,10,4.929226134056063,2.407680265296877
"0,0",4065,9,4,95,10,5.318802292237781,2.2775773769927463
"0,0",4091,9,4,81,22,5.344416108873865,3.1155647257229573
"0,0",4092,9,4,67,14,4.371729458056685,1.9598899921265953
"0,0",4095,9,4,82,15,4.826670426375131,2.528432703053729
"0,0",4124,9,4,75,20,4.852717364615225,2.851150303753625
"0,0",4158,9,4,65,4,4.632972777288272,1.5483046252629145
"0,0",4206,9,4,72,18,5.198450069191413,2.684298686561805
"0,0",4209,9,4,63,9,4.256589527092438,2.0889890934435136
"0,0",4222,9,4,70,27,5.11494031041272,3.010832678498788
"0,0",4244,9,4,70,10,4.265819552584184,1.8250720862349146
"0,0",4320,9,4,70,15,4.547501436997299,2.456364282877456
"0,0",4345,9,4,73,21,4.870943436891658,2.814872349452805
"0,0",4350,9,4,78,19,5.216741747841063,2.408976548724159
"0,0",4378,9,4,64,10,3.977769830676005,1.7833912720055978
"0,0",4447,9,4,83,19,5.441455919338765,3.03503317518464
"0,0",4544,9,4,73,1,4.494372576008804,0.3764705882352941
"0,0",4627,9,4,67,19,5.1541348186253275,3.3136280296608804
"0,0",4667,9,4,76,20,5.061689414698687,3.0674689287105066
"0,0",4720,9,4,68,16,4.384659216805815,2.7738300282748622
"0,0",4754,9,4,72,17,4.846830377255053,2.682384474072194
"0,0",4811,9,4,76,9,4.192503516546562,2.2261940668028135
"0,0",4816,9,4,76,31,5.074905279010295,3.9226331888387374
"0,0",4894,9,4,70,21,4.733039287778412,3.0474877937628246
"0,0",4901,9,4,93,33,5.3099820400512705,4.24059399696973
"0,0",4912,9,4,73,10,4.517046188254051,1.6983969192588473
"0,0",5008,9,4,73,10,4.966015996640842,2.1917429192816966
"0,0",5024,9,4,66,13,4.4426128482736695,1.966458456712514
"0,0",5142,9,4,74,18,4.756039888094638,2.549191547745534
"0,0",5208,9,4,61,12,4.562340199599961,2.1077765607360917
"0,0",5209,9,4,83,24,5.3635332969175655,3.3571376101505166
"0,0",5219,9,4,91,38,5.425851231990746,4.073718997027601
"0,0",5276,9,4,75,14,4.915441854752325,2.2931890193589073
"0,0",5350,9,4,84,13,4.9851976199039845,2.405996609460753
