epsilon,idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after)
"0,0",4,9,4,80,18,5.054416685205292,2.8143314234494476
"0,0",22,9,4,70,12,4.653279529603056,2.2585852270811553
"0,0",45,9,4,86,27,5.15238006913098,3.5600910614776513
"0,0",54,9,4,90,7,5.636793502004205,1.8566587874818061
"0,0",57,9,4,79,21,5.336557560587398,3.1372328430597034
"0,0",133,9,4,64,29,4.40189920914181,3.332941153399823
"0,0",154,9,4,84,25,5.155298353631513,3.4452224692116227
"0,0",172,9,4,79,15,4.906042222438637,2.344983274783802
"0,0",183,9,4,78,23,5.96734030593173,3.504504708050837
"0,0",226,9,4,73,14,4.062302194042773,2.6928672498611688
"0,0",264,9,4,75,13,4.452032353877186,2.4389288022453925
"0,0",280,9,4,73,15,5.16814690259155,2.6520852785102105
"0,0",282,9,4,72,21,5.158739686755801,3.2090845673014403
"0,0",313,9,4,69,20,4.659706458884303,3.053920152330267
"0,0",344,9,4,62,14,3.8792263108090115,2.322413068468243
"0,0",383,9,4,88,21,5.449101100788353,2.9993078786388456
"0,0",389,9,4,74,17,4.749323997304516,2.982024836601021
"0,0",409,9,4,86,14,4.9994832489600425,2.486877517027767
"0,0",423,9,4,80,25,4.743876037755592,3.219930245852913
"0,0",482,9,4,67,4,4.479044290326869,1.6266995666686344
"0,0",525,9,4,92,24,5.702076757997438,3.3770057192482588
"0,0",566,9,4,70,13,4.75347502340704,2.4387900769849287
"0,0",580,9,4,76,20,4.725333981634038,2.7219669709046594
"0,0",600,9,4,57,12,4.822904470914104,2.462604591970399
"0,0",621,9,4,84,21,5.894126779114421,3.3744796115817857
"0,0",626,9,4,102,15,5.902580906774171,2.463647268251003
"0,0",744,9,4,65,15,5.167069597712495,2.7358583998737833
"0,0",764,9,4,86,29,5.221795036803164,3.6005382142849074
"0,0",788,9,4,83,5,5.015371987271092,1.5341004048912776
"0,0",812,9,4,78,15,5.171523185377901,2.850101005245246
"0,0",822,9,4,64,17,4.559543270192381,2.9551094817640586
"0,0",900,9,4,63,3,4.37673764031665,1.276806377326892
"0,0",932,9,4,76,20,4.731229124371086,2.4585232953016627
"0,0",940,9,4,84,26,4.970827623117365,3.16212932994043
"0,0",1027,9,4,68,7,4.684218106526608,1.855237709529961
