epsilon,idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after)
"0,0",1940,9,4,35,1,1.0948693741990485,0.6941176470588235
"0,0",9938,9,4,44,6,1.4074716862096153,0.8071098899600706
"0,1",4,9,4,62,19,5.460858590687159,3.725797716925998
"0,1",22,9,4,62,10,4.616900568277657,2.697973665414381
"0,1",43,9,4,60,14,4.667607418770689,3.3958587983138155
"0,1",45,9,4,64,23,5.520447468615978,4.162395504055318
"0,1",54,9,4,64,4,5.244196000866265,1.96181149565469
"0,1",57,9,4,55,18,5.095160574910421,3.5281501012931553
"0,1",87,9,4,60,21,5.700227640692023,4.264910970953278
"0,1",110,9,4,69,24,5.788996442860851,4.297339645371501
"0,1",116,9,4,65,22,5.60730698108829,3.9420582371325072
"0,1",133,9,4,57,17,4.638214467731477,3.2412090908527764
"0,1",153,9,4,50,11,4.472663776884358,2.3767229530145895
"0,1",167,9,4,58,26,5.458930582678031,4.4051244145048205
"0,1",172,9,4,67,7,5.525288408344527,2.1281366926002163
"0,1",176,9,4,58,10,3.495285999950975,2.7369514973149167
"0,1",227,9,4,59,17,5.516263048128473,3.6800092773565423
"0,1",247,9,4,64,13,4.8318165698689,2.8618639524938323
"0,1",264,9,4,61,17,5.701066628923067,3.3823455527057695
"0,1",280,9,4,56,9,5.26595997769978,2.6624072094954587
"0,1",282,9,4,58,21,5.024859385256406,3.5677115825383634
"0,1",285,9,4,57,22,4.977272451969084,3.776602933767159
"0,1",313,9,4,59,21,4.753793685274217,3.6797752468016633
"0,1",319,9,4,64,6,5.794114661092094,2.3386494063351253
"0,1",344,9,4,61,19,5.066067165406879,3.283584935236597
"0,1",350,9,4,66,32,5.666651740261229,5.104609642289388
"0,1",362,9,4,59,15,5.463195510899406,3.1088567654866615
"0,1",364,9,4,57,12,5.068783325247622,2.705416271311406
"0,1",374,9,4,61,21,5.15466590051614,3.920593996534117
"0,1",383,9,4,60,16,5.433255141985189,3.7775109026661498
"0,1",389,9,4,61,16,5.690289319650651,3.580246115184021
"0,1",409,9,4,60,11,5.605633734516706,2.7813157015899517
"0,1",419,9,4,60,7,5.399854754764152,2.410150902762499
"0,1",423,9,4,61,13,5.217142653810011,3.3213672184693923
"0,1",441,9,4,58,13,5.291361664642809,3.049631739826671
"0,1",471,9,4,63,13,5.273188842532754,2.979969010209166
"0,1",482,9,4,58,4,5.629233850256081,1.6397362903478996
"0,1",501,9,4,62,9,4.408343771722956,2.734961677738922
"0,1",525,9,4,58,17,5.09146786130473,3.5985173588372663
"0,1",550,9,4,69,23,5.831616488166202,3.928724843092675
"0,1",566,9,4,65,21,4.970959107485106,3.845029546139821
"0,1",580,9,4,67,15,5.671403136196231,3.282990075675797
"0,1",583,9,4,61,14,4.856784772225515,3.2206274805857857
"0,1",589,9,4,67,7,5.453812214064782,2.5501867614475233
"0,1",595,9,4,59,12,4.624633572358481,2.7552166452049844
"0,1",600,9,4,55,9,4.039326097862742,2.4844707999309117
"0,1",601,9,4,66,5,4.645806069248286,1.9465720221577048
"0,1",621,9,4,64,9,5.492834100113061,2.456724250043858
"0,1",631,9,4,73,7,5.1554952335757,2.510061261316792
"0,1",641,9,4,49,8,3.7444348042228937,2.230228177553213
"0,1",687,9,4,65,23,6.131742183657392,4.613871734222128
"0,1",707,9,4,60,18,5.695544843557551,3.9463764349782102
"0,1",727,9,4,70,13,6.327072726682941,3.3673260971004524
"0,1",741,9,4,64,10,5.889356614940799,2.89694585228126
"0,1",744,9,4,52,16,4.536836288245777,3.3189354564978073
"0,1",755,9,4,68,12,6.284348903269442,2.935073406505588
"0,1",763,9,4,77,28,6.86622432814525,4.6831674005091735
"0,1",782,9,4,61,22,5.528632958642482,4.213931235225551
"0,1",788,9,4,73,3,5.3262987055559865,1.725258451460764
"0,1",793,9,4,65,29,5.722294300095128,4.528571350603704
"0,1",800,9,4,70,23,6.2310973667937235,4.174763528516452
"0,1",806,9,4,64,24,5.718851913183379,4.382766572575009
"0,1",812,9,4,69,15,5.598915147294622,3.5191397361984924
"0,1",822,9,4,59,9,4.091207364688849,2.3861641426456455
"0,1",827,9,4,65,17,5.7993808416818595,3.5055511533693084
"0,1",864,9,4,54,16,4.868881327630113,3.8321632033849933
"0,1",900,9,4,60,2,4.129934979794694,1.4114433185380126
"0,1",929,9,4,71,25,6.612782235102626,4.655494948766788
"0,1",930,9,4,66,11,5.970926613934294,2.604600667411072
"0,1",932,9,4,68,13,5.630490400074288,2.9103376710404456
"0,1",940,9,4,61,25,5.391947233001783,4.295027211396444
"0,1",980,9,4,60,10,4.862468366572369,2.747433180465477
"0,1",1005,9,4,78,19,6.685315324218958,3.9501896741966647
"0,1",1027,9,4,56,5,4.5759177716080375,1.794198005272066
"0,1",1036,9,4,61,9,4.612198192245439,2.3641692884504133
"0,1",1061,9,4,66,18,5.229065840621221,3.9613492122885794
"0,1",1066,9,4,61,10,4.162620873156827,2.242732720961222
"0,1",1083,9,4,72,11,6.721387875941566,3.054491653585319
"0,1",1116,9,4,64,18,6.128975182976428,3.9576380437129686
"0,1",1142,9,4,74,17,6.325543682839156,3.7007143132504576
"0,1",1147,9,4,67,29,5.986782827817541,4.480118840078085
"0,1",1161,9,4,57,32,5.856727188805257,4.903028903238283
"0,1",1167,9,4,66,10,6.001583797117038,2.5663872883795564
"0,1",1169,9,4,59,8,5.806462083087908,2.181601442055814
"0,1",1177,9,4,64,26,5.600878713944793,4.714466027765092
"0,1",1235,9,4,64,18,4.8810187955888065,3.7057163569006257
"0,1",1250,9,4,57,21,5.415328465696973,3.9982099031735037
"0,1",1256,9,4,57,16,5.288771447298594,3.2877178729318284
"0,1",1274,9,4,70,20,5.405453836664898,3.592940234814606
"0,1",1284,9,4,53,7,4.217376770037706,2.5430578849845635
"0,1",1286,9,4,63,24,5.749390085165843,4.278278604774262
"0,1",1291,9,4,70,21,6.268883506886555,4.506950503950492
"0,1",1292,9,4,58,17,5.18553870016596,3.6534373906496818
"0,1",1305,9,4,68,14,6.131753469860642,3.5470604493866795
"0,1",1307,9,4,60,22,5.648786500420744,4.02566927005876
"0,1",1316,9,4,64,11,5.100846888998508,2.6435328731677705
"0,1",1333,9,4,70,18,6.306904121687104,4.168950239287434
"0,1",1355,9,4,62,24,6.043596577574022,4.676613225925158
