idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after),epsilon
1940,9,4,35,1,1.094869374,0.694117647,"0,0"
9938,9,4,44,4,1.407471686,0.925988566,"0,0"
4,9,4,62,17,5.460858591,3.531204338,"0,1"
22,9,4,62,11,4.616900568,2.686400455,"0,1"
43,9,4,60,14,4.667607419,3.440078591,"0,1"
45,9,4,64,20,5.520447469,3.989380367,"0,1"
54,9,4,64,3,5.244196001,1.669487808,"0,1"
57,9,4,55,17,5.095160575,3.4384286,"0,1"
87,9,4,60,20,5.700227641,4.005739826,"0,1"
110,9,4,69,24,5.788996443,4.297339645,"0,1"
116,9,4,65,18,5.607306981,3.62169761,"0,1"
133,9,4,57,17,4.638214468,3.241209091,"0,1"
153,9,4,50,10,4.472663777,2.264429998,"0,1"
167,9,4,58,26,5.458930583,4.409479147,"0,1"
172,9,4,67,7,5.525288408,2.125370809,"0,1"
176,9,4,58,18,3.495286,2.639693457,"0,1"
227,9,4,59,16,5.516263048,3.329998332,"0,1"
247,9,4,64,21,4.83181657,3.298799194,"0,1"
264,9,4,61,12,5.701066629,3.044094755,"0,1"
280,9,4,56,9,5.265959978,2.662407209,"0,1"
282,9,4,58,21,5.024859385,3.567711583,"0,1"
285,9,4,57,19,4.977272452,3.730873304,"0,1"
313,9,4,59,22,4.753793685,3.613393003,"0,1"
319,9,4,64,14,5.794114661,3.332731203,"0,1"
344,9,4,61,18,5.066067165,3.423520428,"0,1"
350,9,4,66,29,5.66665174,4.782151553,"0,1"
362,9,4,59,16,5.463195511,3.67946388,"0,1"
364,9,4,57,15,5.068783325,3.263183417,"0,1"
374,9,4,61,22,5.154665901,3.982250122,"0,1"
383,9,4,60,20,5.433255142,4.149960974,"0,1"
389,9,4,61,18,5.69028932,3.693374473,"0,1"
409,9,4,60,11,5.605633735,2.781315702,"0,1"
419,9,4,60,22,5.399854755,3.849957933,"0,1"
423,9,4,61,34,5.217142654,4.028344403,"0,1"
441,9,4,58,24,5.291361665,4.190030459,"0,1"
471,9,4,63,12,5.273188843,2.825943957,"0,1"
482,9,4,58,4,5.62923385,1.967279438,"0,1"
501,9,4,62,10,4.408343772,2.721469739,"0,1"
525,9,4,58,17,5.091467861,3.520487628,"0,1"
550,9,4,69,23,5.831616488,4.250844727,"0,1"
566,9,4,65,21,4.970959107,3.845029546,"0,1"
580,9,4,67,11,5.671403136,2.70706993,"0,1"
583,9,4,61,14,4.856784772,3.344695744,"0,1"
589,9,4,67,10,5.453812214,3.057257015,"0,1"
595,9,4,59,13,4.624633572,2.909521153,"0,1"
600,9,4,55,9,4.039326098,2.4844708,"0,1"
601,9,4,66,8,4.645806069,2.367630617,"0,1"
621,9,4,64,9,5.4928341,2.449847581,"0,1"
631,9,4,73,6,5.155495234,2.348387751,"0,1"
641,9,4,49,8,3.744434804,2.225406408,"0,1"
687,9,4,65,24,6.131742184,4.455937466,"0,1"
707,9,4,60,22,5.695544844,4.31066023,"0,1"
727,9,4,70,26,6.327072727,4.372482194,"0,1"
741,9,4,64,12,5.889356615,2.886762001,"0,1"
744,9,4,52,16,4.536836288,3.318935456,"0,1"
755,9,4,68,28,6.284348903,4.676133091,"0,1"
763,9,4,77,26,6.866224328,4.741223503,"0,1"
782,9,4,61,22,5.528632959,4.213931235,"0,1"
788,9,4,73,3,5.326298706,1.725258451,"0,1"
793,9,4,65,25,5.7222943,4.359018898,"0,1"
800,9,4,70,24,6.231097367,4.233240243,"0,1"
806,9,4,64,25,5.718851913,4.467374146,"0,1"
812,9,4,69,14,5.598915147,2.816890343,"0,1"
822,9,4,59,8,4.091207365,2.551724056,"0,1"
827,9,4,65,25,5.799380842,3.854884008,"0,1"
864,9,4,54,17,4.868881328,3.711826336,"0,1"
900,9,4,60,2,4.12993498,1.411443319,"0,1"
929,9,4,71,29,6.612782235,4.843618298,"0,1"
930,9,4,66,9,5.970926614,2.656225233,"0,1"
932,9,4,68,20,5.6304904,3.463497798,"0,1"
940,9,4,61,30,5.391947233,4.402075635,"0,1"
980,9,4,60,14,4.862468367,3.224237792,"0,1"
1005,9,4,78,34,6.685315324,4.829041964,"0,1"
1027,9,4,56,5,4.575917772,1.794198005,"0,1"
1036,9,4,61,9,4.612198192,2.364169288,"0,1"
1061,9,4,66,22,5.229065841,3.843955495,"0,1"
1066,9,4,61,10,4.162620873,2.377382857,"0,1"
1083,9,4,72,11,6.721387876,3.055772737,"0,1"
1116,9,4,64,18,6.128975183,3.957638044,"0,1"
1142,9,4,74,19,6.325543683,4.002048687,"0,1"
1147,9,4,67,29,5.986782828,4.579633297,"0,1"
1161,9,4,57,20,5.856727189,4.159096699,"0,1"
1167,9,4,66,20,6.001583797,3.644139671,"0,1"
1169,9,4,59,8,5.806462083,2.201418577,"0,1"
1177,9,4,64,26,5.600878714,4.512415271,"0,1"
1235,9,4,64,16,4.881018796,3.638621909,"0,1"
1250,9,4,57,21,5.415328466,3.926391152,"0,1"
1256,9,4,57,19,5.288771447,3.808604354,"0,1"
1274,9,4,70,19,5.405453837,3.511694091,"0,1"
1284,9,4,53,7,4.21737677,2.543057885,"0,1"
1286,9,4,63,23,5.749390085,4.246099144,"0,1"
1291,9,4,70,24,6.268883507,4.582011868,"0,1"
1292,9,4,58,20,5.1855387,4.076573861,"0,1"
1305,9,4,68,14,6.13175347,3.604083719,"0,1"
1307,9,4,60,24,5.6487865,4.250121106,"0,1"
1316,9,4,64,10,5.100846889,2.570889589,"0,1"
