idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after),epsilon
1940,9,4,35,1,1.094869374,0.043137255,"0,0"
9938,9,4,44,5,1.407471686,0.704180956,"0,0"
4,9,4,62,15,5.460858591,3.098103747,"0,1"
22,9,4,62,8,4.616900568,2.129133698,"0,1"
43,9,4,60,15,4.667607419,3.481814125,"0,1"
45,9,4,64,21,5.520447469,3.819088421,"0,1"
54,9,4,64,5,5.244196001,2.189949431,"0,1"
57,9,4,55,16,5.095160575,3.261194013,"0,1"
87,9,4,60,20,5.700227641,3.915071088,"0,1"
110,9,4,69,23,5.788996443,3.937788027,"0,1"
116,9,4,65,19,5.607306981,3.830585746,"0,1"
133,9,4,57,12,4.638214468,3.081644383,"0,1"
153,9,4,50,13,4.472663777,2.730468017,"0,1"
167,9,4,58,26,5.458930583,4.36042635,"0,1"
172,9,4,67,7,5.525288408,2.428923498,"0,1"
176,9,4,58,12,3.495286,2.701542413,"0,1"
227,9,4,59,20,5.516263048,3.573054784,"0,1"
247,9,4,64,15,4.83181657,2.829946412,"0,1"
264,9,4,61,13,5.701066629,3.334636423,"0,1"
280,9,4,56,12,5.265959978,2.586449176,"0,1"
282,9,4,58,20,5.024859385,3.729793181,"0,1"
285,9,4,57,22,4.977272452,3.746064961,"0,1"
313,9,4,59,21,4.753793685,3.700005715,"0,1"
319,9,4,64,6,5.794114661,2.338649406,"0,1"
344,9,4,61,17,5.066067165,2.893001538,"0,1"
350,9,4,66,27,5.66665174,4.688218483,"0,1"
362,9,4,59,15,5.463195511,3.245583164,"0,1"
364,9,4,57,19,5.068783325,2.956883549,"0,1"
374,9,4,61,19,5.154665901,3.907451059,"0,1"
383,9,4,60,18,5.433255142,3.649101262,"0,1"
389,9,4,61,11,5.69028932,3.027075055,"0,1"
409,9,4,60,5,5.605633735,2.137729755,"0,1"
419,9,4,60,7,5.399854755,2.410150903,"0,1"
423,9,4,61,18,5.217142654,3.440664171,"0,1"
441,9,4,58,15,5.291361665,3.100671505,"0,1"
471,9,4,63,14,5.273188843,3.042080876,"0,1"
482,9,4,58,2,5.62923385,1.367705741,"0,1"
501,9,4,62,13,4.408343772,2.809573352,"0,1"
525,9,4,58,22,5.091467861,3.631315377,"0,1"
550,9,4,69,22,5.831616488,3.717481588,"0,1"
566,9,4,65,21,4.970959107,3.339047006,"0,1"
580,9,4,67,12,5.671403136,3.04749284,"0,1"
583,9,4,61,14,4.856784772,3.266012222,"0,1"
589,9,4,67,9,5.453812214,2.536069669,"0,1"
595,9,4,59,8,4.624633572,2.77047375,"0,1"
600,9,4,55,9,4.039326098,2.565257481,"0,1"
601,9,4,66,5,4.645806069,1.946572022,"0,1"
621,9,4,64,9,5.4928341,2.429873035,"0,1"
631,9,4,73,10,5.155495234,2.775190798,"0,1"
641,9,4,49,5,3.744434804,1.933707159,"0,1"
687,9,4,65,22,6.131742184,4.214533358,"0,1"
707,9,4,60,17,5.695544844,3.821177758,"0,1"
727,9,4,70,20,6.327072727,4.24660255,"0,1"
741,9,4,64,16,5.889356615,3.032529014,"0,1"
744,9,4,52,13,4.536836288,2.913532836,"0,1"
755,9,4,68,13,6.284348903,3.431668335,"0,1"
763,9,4,77,24,6.866224328,4.584816893,"0,1"
782,9,4,61,14,5.528632959,3.408294381,"0,1"
788,9,4,73,2,5.326298706,1.18338491,"0,1"
793,9,4,65,21,5.7222943,3.907197196,"0,1"
800,9,4,70,18,6.231097367,3.823157347,"0,1"
806,9,4,64,20,5.718851913,4.109379188,"0,1"
812,9,4,69,17,5.598915147,3.312516313,"0,1"
822,9,4,59,10,4.091207365,2.355390882,"0,1"
827,9,4,65,15,5.799380842,3.439148612,"0,1"
864,9,4,54,18,4.868881328,4.02818406,"0,1"
900,9,4,60,3,4.12993498,1.345229514,"0,1"
929,9,4,71,27,6.612782235,4.429857454,"0,1"
930,9,4,66,8,5.970926614,2.40554914,"0,1"
932,9,4,68,16,5.6304904,3.165087325,"0,1"
940,9,4,61,22,5.391947233,3.938369891,"0,1"
980,9,4,60,17,4.862468367,3.291838614,"0,1"
1005,9,4,78,13,6.685315324,3.357304809,"0,1"
1027,9,4,56,4,4.575917772,1.623226267,"0,1"
1036,9,4,61,12,4.612198192,2.665890891,"0,1"
1061,9,4,66,21,5.229065841,3.820040641,"0,1"
1066,9,4,61,3,4.162620873,1.505335889,"0,1"
1083,9,4,72,19,6.721387876,3.713976015,"0,1"
1116,9,4,64,17,6.128975183,3.759326222,"0,1"
1142,9,4,74,15,6.325543683,3.349099967,"0,1"
1147,9,4,67,30,5.986782828,4.49217184,"0,1"
1161,9,4,57,21,5.856727189,3.93691507,"0,1"
1167,9,4,66,21,6.001583797,3.923289818,"0,1"
1169,9,4,59,10,5.806462083,2.614074819,"0,1"
1177,9,4,64,31,5.600878714,4.679680322,"0,1"
1235,9,4,64,20,4.881018796,3.678299676,"0,1"
1250,9,4,57,24,5.415328466,4.160813882,"0,1"
1256,9,4,57,12,5.288771447,2.876277444,"0,1"
1274,9,4,70,20,5.405453837,3.734822162,"0,1"
1284,9,4,53,8,4.21737677,2.625852601,"0,1"
1286,9,4,63,22,5.749390085,3.873312906,"0,1"
1291,9,4,70,21,6.268883507,4.132058813,"0,1"
1292,9,4,58,19,5.1855387,3.457307035,"0,1"
1305,9,4,68,18,6.13175347,3.942735035,"0,1"
1307,9,4,60,18,5.6487865,3.955265034,"0,1"
1316,9,4,64,11,5.100846889,2.8019354,"0,1"
1333,9,4,70,21,6.306904122,4.35900655,"0,1"
1355,9,4,62,29,6.043596578,4.869595112,"0,1"
1360,9,4,70,24,5.768067581,3.730343588,"0,1"
1396,9,4,61,14,5.309427391,3.121967656,"0,1"
1410,9,4,58,20,5.260862876,3.415355334,"0,1"
1421,9,4,55,12,4.201387515,3.087099075,"0,1"
1441,9,4,48,16,4.702197904,3.575677157,"0,1"
1455,9,4,54,9,4.035581842,2.524351223,"0,1"
1459,9,4,63,9,5.001396191,2.440734664,"0,1"
1462,9,4,68,15,6.382309268,3.1781719,"0,1"
1465,9,4,63,11,5.343181507,2.746551436,"0,1"
1500,9,4,59,7,5.405409738,2.238095939,"0,1"
1507,9,4,62,7,5.45918553,2.338264685,"0,1"
1518,9,4,67,17,5.932296476,3.517279802,"0,1"
1552,9,4,51,2,3.874914641,0.796966567,"0,1"
1569,9,4,55,5,5.348898854,2.06202925,"0,1"
1574,9,4,78,32,6.815948008,5.068285724,"0,1"
1585,9,4,51,13,4.347903816,3.139212624,"0,1"
1591,9,4,69,28,5.684375613,4.32330665,"0,1"
1610,9,4,64,6,4.632501398,2.248119382,"0,1"
1612,9,4,61,3,5.060934352,1.218510319,"0,1"
1643,9,4,61,26,5.315497859,4.028850207,"0,1"
1659,9,4,61,25,5.178766573,4.022533608,"0,1"
1683,9,4,72,26,6.267460501,4.474365449,"0,1"
1695,9,4,64,22,5.949727878,3.832975762,"0,1"
1720,9,4,65,22,5.218424757,4.044474019,"0,1"
1728,9,4,52,7,4.327878743,2.406686827,"0,1"
1732,9,4,61,14,5.736742904,3.625288173,"0,1"
1733,9,4,65,22,5.711142377,3.870874297,"0,1"
1736,9,4,64,9,5.436243303,2.600065063,"0,1"
1743,9,4,61,19,5.90193603,4.039421278,"0,1"
1751,9,4,59,15,5.759026147,3.548789939,"0,1"
1811,9,4,57,17,5.365723444,3.690087723,"0,1"
1826,9,4,65,18,5.425521021,4.098311277,"0,1"
1850,9,4,69,7,4.826166982,1.542503046,"0,1"
1882,9,4,65,14,5.36261856,3.199565042,"0,1"
1912,9,4,70,25,6.102609724,4.184245731,"0,1"
1937,9,4,56,14,4.368669694,3.064577293,"0,1"
1939,9,4,60,22,5.235678917,3.572346694,"0,1"
1940,9,4,57,1,4.866456522,0.054901961,"0,1"
1950,9,4,67,3,5.834984443,1.501643339,"0,1"
1960,9,4,62,25,5.610934291,4.255276029,"0,1"
1962,9,4,56,13,5.118560507,2.883971801,"0,1"
1968,9,4,60,12,4.642984894,3.114411936,"0,1"
2006,9,4,62,13,5.249000198,2.876467247,"0,1"
2033,9,4,71,14,6.130662374,3.663150248,"0,1"
2041,9,4,60,21,5.61725523,3.715807851,"0,1"
2099,9,4,65,17,5.816999045,3.524685288,"0,1"
2116,9,4,57,14,5.324961711,3.421747846,"0,1"
2119,9,4,59,22,5.27159625,4.026188778,"0,1"
2141,9,4,47,13,3.358465807,2.67707312,"0,1"
2219,9,4,58,15,5.605658425,3.464443436,"0,1"
2221,9,4,65,27,5.515960554,4.419406019,"0,1"
2274,9,4,69,18,5.955388425,3.558436213,"0,1"
2299,9,4,66,31,5.926471156,4.757352512,"0,1"
2321,9,4,60,27,5.664493782,4.05357243,"0,1"
2351,9,4,60,24,5.283731279,4.320111138,"0,1"
2370,9,4,63,15,5.904072321,3.002090775,"0,1"
2371,9,4,68,16,5.266901722,3.340237371,"0,1"
2385,9,4,70,18,5.983104496,3.735392413,"0,1"
2398,9,4,65,9,5.167490726,2.208793721,"0,1"
2438,9,4,60,7,4.490963202,1.788076188,"0,1"
2453,9,4,61,23,5.962666112,4.455692418,"0,1"
2465,9,4,67,10,5.659239315,2.946815509,"0,1"
2471,9,4,67,18,5.768711427,3.947527806,"0,1"
2501,9,4,63,12,5.551931613,3.132771306,"0,1"
2509,9,4,64,14,5.654983546,3.291077028,"0,1"
2514,9,4,61,13,5.410674798,2.953633749,"0,1"
2521,9,4,66,25,5.78716314,4.399692415,"0,1"
2553,9,4,72,10,5.849497788,2.86632599,"0,1"
2559,9,4,71,17,5.459774258,3.808349959,"0,1"
2595,9,4,55,12,4.619068513,3.089282736,"0,1"
2600,9,4,54,3,4.095218093,1.653930576,"0,1"
2613,9,4,56,10,4.869882491,2.602530339,"0,1"
2633,9,4,71,15,5.989227803,3.420642045,"0,1"
2643,9,4,63,22,5.515586945,4.127938586,"0,1"
2649,9,4,56,24,4.896134577,3.895369346,"0,1"
2677,9,4,59,16,5.284765887,3.51925554,"0,1"
2697,9,4,71,26,5.985942779,4.405770219,"0,1"
2703,9,4,65,23,5.456535468,4.221174722,"0,1"
2764,9,4,67,5,4.050469759,2.056439329,"0,1"
2779,9,4,65,6,5.81246192,2.255300902,"0,1"
2797,9,4,65,33,5.397392111,4.849850075,"0,1"
2860,9,4,58,6,4.178423551,2.050192928,"0,1"
2924,9,4,63,16,5.303726936,3.349134406,"0,1"
2953,9,4,56,24,5.232053047,3.978602901,"0,1"
2973,9,4,56,18,4.903773782,3.67832058,"0,1"
2989,9,4,58,7,4.894152212,2.174130521,"0,1"
2997,9,4,61,15,5.117418671,3.202113873,"0,1"
3000,9,4,78,15,6.694150958,3.723789085,"0,1"
3020,9,4,62,30,5.46886191,4.541794465,"0,1"
3030,9,4,70,19,5.500894339,3.413346489,"0,1"
3044,9,4,66,15,5.116946838,3.212044806,"0,1"
3055,9,4,58,16,5.470689436,3.432654102,"0,1"
3063,9,4,64,20,5.47794712,3.564181674,"0,1"
3069,9,4,67,22,5.58459324,3.743138796,"0,1"
3076,9,4,67,19,6.143670142,3.79824116,"0,1"
3083,9,4,63,21,5.961929715,3.888968418,"0,1"
3084,9,4,58,10,5.07343535,2.935518741,"0,1"
3095,9,4,65,10,5.424908732,2.793302255,"0,1"
3099,9,4,62,14,5.239443168,3.251860143,"0,1"
3121,9,4,65,14,5.647231751,3.126392961,"0,1"
3146,9,4,65,12,4.764141014,2.712685395,"0,1"
3169,9,4,62,10,5.278247819,2.920018012,"0,1"
3173,9,4,60,17,5.076218762,3.663437815,"0,1"
3190,9,4,71,15,4.783731884,3.128190336,"0,1"
3193,9,4,60,7,4.363978235,2.362389527,"0,1"
3227,9,4,74,13,4.652278032,2.929451138,"0,1"
3232,9,4,60,21,5.630277353,3.784224321,"0,1"
3257,9,4,62,21,5.22146223,3.86427162,"0,1"
3263,9,4,60,20,5.524181924,3.711115716,"0,1"
3265,9,4,66,10,5.416675805,2.718507065,"0,1"
3277,9,4,59,11,5.413137081,2.923347268,"0,1"
3284,9,4,69,10,5.872087775,2.671330984,"0,1"
3303,9,4,59,25,5.215479872,4.323893542,"0,1"
3310,9,4,61,6,4.401081619,1.90132595,"0,1"
3316,9,4,63,6,4.610050368,1.84806184,"0,1"
3322,9,4,63,20,5.462425564,3.922343061,"0,1"
3355,9,4,53,23,4.464917284,3.580024894,"0,1"
3359,9,4,55,12,4.311865909,2.398721305,"0,1"
3371,9,4,67,16,5.851347042,3.516398668,"0,1"
3389,9,4,61,15,5.649443941,3.571459768,"0,1"
3447,9,4,60,15,5.313822443,2.962593915,"0,1"
3465,9,4,58,22,5.0370347,3.629127329,"0,1"
3481,9,4,57,15,5.689369002,3.495816141,"0,1"
3483,9,4,61,25,5.999049008,4.474606038,"0,1"
3506,9,4,72,9,5.275537476,2.668145495,"0,1"
3511,9,4,60,11,4.867966836,2.798376527,"0,1"
3528,9,4,67,23,6.122300895,4.205454067,"0,1"
3533,9,4,58,12,5.595185221,3.065121721,"0,1"
3588,9,4,66,23,5.075423441,3.959149342,"0,1"
3649,9,4,61,12,5.342847627,2.735096627,"0,1"
3662,9,4,54,12,4.406908002,2.920491972,"0,1"
3678,9,4,65,10,5.595436708,2.978500432,"0,1"
3745,9,4,58,16,5.251343542,3.094403426,"0,1"
3773,9,4,64,28,6.063702585,4.850330452,"0,1"
3784,9,4,77,19,6.558455103,3.727380325,"0,1"
3787,9,4,60,18,5.609485568,3.810055697,"0,1"
3818,9,4,72,22,6.519640572,4.347023004,"0,1"
3834,9,4,65,30,5.366563146,4.300298176,"0,1"
3847,9,4,57,21,5.600166142,4.163114056,"0,1"
3852,9,4,62,27,5.815844933,4.436729367,"0,1"
3912,9,4,51,10,3.746522673,2.653007115,"0,1"
3913,9,4,59,30,5.400078317,4.458709709,"0,1"
3927,9,4,61,24,5.068179523,4.137568987,"0,1"
3967,9,4,60,10,4.863404446,2.74978871,"0,1"
3977,9,4,60,14,4.66517854,3.282929178,"0,1"
3982,9,4,59,7,4.465724909,1.853031433,"0,1"
3987,9,4,58,18,4.678189761,3.354369607,"0,1"
3991,9,4,55,17,5.07139038,3.456826599,"0,1"
3998,9,4,71,15,5.887670799,3.486772941,"0,1"
4019,9,4,60,20,5.19566258,3.5369049,"0,1"
4025,9,4,52,23,4.627562312,3.203189491,"0,1"
4026,9,4,57,23,5.004181258,3.722816378,"0,1"
4032,9,4,82,24,6.977546236,4.346097783,"0,1"
4045,9,4,59,15,5.32386992,3.661989257,"0,1"
4056,9,4,79,13,6.884973525,3.072463304,"0,1"
4060,9,4,61,11,5.187387478,2.942647998,"0,1"
4065,9,4,60,14,5.649737927,3.479881211,"0,1"
4091,9,4,63,19,5.542613915,3.672977687,"0,1"
4092,9,4,59,13,4.2099989,2.578230813,"0,1"
4095,9,4,64,19,5.552419107,3.65138053,"0,1"
4117,9,4,65,10,5.508783661,3.039015806,"0,1"
4124,9,4,59,28,5.581526072,4.44505263,"0,1"
4158,9,4,60,9,5.013220507,2.813022389,"0,1"
4206,9,4,68,15,5.194950673,3.296220151,"0,1"
4209,9,4,54,10,4.227812928,2.701200838,"0,1"
4229,9,4,63,25,5.790311281,4.220025127,"0,1"
4244,9,4,69,10,5.04942279,2.479073508,"0,1"
4277,9,4,66,25,5.742693735,4.342747294,"0,1"
4307,9,4,74,21,6.108090827,3.698477923,"0,1"
4313,9,4,73,33,6.256760434,4.634658727,"0,1"
4323,9,4,71,22,6.212176903,3.823157347,"0,1"
4329,9,4,66,14,5.234464207,2.995069638,"0,1"
4345,9,4,58,20,5.102964438,3.538465512,"0,1"
4350,9,4,68,19,5.330144664,3.858566467,"0,1"
4378,9,4,49,11,3.537250554,2.118198911,"0,1"
4399,9,4,66,27,5.668757332,4.160435017,"0,1"
4425,9,4,63,6,5.481386489,1.746084762,"0,1"
4447,9,4,69,13,5.644378449,3.022120167,"0,1"
4456,9,4,60,16,5.623824752,3.439794706,"0,1"
4459,9,4,74,21,5.858924586,3.928067165,"0,1"
4544,9,4,55,1,4.396118661,0.419607843,"0,1"
4627,9,4,48,19,5.572468987,4.257366233,"0,1"
4671,9,4,63,23,5.883084922,4.560050857,"0,1"
4754,9,4,52,17,5.813501632,3.556573047,"0,1"
4816,9,4,63,29,5.649898523,4.877737798,"0,1"
4912,9,4,63,8,4.678096071,2.236401514,"0,1"
4916,9,4,67,14,4.959741036,3.311606237,"0,1"
4932,9,4,57,14,5.072798754,2.870649844,"0,1"
4949,9,4,68,20,6.285435341,4.176765156,"0,1"
4973,9,4,52,22,5.33924989,3.816262577,"0,1"
4975,9,4,66,30,5.908783757,4.590810405,"0,1"
4983,9,4,70,32,6.105910058,5.024958851,"0,1"
5008,9,4,68,11,5.328222753,2.504473506,"0,1"
5024,9,4,55,12,4.487141696,2.37411389,"0,1"
5063,9,4,73,11,6.468332346,3.002923092,"0,1"
5142,9,4,58,22,5.297873758,3.695281029,"0,1"
5165,9,4,63,15,5.809364168,3.260198856,"0,1"
5172,9,4,69,22,5.456734162,4.197040388,"0,1"
5185,9,4,63,30,5.385740211,4.297965865,"0,1"
5201,9,4,60,14,5.405085392,3.128701576,"0,1"
5208,9,4,58,18,4.638214468,3.096251656,"0,1"
5209,9,4,60,26,5.616960914,4.313023116,"0,1"
5212,9,4,64,17,5.736954678,3.705703907,"0,1"
5224,9,4,63,7,4.661607078,2.109424851,"0,1"
5229,9,4,65,19,5.899125109,3.99186023,"0,1"
5233,9,4,61,14,4.581681258,3.105827886,"0,1"
5261,9,4,65,26,5.78021124,4.511830747,"0,1"
5276,9,4,63,14,5.071504095,2.830506087,"0,1"
5316,9,4,62,18,5.322925254,3.700026497,"0,1"
5339,9,4,64,15,5.563817309,3.692200077,"0,1"
5341,9,4,64,18,5.355945433,3.600978123,"0,1"
5350,9,4,67,16,5.636763491,3.359253318,"0,1"
5362,9,4,78,15,6.722489469,3.692014721,"0,1"
5390,9,4,53,15,4.689946875,3.294283376,"0,1"
5391,9,4,61,20,5.702672772,4.182036244,"0,1"
5402,9,4,71,24,7.105174617,4.630600457,"0,1"
5404,9,4,67,8,5.170061392,1.876416292,"0,1"
5411,9,4,60,22,5.309512837,4.212018468,"0,1"
5426,9,4,60,24,5.041441486,3.493796337,"0,1"
5454,9,4,64,5,4.925733727,2.12181507,"0,1"
5459,9,4,68,14,6.027972728,3.477281681,"0,1"
5478,9,4,75,22,6.491916128,4.109770244,"0,1"
5492,9,4,66,12,5.153490286,2.848797611,"0,1"
5501,9,4,81,24,6.525524368,4.627042189,"0,1"
5518,9,4,60,16,5.15581291,3.558008333,"0,1"
5523,9,4,60,25,5.171633212,4.005056397,"0,1"
5532,9,4,79,25,6.829884352,4.395788065,"0,1"
5539,9,4,60,19,5.12998138,3.496808013,"0,1"
5544,9,4,63,12,5.227003791,2.890440834,"0,1"
5589,9,4,72,23,6.329359526,4.414374827,"0,1"
5595,9,4,59,16,5.00810723,3.388507614,"0,1"
5645,9,4,65,27,5.498275568,4.326880121,"0,1"
5658,9,4,73,17,5.843874148,3.477631051,"0,1"
5664,9,4,55,8,4.110264156,2.346753301,"0,1"
5669,9,4,65,19,5.777038961,3.821050982,"0,1"
5704,9,4,50,5,4.584847081,2.074902665,"0,1"
5705,9,4,60,22,4.961949797,3.747442034,"0,1"
5718,9,4,70,3,5.841069512,1.112350712,"0,1"
5727,9,4,62,34,5.639272955,5.083573746,"0,1"
5746,9,4,65,10,4.664222461,2.698577808,"0,1"
5794,9,4,74,9,5.725157122,2.604119411,"0,1"
5797,9,4,64,36,5.956565845,5.204131385,"0,1"
5829,9,4,61,23,5.460729045,4.019135314,"0,1"
5860,9,4,56,4,4.487460422,1.920283684,"0,1"
5865,9,4,59,28,5.134645348,4.454919221,"0,1"
