epsilon,idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after)
"0,0",1940,9,4,35,1,1.0948693741990485,0.6666666666666666
"0,0",9938,9,4,44,5,1.4074716862096153,0.7041809560871422
"0,1",4,9,4,62,18,5.460858590687159,3.5864840899749177
"0,1",22,9,4,62,8,4.616900568277657,2.2817733918185037
"0,1",43,9,4,60,15,4.667607418770689,3.537828743506043
"0,1",45,9,4,64,25,5.520447468615978,4.172226509723903
"0,1",54,9,4,64,5,5.244196000866265,1.7009529861610915
"0,1",57,9,4,55,18,5.095160574910421,3.38211593372522
"0,1",87,9,4,60,19,5.700227640692023,3.7511008252244586
"0,1",110,9,4,69,23,5.788996442860851,3.947003788712682
"0,1",116,9,4,65,18,5.60730698108829,3.685189660976792
"0,1",133,9,4,57,13,4.638214467731477,3.0056642669309515
"0,1",153,9,4,50,21,4.472663776884358,3.6551270653560732
"0,1",167,9,4,58,31,5.458930582678031,4.522228409594419
"0,1",172,9,4,67,6,5.525288408344527,2.3122893515663576
"0,1",176,9,4,58,15,3.495285999950975,2.6254455325756307
"0,1",227,9,4,59,14,5.516263048128473,3.1015616609443306
"0,1",247,9,4,64,31,4.8318165698689,3.8540760689498366
"0,1",264,9,4,61,11,5.701066628923067,3.020399692456524
"0,1",280,9,4,56,11,5.26595997769978,2.416637831431201
"0,1",282,9,4,58,17,5.024859385256406,3.406935956330029
"0,1",285,9,4,57,19,4.977272451969084,3.8146724969689214
"0,1",313,9,4,59,20,4.753793685274217,3.7031279316650116
"0,1",319,9,4,64,20,5.794114661092094,3.7759574509361564
"0,1",344,9,4,61,10,5.066067165406879,2.070224269853251
"0,1",350,9,4,66,34,5.666651740261229,4.933587387080444
"0,1",362,9,4,59,14,5.463195510899406,3.11098066404173
"0,1",364,9,4,57,14,5.068783325247622,3.008799091384857
"0,1",374,9,4,61,21,5.15466590051614,4.155347485575023
"0,1",383,9,4,60,11,5.433255141985189,3.0412971999145992
"0,1",389,9,4,61,13,5.690289319650651,2.886245204454807
"0,1",409,9,4,60,5,5.605633734516706,2.1377297547682157
"0,1",419,9,4,60,7,5.399854754764152,2.410150902762499
"0,1",423,9,4,61,22,5.217142653810011,3.920442975700689
"0,1",441,9,4,58,11,5.291361664642809,2.905996134418702
"0,1",471,9,4,63,13,5.273188842532754,3.0917633131382347
"0,1",482,9,4,58,3,5.629233850256081,1.5734191519612803
"0,1",501,9,4,62,13,4.408343771722956,2.809573352334003
"0,1",525,9,4,58,21,5.09146786130473,3.617850570820662
"0,1",550,9,4,69,25,5.831616488166202,4.203096568156111
"0,1",566,9,4,65,21,4.970959107485106,3.4117827360352972
"0,1",580,9,4,67,10,5.671403136196231,2.764466684131674
"0,1",583,9,4,61,19,4.856784772225515,3.5902490866820616
"0,1",589,9,4,67,9,5.453812214064782,2.5360696689224853
"0,1",595,9,4,59,8,4.624633572358481,2.770473749768179
"0,1",600,9,4,55,10,4.039326097862742,2.7699102732675467
"0,1",601,9,4,66,5,4.645806069248286,1.9465720221577048
"0,1",621,9,4,64,15,5.492834100113061,3.117523736616293
"0,1",631,9,4,73,10,5.1554952335757,2.7751907984325563
"0,1",641,9,4,49,5,3.7444348042228937,1.8538984973834296
"0,1",687,9,4,65,24,6.131742183657392,4.524779908237868
"0,1",707,9,4,60,18,5.695544843557551,3.875255941492417
"0,1",727,9,4,70,21,6.327072726682941,4.125639302457165
"0,1",741,9,4,64,31,5.889356614940799,4.353098389671158
"0,1",744,9,4,52,13,4.536836288245777,2.977503760338462
"0,1",755,9,4,68,14,6.284348903269442,3.4460883329007332
"0,1",763,9,4,77,24,6.86622432814525,4.600663576496158
"0,1",782,9,4,61,12,5.528632958642482,2.922021283528197
"0,1",788,9,4,73,2,5.3262987055559865,1.1833849104213705
"0,1",793,9,4,65,23,5.722294300095128,4.02831958863608
"0,1",800,9,4,70,16,6.2310973667937235,3.554819224024485
"0,1",806,9,4,64,26,5.718851913183379,4.637549632054967
"0,1",812,9,4,69,17,5.598915147294622,3.3125163126262245
"0,1",822,9,4,59,13,4.091207364688849,2.88130966846905
"0,1",827,9,4,65,28,5.7993808416818595,4.357277472716269
"0,1",864,9,4,54,19,4.868881327630113,3.877798873860406
"0,1",900,9,4,60,3,4.129934979794694,1.3452295139541726
"0,1",929,9,4,71,25,6.612782235102626,4.4768016676927935
"0,1",930,9,4,66,8,5.970926613934294,2.405549140355829
"0,1",932,9,4,68,19,5.630490400074288,3.45116309676783
"0,1",940,9,4,61,29,5.391947233001783,4.050974697716325
"0,1",980,9,4,60,14,4.862468366572369,2.971700432447324
"0,1",1005,9,4,78,13,6.685315324218958,3.3573048087154085
"0,1",1027,9,4,56,4,4.5759177716080375,1.6232262670475315
"0,1",1036,9,4,61,12,4.612198192245439,2.665890890617368
"0,1",1061,9,4,66,18,5.229065840621221,3.6536120756778
"0,1",1066,9,4,61,4,4.162620873156827,1.5396739669957298
"0,1",1083,9,4,72,13,6.721387875941566,3.1871015517900476
"0,1",1116,9,4,64,24,6.128975182976428,4.302336123186811
"0,1",1142,9,4,74,18,6.325543682839156,3.532739172258263
"0,1",1147,9,4,67,35,5.986782827817541,4.623971772814604
"0,1",1161,9,4,57,20,5.856727188805257,3.811270443223352
"0,1",1167,9,4,66,23,6.001583797117038,3.9223587439331946
"0,1",1169,9,4,59,7,5.806462083087908,1.9499898953789399
"0,1",1177,9,4,64,35,5.600878713944793,5.107068926308903
"0,1",1235,9,4,64,20,4.8810187955888065,3.501479887056578
"0,1",1250,9,4,57,26,5.415328465696973,4.104164668703663
"0,1",1256,9,4,57,12,5.288771447298594,2.7816778464941403
"0,1",1274,9,4,70,20,5.405453836664898,3.7348221615277932
"0,1",1284,9,4,53,8,4.217376770037706,2.4775097566683315
"0,1",1286,9,4,63,24,5.749390085165843,3.89905892686767
"0,1",1291,9,4,70,22,6.268883506886555,4.143305676633926
"0,1",1292,9,4,58,18,5.18553870016596,3.699903881873404
"0,1",1305,9,4,68,14,6.131753469860642,3.476737656043436
"0,1",1307,9,4,60,20,5.648786500420744,4.203874012022493
"0,1",1316,9,4,64,10,5.100846888998508,2.6415105251865416
"0,1",1333,9,4,70,19,6.306904121687104,4.25866825268514
"0,1",1355,9,4,62,34,6.043596577574022,5.316814094053567
"0,1",1360,9,4,70,20,5.768067580567569,3.74284297161775
"0,1",1396,9,4,61,15,5.309427391289537,2.9455105321948944
"0,1",1410,9,4,58,18,5.2608628760586456,3.5537310293749917
"0,1",1421,9,4,55,12,4.2013875154499685,2.9661657366437777
"0,1",1441,9,4,48,14,4.702197904044088,3.4532189709101044
"0,1",1455,9,4,54,11,4.035581841530714,2.6012566093548743
"0,1",1459,9,4,63,12,5.001396191070432,2.8221619782445946
"0,1",1462,9,4,68,17,6.382309267643713,3.7197272247682416
"0,1",1465,9,4,63,11,5.34318150728212,2.746551435976615
"0,1",1500,9,4,59,7,5.405409738456444,2.332842261720662
"0,1",1507,9,4,62,22,5.459185530029911,3.7868507192465013
"0,1",1518,9,4,67,19,5.932296476411525,3.9234603280510028
"0,1",1552,9,4,51,2,3.874914641070989,0.7969665672677623
"0,1",1569,9,4,55,5,5.348898854366977,2.062029250274799
"0,1",1574,9,4,78,27,6.815948008241941,4.649348323242118
"0,1",1585,9,4,51,11,4.3479038155631615,2.931232864400933
"0,1",1591,9,4,69,24,5.6843756126195695,4.133331473006241
"0,1",1610,9,4,64,6,4.632501398181359,2.2481193815178777
"0,1",1612,9,4,61,8,5.0609343521452965,1.9806911053725569
"0,1",1643,9,4,61,23,5.3154978593986675,4.10155586049242
"0,1",1659,9,4,61,28,5.178766573407008,4.2863929086853245
"0,1",1683,9,4,72,28,6.267460500899427,4.495983939901346
"0,1",1695,9,4,64,21,5.949727878010557,3.858034352587331
"0,1",1720,9,4,65,28,5.218424756537034,4.319468547770522
"0,1",1728,9,4,52,8,4.327878742506815,2.3371562026798127
"0,1",1732,9,4,61,15,5.736742903990218,3.73624453967945
"0,1",1733,9,4,65,23,5.71114237706059,3.820960424041514
"0,1",1736,9,4,64,9,5.4362433033634625,2.40581443565545
"0,1",1743,9,4,61,26,5.901936030174132,4.491267960083584
"0,1",1751,9,4,59,15,5.759026146902566,3.5487899394867086
"0,1",1811,9,4,57,21,5.365723444374217,3.7679275430946833
"0,1",1826,9,4,65,17,5.425521021476099,3.9482406693272436
"0,1",1850,9,4,69,7,4.826166981724353,1.5425030462944826
"0,1",1882,9,4,65,24,5.362618559642717,3.889784924509178
"0,1",1912,9,4,70,22,6.10260972404921,4.2047957826760145
"0,1",1937,9,4,56,12,4.368669693885249,3.1687681972235655
"0,1",1939,9,4,60,21,5.23567891660679,3.467090294407292
"0,1",1940,9,4,57,1,4.866456521667277,0.054901960784313725
"0,1",1950,9,4,67,3,5.834984442552432,1.6477449551249008
"0,1",1960,9,4,62,21,5.610934291335443,4.0884812076319434
"0,1",1962,9,4,56,12,5.118560507465844,3.1262945799853585
"0,1",1968,9,4,60,14,4.642984894161571,3.2962668059222215
"0,1",2006,9,4,62,19,5.2490001977271925,2.9701345670533565
