idx,true_label,pred_label,L0 (before),L0 (after),L2 (before),L2 (after),epsilon
1940,9,4,35,1,1.094869374,0.666666667,"0,0"
9938,9,4,44,5,1.407471686,0.738338794,"0,0"
4,9,4,62,16,5.460858591,3.502461374,"0,1"
22,9,4,62,10,4.616900568,2.662407209,"0,1"
43,9,4,60,14,4.667607419,3.504298453,"0,1"
45,9,4,64,21,5.520447469,4.080467064,"0,1"
54,9,4,64,4,5.244196001,1.998042102,"0,1"
57,9,4,55,23,5.095160575,3.846707026,"0,1"
87,9,4,60,23,5.700227641,4.136433335,"0,1"
110,9,4,69,27,5.788996443,4.576220233,"0,1"
116,9,4,65,20,5.607306981,3.963613821,"0,1"
133,9,4,57,14,4.638214468,3.386158132,"0,1"
153,9,4,50,20,4.472663777,3.52618807,"0,1"
167,9,4,58,27,5.458930583,4.571161462,"0,1"
172,9,4,67,6,5.525288408,2.136830323,"0,1"
176,9,4,58,10,3.495286,2.740671501,"0,1"
227,9,4,59,19,5.516263048,3.654424357,"0,1"
247,9,4,64,21,4.83181657,3.58900024,"0,1"
264,9,4,61,14,5.701066629,3.281361858,"0,1"
280,9,4,56,11,5.265959978,2.902437693,"0,1"
282,9,4,58,27,5.024859385,4.436793491,"0,1"
285,9,4,57,25,4.977272452,4.009644275,"0,1"
313,9,4,59,27,4.753793685,4.020273498,"0,1"
319,9,4,64,13,5.794114661,3.19727152,"0,1"
344,9,4,61,10,5.066067165,2.727836485,"0,1"
350,9,4,66,31,5.66665174,4.862141012,"0,1"
362,9,4,59,18,5.463195511,3.711919556,"0,1"
364,9,4,57,17,5.068783325,3.29344531,"0,1"
374,9,4,61,17,5.154665901,3.739348836,"0,1"
383,9,4,60,13,5.433255142,3.142192193,"0,1"
389,9,4,61,10,5.69028932,2.966132036,"0,1"
409,9,4,60,10,5.605633735,2.744666633,"0,1"
419,9,4,60,14,5.399854755,3.213796671,"0,1"
423,9,4,61,15,5.217142654,3.624373894,"0,1"
441,9,4,58,13,5.291361665,3.020918992,"0,1"
471,9,4,63,21,5.273188843,3.626759871,"0,1"
482,9,4,58,3,5.62923385,1.666897331,"0,1"
501,9,4,62,15,4.408343772,2.844481089,"0,1"
525,9,4,58,25,5.091467861,3.760635054,"0,1"
550,9,4,69,23,5.831616488,4.233441861,"0,1"
566,9,4,65,19,4.970959107,3.413067139,"0,1"
580,9,4,67,14,5.671403136,3.316886762,"0,1"
583,9,4,61,17,4.856784772,3.550221874,"0,1"
589,9,4,67,10,5.453812214,2.589503551,"0,1"
595,9,4,59,12,4.624633572,3.138193487,"0,1"
600,9,4,55,9,4.039326098,2.409187209,"0,1"
601,9,4,66,12,4.645806069,2.962420013,"0,1"
621,9,4,64,8,5.4928341,2.349585843,"0,1"
631,9,4,73,13,5.155495234,2.728783453,"0,1"
641,9,4,49,5,3.744434804,1.982914333,"0,1"
687,9,4,65,24,6.131742184,4.561161956,"0,1"
707,9,4,60,18,5.695544844,3.650135746,"0,1"
727,9,4,70,20,6.327072727,4.138546402,"0,1"
741,9,4,64,12,5.889356615,3.14641066,"0,1"
744,9,4,52,15,4.536836288,3.044627692,"0,1"
755,9,4,68,19,6.284348903,3.687240174,"0,1"
763,9,4,77,28,6.866224328,4.847885265,"0,1"
782,9,4,61,18,5.528632959,3.567403367,"0,1"
788,9,4,73,4,5.326298706,1.6014267,"0,1"
793,9,4,65,26,5.7222943,4.30004247,"0,1"
800,9,4,70,16,6.231097367,3.838851151,"0,1"
806,9,4,64,25,5.718851913,4.446315254,"0,1"
812,9,4,69,14,5.598915147,3.394952945,"0,1"
822,9,4,59,11,4.091207365,2.617135149,"0,1"
827,9,4,65,21,5.799380842,3.985645138,"0,1"
864,9,4,54,16,4.868881328,3.643745068,"0,1"
900,9,4,60,3,4.12993498,1.638056631,"0,1"
929,9,4,71,25,6.612782235,4.620045587,"0,1"
930,9,4,66,19,5.970926614,3.987296244,"0,1"
932,9,4,68,13,5.6304904,3.322265362,"0,1"
940,9,4,61,23,5.391947233,4.159313003,"0,1"
980,9,4,60,14,4.862468367,3.337886164,"0,1"
1005,9,4,78,15,6.685315324,3.604653321,"0,1"
1027,9,4,56,6,4.575917772,1.821905243,"0,1"
1036,9,4,61,12,4.612198192,2.78229145,"0,1"
1061,9,4,66,23,5.229065841,4.134691149,"0,1"
1066,9,4,61,8,4.162620873,2.168024594,"0,1"
1083,9,4,72,19,6.721387876,4.09156633,"0,1"
1116,9,4,64,16,6.128975183,3.77968629,"0,1"
1142,9,4,74,25,6.325543683,4.388331668,"0,1"
1147,9,4,67,29,5.986782828,4.646661686,"0,1"
1161,9,4,57,23,5.856727189,4.420771634,"0,1"
1167,9,4,66,19,6.001583797,3.726792342,"0,1"
1169,9,4,59,9,5.806462083,2.44703997,"0,1"
1177,9,4,64,27,5.600878714,4.595802374,"0,1"
1235,9,4,64,25,4.881018796,3.927650186,"0,1"
1250,9,4,57,21,5.415328466,4.074487158,"0,1"
1256,9,4,57,9,5.288771447,2.59302587,"0,1"
1274,9,4,70,22,5.405453837,3.896468694,"0,1"
1284,9,4,53,6,4.21737677,2.393943402,"0,1"
1286,9,4,63,24,5.749390085,4.03964399,"0,1"
1291,9,4,70,23,6.268883507,4.370591314,"0,1"
1292,9,4,58,23,5.1855387,4.095088533,"0,1"
1305,9,4,68,15,6.13175347,3.666607948,"0,1"
1307,9,4,60,21,5.6487865,4.275089006,"0,1"
1316,9,4,64,10,5.100846889,2.861563011,"0,1"
1333,9,4,70,23,6.306904122,4.671859033,"0,1"
1355,9,4,62,27,6.043596578,4.864985253,"0,1"
1360,9,4,70,19,5.768067581,3.952268072,"0,1"
1396,9,4,61,15,5.309427391,3.408847073,"0,1"
1410,9,4,58,20,5.260862876,3.90347788,"0,1"
1421,9,4,55,17,4.201387515,3.186609334,"0,1"
1441,9,4,48,13,4.702197904,3.398199311,"0,1"
1455,9,4,54,10,4.035581842,2.714065489,"0,1"
1459,9,4,63,13,5.001396191,2.927379404,"0,1"
1462,9,4,68,21,6.382309268,3.65641221,"0,1"
1465,9,4,63,15,5.343181507,3.097982129,"0,1"
1500,9,4,59,10,5.405409738,2.75864166,"0,1"
1507,9,4,62,13,5.45918553,3.139751458,"0,1"
1518,9,4,67,21,5.932296476,4.083014017,"0,1"
1552,9,4,51,4,3.874914641,0.940048344,"0,1"
1569,9,4,55,11,5.348898854,2.938199801,"0,1"
1574,9,4,78,26,6.815948008,4.85553862,"0,1"
1585,9,4,51,11,4.347903816,3.065322407,"0,1"
1591,9,4,69,32,5.684375613,4.611062705,"0,1"
1610,9,4,64,11,4.632501398,2.966427553,"0,1"
1612,9,4,61,3,5.060934352,1.543977896,"0,1"
1643,9,4,61,27,5.315497859,4.213159297,"0,1"
1659,9,4,61,23,5.178766573,4.046038403,"0,1"
1683,9,4,72,21,6.267460501,4.479401358,"0,1"
1695,9,4,64,23,5.949727878,4.239375303,"0,1"
1720,9,4,65,23,5.218424757,4.099273667,"0,1"
1728,9,4,52,9,4.327878743,2.589928145,"0,1"
1732,9,4,61,14,5.736742904,3.536685316,"0,1"
1733,9,4,65,25,5.711142377,4.29893543,"0,1"
1736,9,4,64,11,5.436243303,2.834380022,"0,1"
1743,9,4,61,26,5.90193603,4.566145922,"0,1"
1751,9,4,59,24,5.759026147,4.222211093,"0,1"
1811,9,4,57,23,5.365723444,3.985743529,"0,1"
1826,9,4,65,15,5.425521021,3.802067468,"0,1"
1850,9,4,69,10,4.826166982,2.160819899,"0,1"
1882,9,4,65,15,5.36261856,3.431332213,"0,1"
1912,9,4,70,24,6.102609724,4.094519551,"0,1"
1937,9,4,56,14,4.368669694,3.387969761,"0,1"
1939,9,4,60,20,5.235678917,3.601904746,"0,1"
1940,9,4,57,1,4.866456522,0.180392157,"0,1"
1950,9,4,67,5,5.834984443,1.91425981,"0,1"
1960,9,4,62,21,5.610934291,4.083111945,"0,1"
1962,9,4,56,10,5.118560507,2.589940021,"0,1"
1968,9,4,60,15,4.642984894,3.433520896,"0,1"
2006,9,4,62,11,5.249000198,2.740118733,"0,1"
2033,9,4,71,16,6.130662374,3.890122944,"0,1"
2041,9,4,60,23,5.61725523,4.202778232,"0,1"
2099,9,4,65,13,5.816999045,3.046687842,"0,1"
2116,9,4,57,19,5.324961711,3.878130007,"0,1"
2119,9,4,59,25,5.27159625,4.182481176,"0,1"
2141,9,4,47,11,3.358465807,2.555506076,"0,1"
2219,9,4,58,18,5.605658425,3.693326588,"0,1"
2221,9,4,65,30,5.515960554,4.382854294,"0,1"
2274,9,4,69,14,5.955388425,3.504857946,"0,1"
2299,9,4,66,31,5.926471156,4.821847308,"0,1"
2321,9,4,60,22,5.664493782,4.226999867,"0,1"
2351,9,4,60,25,5.283731279,4.222283939,"0,1"
2370,9,4,63,19,5.904072321,3.83493723,"0,1"
2371,9,4,68,19,5.266901722,3.687294394,"0,1"
2385,9,4,70,30,5.983104496,4.750041178,"0,1"
2398,9,4,65,7,5.167490726,2.272514338,"0,1"
2438,9,4,60,5,4.490963202,1.881082087,"0,1"
2453,9,4,61,28,5.962666112,4.709692902,"0,1"
2465,9,4,67,19,5.659239315,3.637106387,"0,1"
2471,9,4,67,19,5.768711427,3.970097767,"0,1"
2501,9,4,63,18,5.551931613,3.910039917,"0,1"
2509,9,4,64,21,5.654983546,3.789704583,"0,1"
2514,9,4,61,13,5.410674798,3.171935761,"0,1"
2521,9,4,66,32,5.78716314,5.102551548,"0,1"
2553,9,4,72,23,5.849497788,4.291025837,"0,1"
2559,9,4,71,30,5.459774258,4.235787916,"0,1"
2595,9,4,55,13,4.619068513,2.821884052,"0,1"
2600,9,4,54,3,4.095218093,1.09964868,"0,1"
2613,9,4,56,13,4.869882491,3.050584681,"0,1"
2633,9,4,71,22,5.989227803,4.23754842,"0,1"
2643,9,4,63,26,5.515586945,4.323733489,"0,1"
2649,9,4,56,21,4.896134577,4.084810245,"0,1"
2677,9,4,59,22,5.284765887,3.574898605,"0,1"
2697,9,4,71,28,5.985942779,4.496202849,"0,1"
2703,9,4,65,23,5.456535468,3.93173584,"0,1"
2764,9,4,67,12,4.050469759,2.523589591,"0,1"
2779,9,4,65,22,5.81246192,3.928466483,"0,1"
2797,9,4,65,32,5.397392111,4.88317026,"0,1"
2860,9,4,58,7,4.178423551,1.713029876,"0,1"
2924,9,4,63,15,5.303726936,3.507509383,"0,1"
2953,9,4,56,25,5.232053047,4.274051064,"0,1"
2973,9,4,56,22,4.903773782,3.661298367,"0,1"
2989,9,4,58,9,4.894152212,2.863749488,"0,1"
2997,9,4,61,15,5.117418671,2.85706393,"0,1"
3000,9,4,78,16,6.694150958,3.797319923,"0,1"
3020,9,4,62,29,5.46886191,4.54192144,"0,1"
3030,9,4,70,21,5.500894339,3.836374602,"0,1"
3044,9,4,66,13,5.116946838,3.209824883,"0,1"
3055,9,4,58,19,5.470689436,3.808747697,"0,1"
3063,9,4,64,19,5.47794712,3.948534737,"0,1"
3069,9,4,67,26,5.58459324,4.206797743,"0,1"
3076,9,4,67,24,6.143670142,4.480779577,"0,1"
3083,9,4,63,18,5.961929715,4.067267904,"0,1"
3084,9,4,58,11,5.07343535,2.995978337,"0,1"
3095,9,4,65,18,5.424908732,3.774541889,"0,1"
3099,9,4,62,18,5.239443168,3.441240712,"0,1"
3121,9,4,65,13,5.647231751,3.119249804,"0,1"
3146,9,4,65,9,4.764141014,2.72249518,"0,1"
3169,9,4,62,13,5.278247819,2.994943836,"0,1"
3173,9,4,60,30,5.076218762,4.182874589,"0,1"
3190,9,4,71,17,4.783731884,3.321026879,"0,1"
3193,9,4,60,11,4.363978235,2.845521651,"0,1"
3227,9,4,74,13,4.652278032,3.135482342,"0,1"
3232,9,4,60,19,5.630277353,3.99302352,"0,1"
3257,9,4,62,24,5.22146223,4.336457041,"0,1"
3263,9,4,60,26,5.524181924,4.264517913,"0,1"
3265,9,4,66,14,5.416675805,3.307782116,"0,1"
3277,9,4,59,13,5.413137081,3.189600074,"0,1"
3284,9,4,69,12,5.872087775,3.149798453,"0,1"
3303,9,4,59,27,5.215479872,4.349945975,"0,1"
3310,9,4,61,6,4.401081619,1.932903743,"0,1"
3316,9,4,63,13,4.610050368,3.095581055,"0,1"
3322,9,4,63,22,5.462425564,4.12540073,"0,1"
3355,9,4,53,18,4.464917284,3.450608269,"0,1"
3359,9,4,55,7,4.311865909,2.201956419,"0,1"
3371,9,4,67,25,5.851347042,4.268880985,"0,1"
3389,9,4,61,18,5.649443941,3.852124346,"0,1"
3447,9,4,60,20,5.313822443,3.721157439,"0,1"
3465,9,4,58,26,5.0370347,3.975124497,"0,1"
3481,9,4,57,20,5.689369002,4.012949052,"0,1"
3483,9,4,61,26,5.999049008,4.711925858,"0,1"
3506,9,4,72,21,5.275537476,3.872774876,"0,1"
3511,9,4,60,18,4.867966836,3.716521713,"0,1"
3528,9,4,67,21,6.122300895,4.392900847,"0,1"
3533,9,4,58,15,5.595185221,3.360926164,"0,1"
3588,9,4,66,22,5.075423441,3.813134185,"0,1"
3649,9,4,61,11,5.342847627,2.777165638,"0,1"
3662,9,4,54,10,4.406908002,2.511038299,"0,1"
3678,9,4,65,11,5.595436708,3.129401936,"0,1"
3745,9,4,58,16,5.251343542,3.421799532,"0,1"
3773,9,4,64,32,6.063702585,4.840094305,"0,1"
3784,9,4,77,19,6.558455103,3.812367821,"0,1"
3787,9,4,60,19,5.609485568,3.937686485,"0,1"
3818,9,4,72,23,6.519640572,4.568743582,"0,1"
3834,9,4,65,26,5.366563146,4.294042438,"0,1"
3847,9,4,57,20,5.600166142,3.818421928,"0,1"
3852,9,4,62,31,5.815844933,4.443789648,"0,1"
3912,9,4,51,11,3.746522673,2.690044585,"0,1"
3913,9,4,59,30,5.400078317,4.755478841,"0,1"
3927,9,4,61,26,5.068179523,4.482565655,"0,1"
3967,9,4,60,10,4.863404446,2.662427426,"0,1"
3977,9,4,60,15,4.66517854,3.154725863,"0,1"
3982,9,4,59,8,4.465724909,2.294124351,"0,1"
3987,9,4,58,20,4.678189761,3.439986946,"0,1"
3991,9,4,55,17,5.07139038,3.497364307,"0,1"
3998,9,4,71,14,5.887670799,3.330589413,"0,1"
4019,9,4,60,21,5.19566258,3.965264405,"0,1"
4025,9,4,52,22,4.627562312,3.546436065,"0,1"
4026,9,4,57,20,5.004181258,3.829489573,"0,1"
4032,9,4,82,23,6.977546236,4.595106302,"0,1"
4045,9,4,59,18,5.32386992,3.92154902,"0,1"
4056,9,4,79,16,6.884973525,3.859305725,"0,1"
4060,9,4,61,10,5.187387478,2.909457725,"0,1"
4065,9,4,60,20,5.649737927,3.82521431,"0,1"
4091,9,4,63,21,5.542613915,3.893890561,"0,1"
4092,9,4,59,15,4.2099989,3.079627593,"0,1"
4095,9,4,64,15,5.552419107,3.536985338,"0,1"
4117,9,4,65,22,5.508783661,4.01949689,"0,1"
4124,9,4,59,25,5.581526072,4.151409668,"0,1"
4158,9,4,60,11,5.013220507,3.064168282,"0,1"
4206,9,4,68,13,5.194950673,3.32467156,"0,1"
4209,9,4,54,14,4.227812928,3.143163554,"0,1"
4229,9,4,63,27,5.790311281,4.308711881,"0,1"
4244,9,4,69,14,5.04942279,2.681931511,"0,1"
4277,9,4,66,30,5.742693735,4.752536707,"0,1"
4307,9,4,74,31,6.108090827,4.332133629,"0,1"
4313,9,4,73,25,6.256760434,4.272951686,"0,1"
4323,9,4,71,19,6.212176903,3.981064369,"0,1"
4329,9,4,66,17,5.234464207,3.230787116,"0,1"
4345,9,4,58,19,5.102964438,3.549489732,"0,1"
4350,9,4,68,18,5.330144664,3.605011677,"0,1"
4378,9,4,49,15,3.537250554,2.518569253,"0,1"
4399,9,4,66,25,5.668757332,4.237281669,"0,1"
4425,9,4,63,12,5.481386489,2.932179704,"0,1"
4447,9,4,69,11,5.644378449,2.826232366,"0,1"
4456,9,4,60,11,5.623824752,2.906832159,"0,1"
4459,9,4,74,18,5.858924586,3.830531547,"0,1"
4544,9,4,55,1,4.396118661,1,"0,1"
4627,9,4,48,22,5.572468987,4.446470895,"0,1"
4671,9,4,63,24,5.883084922,4.624079862,"0,1"
4754,9,4,52,18,5.813501632,3.334122167,"0,1"
4816,9,4,63,23,5.649898523,4.512306211,"0,1"
4912,9,4,63,9,4.678096071,2.393917706,"0,1"
4916,9,4,67,20,4.959741036,3.736452396,"0,1"
4932,9,4,57,12,5.072798754,3.022735838,"0,1"
4949,9,4,68,24,6.285435341,4.625429934,"0,1"
4973,9,4,52,19,5.33924989,3.97583628,"0,1"
4975,9,4,66,27,5.908783757,4.65182018,"0,1"
4983,9,4,70,32,6.105910058,5.204420976,"0,1"
5008,9,4,68,12,5.328222753,2.948714523,"0,1"
5024,9,4,55,11,4.487141696,2.646111668,"0,1"
5063,9,4,73,23,6.468332346,4.291256993,"0,1"
5142,9,4,58,30,5.297873758,4.355438252,"0,1"
5165,9,4,63,15,5.809364168,3.607080056,"0,1"
5172,9,4,69,23,5.456734162,4.242354319,"0,1"
5185,9,4,63,28,5.385740211,4.412193443,"0,1"
5201,9,4,60,22,5.405085392,4.013608148,"0,1"
5208,9,4,58,11,4.638214468,2.331549821,"0,1"
5209,9,4,60,34,5.616960914,4.901819606,"0,1"
5212,9,4,64,23,5.736954678,4.231348925,"0,1"
5224,9,4,63,4,4.661607078,1.998042102,"0,1"
5229,9,4,65,23,5.899125109,4.301342297,"0,1"
5233,9,4,61,14,4.581681258,3.208049277,"0,1"
5261,9,4,65,35,5.78021124,4.648021742,"0,1"
5276,9,4,63,17,5.071504095,3.316749983,"0,1"
5316,9,4,62,23,5.322925254,3.970752357,"0,1"
5339,9,4,64,21,5.563817309,4.145027547,"0,1"
5341,9,4,64,17,5.355945433,3.651538467,"0,1"
5350,9,4,67,13,5.636763491,3.051237451,"0,1"
5362,9,4,78,16,6.722489469,3.523395744,"0,1"
5390,9,4,53,16,4.689946875,3.530860269,"0,1"
5391,9,4,61,28,5.702672772,4.497924678,"0,1"
5402,9,4,71,23,7.105174617,4.52477481,"0,1"
5404,9,4,67,12,5.170061392,2.636641812,"0,1"
5411,9,4,60,24,5.309512837,4.144916241,"0,1"
5426,9,4,60,9,5.041441486,2.462479691,"0,1"
5454,9,4,64,6,4.925733727,2.183489829,"0,1"
5459,9,4,68,15,6.027972728,3.790374097,"0,1"
5478,9,4,75,24,6.491916128,4.569125615,"0,1"
5492,9,4,66,13,5.153490286,2.768394147,"0,1"
5501,9,4,81,23,6.525524368,4.369319127,"0,1"
5518,9,4,60,20,5.15581291,3.693078827,"0,1"
5523,9,4,60,31,5.171633212,4.107110703,"0,1"
5532,9,4,79,24,6.829884352,4.37974261,"0,1"
5539,9,4,60,27,5.12998138,3.92567628,"0,1"
5544,9,4,63,14,5.227003791,3.007521009,"0,1"
5589,9,4,72,20,6.329359526,4.241545858,"0,1"
5595,9,4,59,22,5.00810723,3.760733198,"0,1"
5645,9,4,65,23,5.498275568,4.285721938,"0,1"
5658,9,4,73,17,5.843874148,3.6756773,"0,1"
5664,9,4,55,10,4.110264156,2.25500085,"0,1"
5669,9,4,65,20,5.777038961,4.01780543,"0,1"
5704,9,4,50,4,4.584847081,1.726871105,"0,1"
5705,9,4,60,23,4.961949797,3.685809316,"0,1"
5718,9,4,70,2,5.841069512,1.414213562,"0,1"
5727,9,4,62,33,5.639272955,5.059790149,"0,1"
5746,9,4,65,17,4.664222461,3.293622745,"0,1"
5794,9,4,74,11,5.725157122,2.94025868,"0,1"
5797,9,4,64,32,5.956565845,5.104278234,"0,1"
5829,9,4,61,23,5.460729045,4.184396419,"0,1"
5860,9,4,56,9,4.487460422,2.154811859,"0,1"
5865,9,4,59,28,5.134645348,4.648258305,"0,1"
5869,9,4,66,25,5.953128468,4.68324457,"0,1"
5874,9,4,70,15,5.750958665,3.594782412,"0,1"
5878,9,4,64,15,5.156543642,3.11974772,"0,1"
5892,9,4,70,17,5.699245517,3.268109278,"0,1"
5893,9,4,54,21,4.805701151,3.859650398,"0,1"
5898,9,4,60,6,3.973926943,2.136621601,"0,1"
5918,9,4,69,20,5.878900948,4.007703079,"0,1"
5924,9,4,59,19,5.241635287,3.759798681,"0,1"
5937,9,4,55,26,5.479380102,4.092445756,"0,1"
5943,9,4,64,29,5.840103173,4.875799996,"0,1"
5979,9,4,65,34,5.845873816,5.195908247,"0,1"
5992,9,4,63,30,5.946249048,4.74814357,"0,1"
6019,9,4,71,23,6.471468746,4.517813859,"0,1"
