seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred,first_largest,second_largest,third_largest,fourth_largest,fifth_largest,last_largest,alpha,iter
14,381,0.6011906678804003,0.03137254901960784,0.0039215686274509665,1,7,2,1.0,9.4850865e-09,4.621064e-10,2.4114315e-11,9.602702e-12,2.6939063e-25,0.00392156862745098,7
18,430,0.5649509272255512,0.027450980392156862,0.0039215686274509665,6,7,3,1.0,9.5720685e-09,4.7901505e-09,2.9158932e-13,1.5794204e-15,2.6104065e-17,0.00392156862745098,6
20,521,0.8555493141770665,0.0392156862745098,0.007843137254901933,4,2,2,1.0,9.955943e-12,2.3306262e-17,2.0513685e-20,6.1260746e-21,3.0275779e-27,0.00392156862745098,9
40,464,0.41620389526028523,0.0196078431372549,0.007843137254901933,1,8,2,1.0,8.4506964e-11,5.009974e-12,1.1806693e-13,9.5351813e-14,2.1689726e-23,0.00392156862745098,4
43,467,0.8335063257581281,0.0392156862745098,0.0039215686274509665,9,8,2,1.0,2.3553898e-12,1.04947226e-13,2.1698267e-14,1.6910936e-15,8.29229e-37,0.00392156862745098,9
67,476,0.8469589628863561,0.0392156862745098,0.0039215686274509665,1,8,2,1.0,6.0813026e-09,3.4177064e-11,4.7137093e-13,1.29447946e-14,2.3885575e-22,0.00392156862745098,9
72,462,0.41661014610884145,0.0196078431372549,0.0039215686274509665,1,8,2,1.0,3.248774e-08,9.756649e-10,4.9138058e-11,2.4796026e-11,8.3902335e-21,0.00392156862745098,4
113,404,0.6873828584974265,0.03529411764705882,0.0117647058823529,1,2,2,1.0,7.936159e-09,1.6451945e-10,5.0239853e-15,8.531765e-20,1.993701e-34,0.00392156862745098,8
124,470,0.5912341857171575,0.027450980392156862,0.007843137254901933,1,8,2,1.0,9.66995e-09,5.934707e-10,4.9563453e-10,2.2867897e-14,5.9871585e-20,0.00392156862745098,6
125,479,0.6736542681886803,0.03137254901960784,0.0039215686274509665,8,2,2,1.0,5.5298604e-16,2.3512107e-16,2.6477949e-17,2.2572888e-20,0.0,0.00392156862745098,7
128,463,0.821510129416286,0.0392156862745098,0.007843137254901933,1,8,2,1.0,3.0562861e-12,1.9033696e-14,1.818304e-15,4.952472e-17,6.395079e-32,0.00392156862745098,9
167,521,0.8766789242239095,0.0392156862745098,0.0039215686274509665,9,3,2,1.0,4.5270237e-12,3.5605522e-13,1.7379326e-15,1.5262026e-23,0.0,0.00392156862745098,9
174,469,0.5017922511192779,0.023529411764705882,0.007843137254901933,1,8,2,1.0,1.9920568e-10,2.645887e-13,3.758088e-14,5.318586e-15,6.989491e-24,0.00392156862745098,5
177,385,0.7443546343021405,0.0392156862745098,0.007843137254901933,1,7,2,1.0,4.322195e-09,3.6886123e-11,3.4343353e-12,4.8402383e-14,7.286768e-32,0.00392156862745098,9
231,379,0.7406264169114836,0.0392156862745098,0.007843137254901933,1,7,2,1.0,5.3548103e-12,1.325059e-13,1.1702824e-16,1.8774388e-17,9.2215825e-29,0.00392156862745098,9
276,377,0.6770699248960695,0.03529411764705882,0.0039215686274509665,1,7,2,1.0,2.211739e-08,1.8682883e-08,5.9404603e-10,1.450949e-10,1.3507176e-23,0.00392156862745098,8
285,423,0.7883230855412207,0.03921568627450982,0.0039215686274509665,9,7,2,1.0,1.0422299e-08,3.555013e-14,2.2194318e-14,8.908684e-16,7.5540073e-25,0.00392156862745098,9
304,417,0.7207262772939574,0.03529411764705882,0.0352941176470587,9,8,2,1.0,7.787946e-09,2.5732327e-09,1.2699416e-09,1.7734388e-10,1.2141105e-15,0.00392156862745098,8
309,405,0.7733448672726958,0.0392156862745098,0.00392156862745098,1,7,2,1.0,1.2786526e-09,8.8931934e-10,1.1695952e-12,1.2305807e-13,8.290415e-24,0.00392156862745098,9
318,478,0.6713904157417386,0.03137254901960784,0.0039215686274509665,2,8,2,1.0,3.8109096e-11,3.6650905e-11,5.843202e-13,2.0308621e-14,6.351815e-28,0.00392156862745098,7
319,488,0.8500039577445903,0.0392156862745098,0.007843137254901933,9,8,2,1.0,1.3081856e-10,1.4988146e-15,1.3669213e-15,1.8013127e-16,2.4184592e-27,0.00392156862745098,9
322,480,0.8447863489629066,0.0392156862745098,0.0039215686274509665,9,8,2,1.0,1.0578976e-12,2.7509985e-13,1.1802679e-14,8.8492454e-15,2.3685253e-28,0.00392156862745098,9
328,493,0.5825608660301145,0.027450980392156876,0.0039215686274509665,5,9,2,1.0,3.4707583e-08,1.2118854e-14,1.8912877e-20,3.780909e-21,0.0,0.00392156862745098,6
344,477,0.7708351647473484,0.03529411764705882,0.0352941176470587,9,8,2,1.0,1.958136e-08,1.3353423e-09,7.986474e-11,9.142921e-12,7.2209015e-27,0.00392156862745098,8
345,420,0.5500830037678107,0.027450980392156862,0.0039215686274509665,1,7,2,1.0,3.361723e-08,2.7853135e-08,4.5342417e-11,1.1164322e-11,4.5380492e-37,0.00392156862745098,6
351,391,0.6042270681336909,0.03137254901960784,0.007843137254901933,1,7,2,1.0,1.5433521e-10,1.6154668e-11,4.6333362e-12,1.3539673e-16,1.6006993e-36,0.00392156862745098,7
357,396,0.7572182442564572,0.0392156862745098,0.007843137254901933,1,7,2,1.0,1.0139125e-08,1.3951344e-11,1.7446374e-12,2.8940706e-15,9.172708e-37,0.00392156862745098,9
