seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred,first_largest,second_largest,third_largest,fourth_largest,fifth_largest,last_largest,alpha,iter
9,469,0.6672776899993986,0.03137254901960784,0.007843137254901933,4,6,2,1.0,2.5492916e-08,1.6992303e-09,8.953051e-10,1.6096545e-10,2.4096358e-13,0.00392156862745098,7
22,455,0.8249753878868094,0.0392156862745098,0.0039215686274509665,9,7,2,0.99574184,0.0038563965,0.00034913127,4.3985267e-05,8.544434e-06,2.889856e-18,0.00392156862745098,9
257,475,0.5830754084586742,0.027450980392156862,0.0039215686274509665,4,6,2,1.0,4.0905668e-08,3.831808e-10,1.2387992e-10,3.5494017e-11,3.5309068e-15,0.00392156862745098,6
271,470,0.7442409931612042,0.03529411764705882,0.0039215686274509665,4,6,2,1.0,2.6122912e-08,1.3143614e-09,5.2298214e-11,1.2268604e-11,1.7053081e-13,0.00392156862745098,8
289,487,0.5960655313361597,0.027450980392156862,0.007843137254901933,4,2,2,1.0,7.569545e-09,4.596506e-09,2.1398366e-10,1.0068427e-10,1.446349e-13,0.00392156862745098,6
297,470,0.6674735601351041,0.03137254901960784,0.0039215686274509665,4,6,2,1.0,3.3999292e-08,1.1423764e-10,7.995238e-11,8.391296e-12,8.872438e-14,0.00392156862745098,7
329,477,0.8332664333007898,0.03921568627450982,0.007843137254901933,4,6,2,1.0,1.6410812e-08,1.7122301e-10,2.6573132e-12,2.8522665e-13,2.1234349e-18,0.00392156862745098,9
373,486,0.6763426989084612,0.03137254901960784,0.0039215686274509665,4,6,2,1.0,2.8753995e-09,1.4194622e-09,5.707406e-10,3.507488e-11,4.0939688e-16,0.00392156862745098,7
418,459,0.7532883186681619,0.03529411764705884,0.00392156862745098,8,6,2,0.77682346,0.13168502,0.06432713,0.021663329,0.0039335033,1.6089799e-06,0.00392156862745098,8
419,477,0.8413387109869309,0.0392156862745098,0.00392156862745098,9,5,2,0.99756277,0.002400464,2.5489997e-05,6.856092e-06,2.6848202e-06,1.6183804e-18,0.00392156862745098,9
456,448,0.8138932026554334,0.0392156862745098,0.00392156862745098,8,3,2,0.9992699,0.00050511025,7.101606e-05,5.7286674e-05,3.7780457e-05,1.5130064e-08,0.00392156862745098,9
541,491,0.8513507823194494,0.0392156862745098,0.0039215686274509665,4,6,2,1.0,3.7031818e-08,2.5053263e-11,1.3057619e-11,4.811433e-12,4.243983e-17,0.00392156862745098,9
717,498,0.8354598012979281,0.0392156862745098,0.0039215686274509665,4,6,2,1.0,5.8077154e-12,1.4310208e-13,1.0096778e-13,4.7168258e-15,3.512845e-18,0.00392156862745098,9
