seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred,first_largest,second_largest,third_largest,fourth_largest,fifth_largest,last_largest
0,,,,,,,,8.646649,3.0615232,-4.9744377,-6.9804463,-14.282256,-35.970837
1,,,,,,,,9.716532,0.09702653,-4.226696,-6.6577287,-7.2686954,-22.56816
2,83,3.023750659487272,0.3921568627450981,0.0039215686274509665,4,5,3,3.747456,0.59354496,-0.21967107,-1.2238743,-2.9676635,-10.948802
3,,,,,,,,8.470084,1.7813926,1.5869532,-0.38895333,-1.8132926,-6.0843773
4,,,,,,,,6.675126,0.98264337,0.5896833,-0.86255026,-1.1029947,-29.44085
5,,,,,,,,7.3741894,1.4311897,1.0950856,-4.470213,-6.281637,-18.080168
6,,,,,,,,11.10442,1.6744666,-0.0015389919,-0.5606247,-1.8006201,-11.038526
7,,,,,,,,12.773001,1.8161861,-1.1925776,-5.079543,-10.781488,-55.41517
8,,,,,,,,8.780542,-0.014456272,-0.15749729,-0.437194,-0.9354965,-7.6703324
9,,,,,,,,7.5074673,0.094899535,-0.65804875,-2.0886023,-2.5984669,-17.06345
10,,,,,,,,8.709677,-3.880342,-4.1908817,-7.243723,-7.7672267,-29.331135
11,,,,,,,,6.133956,1.32969,-0.85426235,-3.447667,-4.1858087,-22.165163
12,,,,,,,,20.64187,-5.2725163,-7.7078853,-17.873837,-20.047615,-50.135284
13,,,,,,,,15.212123,2.5590258,0.09673971,-0.50049067,-1.2816339,-16.017395
14,,,,,,,,10.724467,1.1226773,-0.44688714,-0.47801846,-1.1994736,-7.729832
15,,,,,,,,9.702083,0.6755755,-4.977827,-8.066789,-8.068547,-33.137493
16,,,,,,,,5.297848,1.140859,-1.6530421,-2.4725761,-6.4290304,-25.982283
17,,,,,,,,7.3448606,0.09336156,-0.11453438,-0.57090807,-0.82176554,-9.718867
18,,,,,,,,7.21931,2.9210384,2.1752377,-2.5999005,-3.5467205,-9.800343
19,,,,,,,,6.2403917,2.8278117,2.5041196,-3.9758792,-4.5615396,-31.82241
20,,,,,,,,10.547486,3.6800969,-3.559826,-3.5908294,-3.971147,-29.221224
21,,,,,,,,7.762801,-1.5613117,-4.0320745,-5.9919086,-8.10171,-21.5317
22,,,,,,,,4.548667,2.0099707,0.8655523,0.6435591,-1.0225668,-17.295584
23,,,,,,,,10.140545,1.7445397,0.5493938,0.078004956,-1.7048508,-7.7476654
24,,,,,,,,1.4063106,0.5617693,0.17960119,-1.5851605,-2.001801,-10.304888
25,,,,,,,,11.86932,5.043434,-2.5132403,-3.5545807,-6.3580575,-22.51885
26,,,,,,,,5.5432744,1.2901666,-2.0860424,-2.3451922,-2.4285884,-12.492152
27,,,,,,,,11.376205,-2.7240572,-8.578414,-10.084141,-13.781208,-57.301273
28,,,,,,,,11.589763,7.740962,3.970989,-0.46085167,-10.815139,-24.806814
29,,,,,,,,2.9911332,-2.2524712,-2.6250188,-2.7388968,-3.769939,-12.785272
30,,,,,,,,7.1645164,0.9076027,-3.1029723,-6.8746543,-8.331644,-22.076418
31,,,,,,,,8.755571,2.3135011,0.9127821,-0.1391812,-0.7207091,-20.41285
32,,,,,,,,10.1013565,0.50044227,0.364933,-1.4191427,-1.863164,-6.79432
33,56,2.1735751806054338,0.3921568627450981,0.011764705882352941,9,7,2,7.53977,6.6388683,-0.03781748,-1.8796263,-3.982166,-29.844534
34,,,,,,,,8.124175,1.498776,0.24971092,-0.461774,-4.545397,-26.695349
35,,,,,,,,4.257895,0.66633934,-0.12901998,-1.6172659,-3.3658407,-14.114123
36,,,,,,,,12.80701,0.018599868,-0.44904494,-0.8314506,-1.4602082,-9.843443
37,,,,,,,,11.335821,1.1168664,-0.04475081,-5.726178,-6.1228137,-24.75463
38,,,,,,,,5.3535867,5.1180477,1.3607025,0.5710709,-5.160097,-24.115976
39,,,,,,,,4.186754,0.11845136,-1.341865,-1.4273529,-2.3584275,-14.601295
40,,,,,,,,9.418091,0.6738804,0.29567015,-1.0982338,-1.7080946,-7.128569
41,,,,,,,,9.400969,0.28901434,-0.6605947,-0.9972727,-1.0848306,-10.596448
42,,,,,,,,6.0139084,-0.38042915,-1.2025148,-1.606628,-2.379611,-19.242636
43,,,,,,,,6.8611584,1.4551153,1.0640856,-3.1653113,-4.595971,-25.112953
44,,,,,,,,7.368046,-0.9372144,-2.1119795,-2.6639864,-7.8634043,-27.357927
45,,,,,,,,8.316781,0.63098204,0.46289134,-0.90807617,-2.6241724,-35.92658
46,,,,,,,,9.319915,0.22560143,-1.2230693,-1.6482463,-3.7142816,-12.349392
47,,,,,,,,8.9303,2.8080058,2.1439278,0.15970373,-9.258149,-26.643822
48,,,,,,,,-0.918386,-1.230397,-1.4119928,-1.9590491,-3.0850334,-10.202124
49,,,,,,,,8.639196,0.3036523,-6.726644,-10.129367,-10.654156,-37.642147
50,,,,,,,,6.5880327,-0.9568823,-5.391971,-6.0476384,-8.821927,-21.710297
51,,,,,,,,12.895985,0.3538409,-4.022496,-6.9356427,-6.9919415,-33.25585
52,,,,,,,,8.695059,1.97085,-4.9730635,-8.856408,-10.526234,-26.301758
53,,,,,,,,3.4349878,0.11684859,-0.47982275,-2.5486836,-3.1576154,-11.1908455
54,,,,,,,,7.6777773,-0.19910967,-0.75162315,-3.5648699,-4.695368,-35.43685
55,,,,,,,,10.843798,5.95621,4.3000755,-4.62233,-8.3269005,-37.425026
56,,,,,,,,17.123205,4.661673,0.95424247,-1.2016068,-5.7367125,-29.879225
57,,,,,,,,7.6819315,-0.46828258,-0.576638,-1.5950508,-4.5013266,-35.808426
58,,,,,,,,8.740893,2.9108849,-2.0703793,-3.68325,-3.8500168,-22.310146
59,,,,,,,,8.785959,1.2275199,0.77053946,-0.61487097,-0.820842,-10.399684
60,,,,,,,,17.451443,9.165406,-0.6036955,-2.8656178,-5.1488996,-44.557655
61,,,,,,,,6.1677303,0.5423818,0.4795413,-1.2106609,-1.8282564,-10.02009
62,,,,,,,,12.888312,3.8355165,1.9338523,1.7694778,-0.474243,-13.99935
63,,,,,,,,6.7769585,-2.4285786,-4.40789,-4.5559387,-5.277918,-30.479067
64,,,,,,,,9.4463,1.5690374,0.5763211,0.38106912,-0.14763653,-29.280088
65,60,2.3415311584708767,0.3921568627450981,0.011764705882352941,5,4,3,7.466209,4.3924456,3.3042898,-1.5174186,-3.0526767,-27.870672
66,,,,,,,,15.330144,4.166499,-8.09824,-8.274572,-8.6809845,-17.714266
67,,,,,,,,10.681839,1.3900099,0.3334846,0.1966008,-1.3504297,-5.245117
68,103,3.5895358191770343,0.3921568627450981,0.11372549019607843,0,2,2,6.1537104,4.7844505,1.6200784,-0.37138104,-2.4644465,-12.40542
69,,,,,,,,10.302701,0.5244008,-1.7110722,-4.4043446,-5.811493,-29.040731
70,58,2.4870568448121935,0.3921568627450981,0.007843137254901933,1,2,2,6.0913954,5.8050337,0.91183925,-1.4821993,-1.8014722,-11.965247
71,,,,,,,,14.996126,1.1892416,-0.42421544,-4.3730817,-6.4169188,-26.790548
72,,,,,,,,8.502099,1.05801,0.59482926,-1.0031009,-1.5013751,-6.5034785
73,,,,,,,,11.000905,1.9668314,1.6602407,-0.8538048,-2.6350164,-14.689043
74,,,,,,,,7.2800922,-4.5463614,-7.461836,-8.382956,-9.2568445,-23.801046
75,,,,,,,,7.238865,-1.9654953,-4.866955,-5.1372347,-5.7759066,-29.034563
76,,,,,,,,10.738092,2.0850265,1.2153926,-1.1871774,-3.0827594,-18.41998
77,,,,,,,,9.833303,1.6353112,1.0521282,0.985225,-1.6323972,-7.8460636
78,,,,,,,,7.587702,2.6794472,-0.16361609,-0.894297,-1.1242359,-10.641761
79,,,,,,,,9.907857,3.1366389,-1.1218112,-6.185694,-6.74331,-23.11684
80,,,,,,,,4.1870604,-1.7049061,-2.4336956,-2.6272204,-3.430961,-17.026194
81,,,,,,,,9.904881,-0.15226594,-0.97012854,-2.7343042,-6.3828216,-27.827816
82,,,,,,,,15.735956,3.4983933,0.28468275,-3.4273481,-8.032432,-23.117603
83,,,,,,,,10.121506,4.2409425,4.0552683,-1.50723,-1.9337656,-11.208901
84,,,,,,,,4.6211796,-2.0429173,-2.070163,-4.9220796,-9.12211,-21.917503
85,,,,,,,,8.045896,3.0798852,2.5671809,-2.6269073,-8.258349,-27.051762
86,,,,,,,,5.264311,-1.4878547,-5.8658085,-5.9064426,-6.362939,-23.17109
87,,,,,,,,9.460195,3.3787541,0.38535935,-0.0034527779,-4.059046,-39.836636
88,,,,,,,,11.731702,3.526336,-0.04770732,-2.8282423,-6.0848107,-22.932497
89,,,,,,,,8.890634,2.8292222,-3.0371752,-4.3423643,-4.3700294,-24.880278
90,,,,,,,,19.634657,1.9263922,-1.4741211,-3.6903288,-3.8025875,-23.195814
91,,,,,,,,17.40162,2.5702243,-5.205758,-6.06801,-7.946405,-25.068468
92,,,,,,,,6.699568,0.28513253,-0.7750685,-0.9497527,-2.6163428,-18.21256
93,,,,,,,,10.572202,2.1056662,1.0726335,0.12925696,-1.2612591,-10.903924
