seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred,first_largest,second_largest,third_largest,fourth_largest,fifth_largest,last_largest
0,,,,,,,,21.38323,4.648491,-9.945504,-11.325564,-13.4310665,-34.347233
1,,,,,,,,22.914503,-18.727493,-20.578482,-25.038692,-25.468649,-54.010136
2,,,,,,,,22.835337,-3.3601418,-4.7871027,-14.598829,-16.010168,-34.1301
3,,,,,,,,25.64772,-15.332814,-18.887785,-21.419674,-26.241556,-39.72692
4,,,,,,,,13.883666,-8.398949,-9.361212,-11.608438,-12.256709,-28.870079
5,,,,,,,,15.763026,-6.9730325,-7.4775743,-9.4222,-9.695186,-26.594584
6,,,,,,,,20.55196,-11.697264,-20.612007,-21.805616,-22.370464,-34.79837
7,,,,,,,,28.931116,-15.751668,-18.591854,-21.2639,-21.772587,-90.69674
8,,,,,,,,16.928205,-6.6071677,-14.198288,-14.464213,-15.195828,-28.992256
9,,,,,,,,33.132862,-6.7809544,-7.799113,-23.331926,-24.040209,-49.869225
10,,,,,,,,20.855574,-13.169449,-13.223833,-13.464613,-16.748331,-63.575577
11,,,,,,,,26.983667,-4.9767227,-5.0676084,-13.243171,-17.324486,-31.453272
12,,,,,,,,34.812477,-20.83234,-24.87495,-30.209507,-33.95108,-109.492294
13,,,,,,,,20.959116,-8.615826,-11.934557,-16.503073,-17.706738,-31.370754
14,,,,,,,,16.400093,-5.9596486,-13.988017,-15.831462,-16.955143,-26.77118
15,,,,,,,,27.70438,-2.3385015,-2.6582637,-4.678818,-5.705455,-56.307556
16,,,,,,,,16.778263,-8.910438,-9.018272,-10.959265,-11.131914,-26.63714
17,,,,,,,,7.5502677,-7.111893,-7.716632,-12.417824,-13.845092,-17.660122
18,,,,,,,,11.301682,-5.3151393,-6.569215,-9.028286,-9.188722,-18.8976
19,,,,,,,,14.286337,-6.491513,-7.6959763,-8.54137,-12.124319,-30.0649
20,,,,,,,,27.225435,-4.40743,-7.1281514,-17.542374,-17.628363,-42.646595
21,,,,,,,,20.148426,-15.276113,-16.155237,-17.832176,-19.220745,-46.79426
22,,,,,,,,12.998731,-1.9315797,-6.6844363,-7.0528374,-13.770541,-24.637043
23,,,,,,,,29.496479,-18.06184,-18.23758,-27.056976,-29.73384,-45.485947
24,,,,,,,,9.844178,-2.5152621,-3.2715335,-3.3539925,-5.285598,-21.232294
