seed_index,true_label,original_prediction,modified_prediction,is_valid,diff_pixels,l0_distance,l1_distance,l2_distance,linf_distance
48006,0,0,3,True,331,331,60.2509803921569,3.40501925013796,0.196078431372549
6009,4,4,2,True,468,468,88.4901960784314,4.15453690019185,0.196078431372549
30009,0,0,6,True,467,467,88.4549019607843,4.15569720988779,0.196078431372549
24011,7,7,5,True,235,235,38.2980392156863,2.67598717174232,0.196078431372549
36010,0,0,3,True,382,382,70.7450980392157,3.69864840178139,0.196078431372549
11,8,8,2,True,527,527,69.4039215686275,3.36091930083315,0.196078431372549
36024,4,4,2,True,463,463,84.4627450980392,4.0289189145658,0.196078431372549
30028,4,4,3,True,344,344,62.2352941176471,3.46805047352106,0.196078431372549
12030,0,0,6,True,412,412,67.8941176470588,3.54474881153382,0.196078431372549
36029,7,7,3,True,277,277,35.0509803921569,2.39396909818409,0.196078431372549
18031,4,4,5,True,703,703,81.3607843137255,3.63022681285932,0.196078431372549
36,3,3,0,True,355,355,55.4039215686274,3.18123100080888,0.196078431372549
12042,4,4,2,True,432,432,81.0470588235294,3.96235069007745,0.196078431372549
18043,4,4,2,True,476,476,88.8078431372549,4.14490325474036,0.196078431372549
12049,2,2,3,True,479,479,72.9490196078431,3.60415839116064,0.196078431372549
48059,6,6,2,True,310,310,51.0352941176471,3.12775522522826,0.196078431372549
42062,8,8,7,True,421,421,69.2666666666667,3.58714651862698,0.196078431372549
24062,4,4,2,True,463,463,87.7372549019608,4.13544798382385,0.196078431372549
42067,7,7,5,True,314,314,55.4862745098039,3.25894150467184,0.196078431372549
42069,8,8,5,True,346,346,60.356862745098,3.41652361362549,0.196078431372549
48069,0,0,5,True,597,597,84.7960784313726,3.7290406198695,0.196078431372549
6069,1,1,2,True,270,270,42.5058823529412,2.86079708096978,0.196078431372549
42076,4,4,6,True,421,421,76.9764705882353,3.84435154885954,0.196078431372549
75,8,8,5,True,387,387,66.8117647058823,3.59828016503685,0.196078431372549
54080,7,7,5,True,348,348,55.7960784313726,3.18229917923008,0.196078431372549
24080,4,4,2,True,431,431,61.9411764705882,3.3405941681662,0.196078431372549
6082,4,4,2,True,290,290,45.9686274509804,2.97556368420411,0.196078431372549
36087,8,8,2,True,611,611,108.341176470588,4.54693833389305,0.196078431372549
30097,4,4,2,True,346,346,47.1607843137255,2.94812773330335,0.196078431372549
42098,7,7,5,True,268,268,41.6274509803922,2.76862467366411,0.196078431372549
54114,0,0,3,True,484,484,72.2274509803922,3.57913987076963,0.196078431372549
48110,7,7,2,True,297,297,38.7058823529412,2.5018009660678,0.196078431372549
24121,4,4,2,True,468,468,86.4549019607843,4.10235442193293,0.196078431372549
18121,4,4,6,True,517,517,96.7647058823529,4.34184595507232,0.196078431372549
48123,8,8,5,True,308,308,58.7960784313726,3.37524516033267,0.196078431372549
12132,4,4,2,True,199,199,28.7254901960784,2.3246369495747,0.196078431372549
48130,0,0,6,True,462,462,82.7764705882353,4.00305919156783,0.196078431372549
12137,7,7,9,True,224,224,31.0862745098039,2.39212793296554,0.196078431372549
30143,3,3,1,True,280,280,52.7450980392157,3.19733645396386,0.196078431372549
24144,4,4,2,True,349,349,60.5176470588235,3.42043073387384,0.196078431372549
30153,0,0,6,True,429,429,76.1333333333333,3.83067607613951,0.196078431372549
24154,4,4,2,True,188,188,29.2039215686274,2.36302089351231,0.196078431372549
36158,4,4,2,True,262,262,43.7803921568627,2.89817983686003,0.196078431372549
30164,0,0,5,True,485,485,53.9921568627451,2.73147882061746,0.196078431372549
18164,8,8,5,True,428,428,74.2470588235294,3.77505725594452,0.196078431372549
36166,8,8,4,True,227,227,33.4352941176471,2.52079700327467,0.196078431372549
24172,7,7,5,True,234,234,40.9647058823529,2.79631767532415,0.196078431372549
54173,8,8,3,True,350,350,61.7686274509804,3.4489945266564,0.196078431372549
18170,6,6,5,True,472,472,82.8156862745098,3.91406733545777,0.196078431372549
30178,8,8,5,True,345,345,59.6078431372549,3.39115252047844,0.196078431372549
42181,1,1,2,True,519,519,95.3686274509804,4.2937165181076,0.196078431372549
6179,6,6,0,True,247,247,26.8745098039216,2.24456625262823,0.196078431372549
54183,8,8,3,True,422,422,66.2,3.39251499866215,0.196078431372549
187,4,4,2,True,499,499,95.5960784313725,4.31876176595565,0.196078431372549
30186,0,0,6,True,428,428,74.8,3.80342022166171,0.196078431372549
54185,4,4,2,True,464,464,86.9882352941176,4.10710134160568,0.196078431372549
36183,4,4,2,True,427,427,79.556862745098,3.92878355903562,0.196078431372549
30192,4,4,2,True,509,509,95.7333333333333,4.31337609993256,0.196078431372549
12188,1,1,2,True,416,416,76.2156862745098,3.84197861686215,0.196078431372549
54192,4,4,2,True,227,227,36.0196078431373,2.63618974043194,0.196078431372549
6189,8,8,5,True,390,390,66.9921568627451,3.51299230796002,0.196078431372549
199,4,4,6,True,510,510,59.8352941176471,2.97702079701103,0.196078431372549
12197,0,0,3,True,545,545,102.701960784314,4.46548212012625,0.196078431372549
24211,4,4,2,True,454,454,85.2549019607843,4.07294125198703,0.196078431372549
6211,7,7,5,True,233,233,35.2901960784314,2.50982536755543,0.196078431372549
12223,0,0,2,True,510,510,80.8235294117647,3.87628362983556,0.196078431372549
42219,0,0,5,True,473,473,73.9607843137255,3.51683598317641,0.196078431372549
42227,4,4,2,True,462,462,87.3529411764706,4.12624126466699,0.196078431372549
30235,4,4,6,True,526,526,95.835294117647,4.31309442799372,0.196078431372549
6229,4,4,2,True,466,466,87.1882352941177,4.11687948027783,0.196078431372549
12238,8,8,0,True,559,559,102.223529411765,4.44703634534555,0.196078431372549
42236,0,0,5,True,431,431,74.9490196078431,3.75166450307554,0.196078431372549
18232,8,8,5,True,348,348,58.0235294117647,3.33334256054086,0.196078431372549
24238,0,0,3,True,322,322,62.1529411764706,3.48451399117721,0.196078431372549
12251,4,4,2,True,475,475,89.0941176470588,4.16129804076601,0.196078431372549
42252,4,4,6,True,462,462,85.4549019607843,4.06329582155756,0.196078431372549
42255,3,3,5,True,297,297,42.5333333333333,2.68426717615291,0.196078431372549
36251,8,8,9,True,388,388,67.5960784313726,3.56165878525385,0.196078431372549
257,6,6,4,True,110,110,15.6901960784314,1.70617081176186,0.196078431372549
12260,6,6,5,True,469,469,25.6666666666667,1.67505157236678,0.196078431372549
