seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred,first_largest,second_largest,third_largest,fourth_largest,fifth_largest,last_largest,epsilon
18,430,0.5557038610968845,0.027000000000000024,0.0039215686274509665,6,7,2,1.0,9.5720685e-09,4.7901505e-09,2.9158932e-13,1.5794204e-15,2.6104065e-17,0.027
40,464,0.4033760489072049,0.019000000000000017,0.007843137254901933,1,8,2,1.0,8.4506964e-11,5.009974e-12,1.1806693e-13,9.5351813e-14,2.1689726e-23,0.019
72,462,0.38248289596464047,0.018000000000000016,0.0039215686274509665,1,8,2,1.0,3.248774e-08,9.756649e-10,4.9138058e-11,2.4796026e-11,8.3902335e-21,0.018000000000000002
124,470,0.6030367187174358,0.028000000000000025,0.007843137254901933,1,8,2,1.0,9.66995e-09,5.934707e-10,4.9563453e-10,2.2867897e-14,5.9871585e-20,0.028
174,469,0.4905974744823639,0.02300000000000002,0.007843137254901933,1,8,2,1.0,1.9920568e-10,2.645887e-13,3.758088e-14,5.318586e-15,6.989491e-24,0.023
328,493,0.5311963838651856,0.025000000000000022,0.0039215686274509665,5,9,2,1.0,3.4707583e-08,1.2118854e-14,1.8912877e-20,3.780909e-21,0.0,0.025
345,420,0.5410584302212608,0.027000000000000024,0.0039215686274509665,1,7,2,1.0,3.361723e-08,2.7853135e-08,4.5342417e-11,1.1164322e-11,4.5380492e-37,0.027
374,519,0.5285888389924822,0.02400000000000002,0.007843137254901933,9,8,2,1.0,7.114266e-13,2.6954682e-14,8.959776e-15,9.170194e-21,2.3164923e-29,0.024
408,470,0.4939710601892568,0.02300000000000002,0.0039215686274509665,1,8,2,1.0,1.06415154e-11,1.2937526e-12,1.1823866e-13,5.82944e-14,3.0766342e-23,0.023
441,474,0.6000855661145146,0.028000000000000025,0.007843137254901933,9,8,2,1.0,3.388084e-11,3.2753862e-11,3.0721831e-12,7.98572e-13,6.667356e-32,0.028
471,503,0.6151763543436007,0.028000000000000025,0.0039215686274509665,9,8,2,1.0,5.3688238e-11,9.348071e-12,1.0348816e-14,1.8805802e-15,5.9525783e-31,0.028
559,513,0.5481507918971199,0.025000000000000022,0.0039215686274509665,8,2,2,1.0,5.2356555e-09,1.1941244e-09,6.2373823e-19,7.772521e-22,0.0,0.025
574,448,0.4391237106078345,0.02100000000000002,0.0039215686274509665,3,2,2,1.0,2.5604838e-09,5.8612344e-11,1.3645615e-11,9.267462e-14,8.200604e-34,0.021
708,486,0.5843334596614927,0.027000000000000024,0.0039215686274509665,8,2,2,1.0,5.1679654e-11,1.4957105e-11,1.1647961e-11,1.332289e-17,5.717348e-27,0.027
727,500,0.6352077147126365,0.029000000000000026,0.0039215686274509665,9,8,2,1.0,9.654308e-12,6.4823733e-16,3.1049406e-17,1.4172502e-19,1.5087313e-32,0.029
729,512,0.6392071694368259,0.029000000000000026,0.0039215686274509665,4,8,2,1.0,3.8044602e-11,3.1597746e-16,2.6426371e-18,1.0604631e-20,1.7196278e-35,0.029
803,500,0.5476444612871293,0.025000000000000022,0.0039215686274509665,7,2,2,1.0,3.7565363e-12,3.7970454e-14,9.003528e-15,5.970951e-17,9.434108e-37,0.025
838,480,0.34733963603435297,0.016000000000000014,0.007843137254901933,1,8,2,1.0,3.519066e-08,5.926642e-10,1.0303296e-11,9.538201e-14,5.171496e-22,0.016
863,453,0.49847036455990346,0.02400000000000002,0.0039215686274509665,2,4,2,1.0,3.362781e-08,5.273982e-09,2.3471864e-09,5.874259e-12,1.5592774e-28,0.024
931,436,0.5861248431822896,0.029000000000000026,0.0039215686274509665,2,4,2,1.0,4.49248e-08,3.7670844e-08,2.964706e-09,2.0239198e-15,3.0963024e-27,0.029
961,437,0.6001873179341569,0.029000000000000026,0.0039215686274509665,1,2,2,1.0,4.400242e-10,1.3632529e-11,1.1501958e-12,6.7888508e-18,3.1431358e-24,0.029
1047,444,0.5300355874394909,0.026000000000000023,0.0039215686274509665,2,7,2,1.0,3.3577352e-09,4.0262765e-10,2.6611234e-15,1.6870085e-15,0.0,0.026000000000000002
1060,463,0.5726113960112774,0.027000000000000024,0.0039215686274509665,1,8,2,1.0,3.717742e-14,8.514295e-15,2.8953391e-16,9.250777e-17,1.5011629e-27,0.027
1061,501,0.44085513351948236,0.020000000000000018,0.0039215686274509665,9,8,2,1.0,1.9895944e-08,5.41919e-09,2.7294508e-12,1.0795615e-12,1.4679542e-29,0.02
1070,464,0.5053726205310972,0.02400000000000002,0.007843137254901933,6,2,2,1.0,6.0162934e-12,1.2148258e-12,3.3642924e-17,1.7130831e-17,6.8482833e-26,0.024
1088,439,0.5866651515131951,0.028000000000000025,0.027999999999999997,7,2,2,0.95777565,0.032919064,0.009272568,3.2286305e-05,3.6651562e-07,1.6605408e-23,0.028
1100,488,0.4134674350864532,0.019000000000000017,0.007843137254901933,6,1,2,1.0,3.9077825e-08,1.2970241e-08,4.4959128e-10,3.696495e-10,6.907955e-24,0.019
1117,473,0.6018512667827084,0.028000000000000025,0.0039215686274509665,6,2,2,1.0,4.2411336e-10,7.0166255e-11,9.104835e-14,1.507713e-17,8.276714e-36,0.028
1169,483,0.580591914153538,0.027000000000000024,0.0039215686274509665,9,8,2,1.0,6.9534183e-12,5.988987e-12,7.3883796e-15,1.3478335e-18,1.1404152e-32,0.027
1174,487,0.47773395165712923,0.02200000000000002,0.007843137254901933,1,8,2,1.0,4.740027e-09,3.6100222e-12,5.24483e-13,1.3487878e-14,3.8272414e-22,0.022
1177,517,0.4675984156885898,0.02100000000000002,0.0039215686274509665,9,8,2,1.0,2.1659452e-09,3.821134e-12,2.705973e-13,1.654386e-14,4.197571e-29,0.021
1244,508,0.11265158099423112,0.0050000000000000044,0.0039215686274509665,3,8,2,0.6036495,0.35536948,0.040611897,0.00036918724,3.470381e-10,8.979735e-26,0.005
1394,460,0.40337703920213247,0.019000000000000017,0.007843137254901933,1,8,2,1.0,1.3105889e-09,2.3758757e-11,9.190635e-12,6.1285334e-12,1.4823742e-25,0.019
1396,488,0.6094525385708661,0.028000000000000025,0.0039215686274509665,9,8,2,1.0,1.655195e-09,2.5624062e-11,1.2935577e-12,7.332261e-13,5.106369e-24,0.028
1450,373,0.5214566137273552,0.027000000000000024,0.026999999999999996,1,7,2,1.0,1.591916e-09,9.0663477e-10,8.5045415e-11,1.9071181e-12,3.2499826e-23,0.027
1458,384,0.5182554887639753,0.027000000000000024,0.0039215686274509665,1,7,2,1.0,1.8778664e-08,3.6832287e-10,3.151693e-11,2.5262955e-15,1.1977342e-22,0.027
1506,467,0.5737570927326099,0.027000000000000024,0.0039215686274509665,6,2,2,1.0,1.22395e-08,8.5050605e-11,2.3999924e-11,6.201812e-13,3.438106e-22,0.027
1528,475,0.517627165393144,0.02400000000000002,0.0117647058823529,1,8,2,1.0,8.909998e-11,2.5873904e-14,4.7154943e-15,2.0643489e-16,6.599029e-27,0.024
1750,410,0.5669567884768645,0.028000000000000025,0.027999999999999997,6,2,2,1.0,3.887214e-15,1.9955846e-15,5.486199e-16,2.0619788e-17,4.897619e-22,0.028
1839,401,0.5044085889493961,0.026000000000000023,0.007843137254901933,1,7,2,1.0,1.1021035e-09,2.062827e-11,2.1587244e-12,6.6742277e-13,1.6764495e-22,0.026000000000000002
1867,424,0.5381339227371393,0.027000000000000024,0.0039215686274509665,5,7,2,1.0,2.6316374e-10,7.650351e-12,1.0655478e-13,1.2742997e-16,2.8785007e-31,0.027
1890,467,0.5310163139151031,0.025000000000000022,0.0039215686274509665,6,2,2,1.0,3.8265824e-08,1.7238663e-10,7.653956e-12,1.6125876e-12,6.8464165e-22,0.025
1910,474,0.5382982391137718,0.025000000000000022,0.0039215686274509665,1,8,2,1.0,1.0375607e-12,9.706236e-14,9.633875e-15,7.769317e-15,1.0434029e-24,0.025
1945,469,0.6192783356900022,0.029000000000000026,0.007843137254901933,1,8,2,1.0,1.9457892e-13,3.1278657e-14,2.6271333e-14,9.1817025e-15,5.3483975e-28,0.029
1984,512,0.6303783641341714,0.029000000000000026,0.0039215686274509665,9,8,2,1.0,1.3069187e-10,7.6386175e-11,7.834693e-18,5.148601e-23,4.973664e-37,0.029
1998,424,0.5589706307937524,0.028000000000000025,0.0039215686274509665,2,7,2,1.0,1.9335804e-09,1.7478743e-09,7.028861e-13,2.0175767e-14,6.810579e-28,0.028
2008,464,0.4855340682289924,0.02300000000000002,0.0039215686274509665,1,8,2,1.0,1.6136361e-09,1.602954e-10,4.3319276e-12,4.605975e-13,2.0594785e-25,0.023
2039,494,0.36797687794066897,0.017000000000000015,0.0039215686274509665,1,8,2,1.0,1.3294216e-08,7.08988e-10,5.546811e-10,8.495815e-12,7.760828e-27,0.017
2040,480,0.5547001808702061,0.026000000000000023,0.0117647058823529,1,3,2,1.0,1.7135966e-09,1.4760022e-12,3.122538e-13,1.5991838e-16,0.0,0.026000000000000002
2227,472,0.3864935757829512,0.018000000000000016,0.0039215686274509665,1,8,2,1.0,2.5348221e-09,2.2550369e-10,4.5307162e-14,5.343574e-17,1.1519777e-21,0.018000000000000002
2250,455,0.5863903774282833,0.028000000000000025,0.0039215686274509665,5,1,2,1.0,1.5415634e-10,1.5221767e-11,2.8220007e-13,1.9767256e-16,1.278544e-26,0.028
2254,496,0.5057082269866529,0.02300000000000002,0.0039215686274509665,4,8,2,1.0,9.791389e-12,4.2038244e-12,1.4856702e-12,3.8886617e-18,1.3326764e-23,0.023
2316,480,0.49689810024791653,0.02300000000000002,0.007843137254901933,1,8,2,1.0,1.171501e-10,1.854312e-11,1.4999036e-12,1.4445412e-12,1.2692501e-30,0.023
2437,411,0.45563341716996997,0.02300000000000002,0.0039215686274509665,1,7,2,1.0,4.1141814e-08,4.3144344e-10,1.7545026e-11,4.8470563e-14,5.473094e-23,0.023
2542,503,0.36782107515677875,0.017000000000000015,0.0039215686274509665,4,8,2,1.0,3.7217178e-09,3.8640254e-11,6.256772e-14,4.3063223e-20,3.396093e-30,0.017
2543,488,0.6046282394649439,0.028000000000000025,0.0039215686274509665,7,2,2,1.0,2.7898526e-09,1.0998685e-10,2.0796543e-13,9.1330636e-14,2.881617e-26,0.028
2564,458,0.5753524931287611,0.027000000000000024,0.0039215686274509665,3,7,2,1.0,4.38198e-08,1.142857e-08,2.65206e-10,3.990091e-11,1.6815254e-33,0.027
2616,412,0.5424267519564144,0.027000000000000024,0.007843137254901933,1,3,2,1.0,5.9944333e-10,5.149126e-10,2.6598803e-11,2.1775954e-11,1.9608099e-25,0.027
2688,454,0.462216316356852,0.02200000000000002,0.0039215686274509665,1,8,3,1.0,3.5429885e-08,1.4955922e-09,4.8216076e-10,6.77915e-13,4.1182126e-25,0.022
2697,523,0.643775486164182,0.029000000000000026,0.0039215686274509665,9,8,2,1.0,5.4234413e-16,2.7512237e-17,2.186981e-19,8.8319896e-20,1.1666556e-36,0.029
2719,402,0.545792882007434,0.028000000000000025,0.0039215686274509665,1,7,2,1.0,5.222042e-09,1.9273264e-11,5.201923e-12,4.640223e-13,1.9662235e-27,0.028
2762,457,0.44280964855339383,0.02100000000000002,0.007843137254901933,1,8,2,1.0,4.465782e-12,6.6702443e-13,5.675509e-15,8.966575e-16,2.8845837e-28,0.021
2776,405,0.5354781584075002,0.027000000000000024,0.0039215686274509665,1,7,2,1.0,4.0516987e-10,2.0681544e-10,4.283258e-11,1.9546504e-12,2.878478e-24,0.027
2791,397,0.5300045831230972,0.027000000000000024,0.0039215686274509665,1,7,2,1.0,3.749107e-08,4.7770667e-09,1.0677054e-11,3.473014e-13,8.295043e-22,0.027
2795,528,0.6441419003402382,0.029000000000000026,0.007843137254901933,9,8,2,1.0,2.1685782e-13,1.8432369e-14,1.4578623e-17,1.038094e-18,0.0,0.029
2853,406,0.562553103819946,0.029000000000000026,0.00392156862745098,1,7,2,1.0,2.9149244e-10,1.1323535e-11,3.980048e-12,6.347691e-15,1.6170418e-30,0.029
2889,476,0.6154781614049963,0.029000000000000026,0.007843137254901933,1,8,2,1.0,6.5010934e-09,1.4354413e-09,2.143793e-12,3.271554e-14,2.0463514e-27,0.029
2906,466,0.5565348413208273,0.026000000000000023,0.0039215686274509665,1,8,2,1.0,5.6198296e-11,5.565258e-11,5.431361e-12,1.2240357e-13,9.782369e-24,0.026000000000000002
2947,475,0.5702563373369665,0.027000000000000024,0.0039215686274509665,6,2,2,1.0,3.8659214e-14,2.4568743e-18,1.050471e-18,3.306412e-19,6.166229e-31,0.027
2954,460,0.5953271788075778,0.028000000000000025,0.0039215686274509665,6,1,3,1.0,2.127937e-09,2.3450783e-13,1.4521178e-13,9.203329e-17,4.043408e-21,0.028
2965,457,0.6162405058213835,0.029000000000000026,0.0039215686274509665,5,9,2,1.0,2.2855033e-14,1.5656713e-15,1.7901471e-16,4.5605076e-21,0.0,0.029
