seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred,first_largest,second_largest,third_largest,fourth_largest,fifth_largest,last_largest
0,,,,,,,,32.24327,21.12239,2.7470503,-16.401844,-18.995335,-102.489624
1,,,,,,,,44.32549,25.092367,6.656722,-3.139487,-7.2497244,-52.495197
2,,,,,,,,25.532274,4.8534327,-0.8133626,-3.1005077,-9.094185,-23.590567
3,,,,,,,,31.641775,3.7451768,-2.9081535,-2.9173112,-9.486393,-35.467834
4,,,,,,,,22.867508,6.2340016,-3.4788318,-8.280556,-9.756952,-39.121
5,,,,,,,,38.01525,9.152029,-2.0017726,-2.3367853,-5.256873,-39.538834
6,,,,,,,,29.89382,-1.4821881,-10.228631,-11.854544,-14.116675,-56.761314
7,,,,,,,,54.005997,0.0004787445,-17.172499,-20.504751,-24.777431,-152.67207
8,,,,,,,,15.518213,-4.862796,-6.054159,-7.607906,-10.079699,-33.94792
9,,,,,,,,41.32844,3.3862062,1.5549209,-3.2172015,-3.221776,-35.831036
10,,,,,,,,33.852287,3.4612544,-2.008736,-7.476068,-34.431137,-82.94248
11,,,,,,,,37.05429,17.001812,-4.51437,-8.5047245,-10.610874,-35.346455
12,,,,,,,,63.59265,-1.9661497,-14.21723,-16.89987,-30.900427,-135.53989
13,,,,,,,,46.16288,7.1716857,0.18831629,-5.4829555,-10.939073,-35.203796
14,,,,,,,,15.339453,-3.1340945,-6.1557727,-9.108762,-10.029521,-41.234184
15,144,3.987998142061277,0.3921568627450981,0.007843137254901933,7,9,2,27.268469,7.4293146,-7.271206,-13.089831,-16.284044,-34.529564
16,,,,,,,,26.017067,11.517773,6.800763,4.066398,-2.5971732,-38.891987
17,,,,,,,,27.071589,2.8016276,-6.0537267,-9.118784,-17.50698,-45.520405
18,,,,,,,,22.247978,3.7835593,3.0912702,-6.6154556,-11.833745,-15.93647
19,,,,,,,,20.469158,2.9977803,2.8662937,-6.5756545,-7.6951237,-56.852596
20,,,,,,,,32.441257,7.1083965,-5.856568,-12.891963,-14.100482,-28.620771
21,,,,,,,,40.51931,13.496271,3.0566921,1.4865502,-5.667112,-63.388226
22,,,,,,,,24.132376,10.540667,2.8452668,-9.941338,-12.797911,-24.98286
23,,,,,,,,26.442709,3.788383,0.44204086,-2.5694923,-7.5823264,-37.86032
24,139,4.026387396076457,0.3921568627450981,0.00784313725490196,1,2,2,16.285673,9.813221,9.385979,7.365722,4.0423274,-30.427258
25,,,,,,,,53.99612,36.021595,-1.6869622,-15.82683,-36.589767,-120.01024
26,,,,,,,,26.036732,0.72226584,0.63199306,-1.4692311,-2.353575,-28.511885
27,,,,,,,,62.585934,5.576709,-11.096192,-24.941116,-29.387005,-173.49553
28,,,,,,,,43.975906,1.6637025,0.639171,-5.743779,-7.7246265,-75.03045
29,100,3.167520676440579,0.3921568627450981,0.0039215686274509665,7,8,3,21.095106,-0.2017451,-3.0734186,-3.1054811,-6.6293874,-29.522408
30,,,,,,,,32.330482,1.0938483,0.18754137,-4.4090075,-11.634101,-104.63919
31,,,,,,,,36.935173,9.935419,-2.4408708,-15.324412,-30.059317,-82.2023
32,,,,,,,,30.013401,6.2875,-8.12413,-8.568368,-8.893661,-31.550262
33,,,,,,,,24.04196,9.8403225,8.842234,1.6792717,-10.209493,-49.309948
34,,,,,,,,32.580242,9.369198,9.335666,7.656343,-10.76743,-39.922558
