seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred,first_largest,second_largest,third_largest,fourth_largest,fifth_largest,last_largest
0,,,,,,,,32.647335,8.089515,-19.568674,-28.499739,-42.137585,-89.06911
1,,,,,,,,37.677177,2.3419096,-10.220346,-18.169815,-18.191362,-27.392925
2,,,,,,,,18.467817,4.997589,-2.522788,-6.137725,-8.298358,-20.337978
3,,,,,,,,25.315647,10.675369,4.551009,-0.47740498,-3.6590889,-32.014675
4,,,,,,,,30.303024,12.986231,1.535029,-3.2557368,-8.440018,-42.224625
5,,,,,,,,37.267387,-6.02462,-7.7143264,-10.53438,-11.020937,-46.87483
6,,,,,,,,26.077738,0.23317961,-4.0381413,-14.54497,-14.680348,-39.43542
7,,,,,,,,43.954685,-6.477082,-8.642173,-9.211943,-27.201952,-64.8684
8,,,,,,,,12.576268,-3.989441,-5.9403687,-7.968957,-8.25871,-27.61457
9,,,,,,,,46.439137,7.541333,-5.444707,-12.334222,-12.597669,-50.369545
10,,,,,,,,38.41142,2.6859636,-2.1357954,-10.816466,-20.464926,-73.11336
11,,,,,,,,17.864315,4.26727,-3.2394166,-5.860977,-6.766355,-26.777653
12,,,,,,,,59.227707,-8.592238,-11.010422,-22.034836,-23.467266,-83.08542
13,,,,,,,,48.569965,-1.6934608,-3.4922082,-14.466202,-19.098629,-53.38759
14,,,,,,,,12.976858,0.5717269,-4.731416,-6.3553905,-9.270345,-33.662037
15,,,,,,,,40.325615,14.47717,4.9783998,-11.862501,-11.968026,-44.438137
16,,,,,,,,43.569653,10.726344,-14.039559,-17.90508,-18.91905,-45.96038
17,,,,,,,,22.865051,-4.0416565,-6.6540694,-11.134236,-12.812834,-19.007826
18,,,,,,,,24.459984,6.5970964,3.1188638,-0.3305934,-14.256512,-34.86123
19,,,,,,,,16.99618,-0.8427632,-1.7791151,-2.1476188,-2.3321223,-31.204327
20,,,,,,,,50.283127,8.799554,8.456686,-0.77007806,-5.4528174,-46.885784
21,,,,,,,,21.616875,-2.1130822,-2.7862637,-7.7849693,-9.879811,-28.435558
22,,,,,,,,19.93474,11.311619,9.52169,-4.0193496,-8.548723,-24.96816
23,,,,,,,,26.886147,12.214561,3.392811,0.80885464,-4.7725973,-29.276436
24,,,,,,,,13.495439,11.247216,3.771781,1.7029649,-0.26617563,-45.78189
25,,,,,,,,35.357338,6.4740047,6.026594,-1.75915,-26.367233,-52.217453
26,,,,,,,,33.796707,10.346474,3.4147525,-3.028026,-6.109073,-23.403925
27,,,,,,,,63.139065,5.0368714,-11.798537,-12.108377,-29.848974,-98.05981
28,,,,,,,,48.451626,16.158278,-8.640506,-13.01532,-18.776234,-94.01812
29,,,,,,,,20.604918,7.3863173,3.5818577,0.5826932,-1.8892677,-29.489721
30,,,,,,,,17.310617,1.8608265,-6.148081,-17.77844,-23.196716,-40.256977
31,,,,,,,,28.62575,-0.05511284,-5.887727,-7.21241,-16.012438,-32.246933
32,,,,,,,,33.27315,12.933678,-9.808355,-14.220407,-16.129896,-33.946854
33,,,,,,,,14.569849,3.6180553,-0.51431906,-1.1643353,-5.9809713,-27.72379
34,,,,,,,,35.464333,4.2105756,-7.1180363,-7.3359137,-14.079939,-38.598946
35,,,,,,,,27.4792,-3.5066612,-4.038549,-6.9857206,-15.858356,-34.093834
36,,,,,,,,42.31797,-9.948208,-10.691278,-18.768208,-20.85033,-73.28787
37,,,,,,,,38.23759,16.6741,-5.5119147,-7.956364,-15.455208,-50.3951
38,,,,,,,,34.56203,31.281223,15.355282,-24.176155,-25.18047,-56.963627
39,,,,,,,,21.213865,-4.195205,-5.3859468,-12.118097,-12.643967,-37.660458
40,,,,,,,,20.639034,-1.1066432,-1.459816,-4.2083693,-8.24834,-29.770882
41,,,,,,,,27.693275,-0.80248976,-7.548567,-7.58452,-12.277031,-33.4046
42,83,3.1105456178544557,0.3921568627450981,0.00392156862745098,7,9,2,22.154085,12.326218,5.0185766,1.4687457,0.90002704,-41.918427
43,,,,,,,,29.722786,7.6029477,1.5883132,-4.348112,-7.000516,-36.256104
44,,,,,,,,22.809277,1.2651755,-5.864665,-6.1651325,-11.323588,-44.403206
45,,,,,,,,37.940838,6.9083934,5.041374,1.9606872,-6.9887724,-53.41395
46,,,,,,,,33.34564,0.9382496,-2.8465726,-3.480156,-9.541374,-33.669712
47,,,,,,,,48.20417,-13.938246,-14.189113,-18.176535,-22.607347,-48.14274
48,112,3.7220004295045204,0.3921568627450981,0.00784313725490196,9,5,3,7.50485,7.228791,3.7891932,2.516664,-4.9255505,-40.418346
49,,,,,,,,27.86915,23.21525,-4.8172836,-16.477518,-27.233574,-75.31923
50,,,,,,,,28.998735,10.365475,-8.230506,-8.303176,-14.34082,-54.784077
51,,,,,,,,41.536705,-6.7692285,-7.2206383,-17.551311,-22.511892,-45.4142
52,,,,,,,,45.650818,13.178597,-2.2887802,-2.9079542,-7.7722125,-55.168427
53,,,,,,,,18.294964,7.91189,5.9728575,-4.5823507,-7.6258645,-27.015047
54,,,,,,,,19.12944,13.239929,11.692689,-4.36062,-4.652749,-49.398193
55,,,,,,,,16.381437,10.054424,2.2176943,-5.0381145,-5.11203,-48.542446
56,,,,,,,,35.00213,6.001592,-0.3666941,-14.137928,-19.565079,-60.147594
57,,,,,,,,32.07932,5.2559304,4.2111874,1.4893045,-6.5530767,-33.902973
58,,,,,,,,56.999798,17.705898,-9.0708475,-9.907472,-14.93539,-50.087467
59,,,,,,,,31.045355,4.9717646,0.10052019,-6.029784,-7.8468843,-35.15014
60,,,,,,,,22.370136,14.914264,4.672958,-0.20024978,-4.150717,-55.188732
61,,,,,,,,37.090603,7.4337373,3.8530817,-3.9609432,-7.192937,-23.724842
62,,,,,,,,39.36442,4.2526646,-4.569055,-13.889447,-19.810923,-49.14437
63,,,,,,,,36.151985,-9.720428,-9.820473,-12.322127,-20.687235,-36.001083
64,,,,,,,,21.014977,5.0706925,2.493805,-8.349137,-8.675941,-54.992725
65,,,,,,,,25.461086,-1.5429308,-2.8939993,-15.103394,-15.849832,-39.86442
66,,,,,,,,42.92749,-7.881658,-9.508511,-12.042463,-12.688446,-60.350216
67,,,,,,,,14.353625,9.706116,-1.2535058,-2.666095,-10.968175,-17.626867
68,,,,,,,,14.347603,5.401558,-5.424827,-6.012349,-9.759069,-38.94714
69,,,,,,,,34.245483,-5.455771,-7.2501507,-8.546473,-12.610401,-39.731598
70,,,,,,,,16.783878,-1.64457,-2.5157158,-3.8688464,-15.27781,-60.209637
71,,,,,,,,24.429705,2.0945516,0.69565105,-5.254429,-7.4171767,-45.45721
72,,,,,,,,16.382294,1.2615969,-5.301626,-9.856846,-11.186081,-25.083935
73,,,,,,,,33.618565,-7.698802,-7.8206644,-12.938467,-12.976727,-54.245037
74,,,,,,,,23.989075,1.077131,-7.988246,-9.122524,-20.349556,-72.40919
75,,,,,,,,32.239773,1.6917723,-4.2982802,-8.688318,-13.082548,-27.954294
76,,,,,,,,38.549892,2.2914221,0.96862376,0.30234566,-2.84893,-65.521065
77,,,,,,,,22.830269,3.766646,-1.7823057,-4.874129,-5.1310706,-25.367643
78,,,,,,,,22.323586,2.299904,-1.2649772,-1.4629236,-7.0912704,-32.45189
79,,,,,,,,30.698925,1.9099866,-0.45857298,-6.878341,-6.9576273,-40.36173
80,,,,,,,,-1.104954,-3.9400864,-5.3109846,-9.389161,-11.455487,-35.131706
81,,,,,,,,31.990984,5.274604,-4.0248876,-6.5309677,-15.666882,-37.41058
82,,,,,,,,46.7518,-0.0889546,-7.7735777,-13.650549,-22.477942,-79.47132
83,,,,,,,,26.791323,-0.67701125,-7.156862,-7.6856647,-11.425799,-51.997562
84,,,,,,,,48.77092,10.093224,7.3946385,-5.51121,-11.600477,-45.31705
85,,,,,,,,14.847196,0.67331827,-2.1900403,-3.366318,-5.499119,-23.14894
86,,,,,,,,9.675147,3.040452,1.3736603,-6.475137,-12.130421,-38.216026
87,,,,,,,,39.101295,9.119417,6.998999,5.6368856,1.2996825,-36.92885
88,,,,,,,,44.798485,-3.983572,-11.571484,-13.737752,-16.936876,-50.515938
89,,,,,,,,44.998344,14.946344,6.808479,0.562796,-1.5193164,-61.19256
90,,,,,,,,48.51535,-0.09625286,-8.157432,-8.858054,-21.212385,-54.421017
91,,,,,,,,36.153427,7.1336927,5.950016,-9.219913,-12.099712,-34.33159
92,,,,,,,,34.14052,9.317503,4.12886,0.2691462,-4.0545917,-33.30964
93,,,,,,,,28.34069,-4.1204586,-4.5023465,-15.685459,-16.981054,-58.270405
94,,,,,,,,26.037415,-3.9442112,-7.622264,-9.134478,-14.6916,-39.38425
95,,,,,,,,46.130573,13.660316,-11.660387,-24.603035,-24.90023,-45.61181
96,,,,,,,,31.5623,10.645947,5.957371,3.3400714,-0.6651931,-44.292854
97,,,,,,,,33.84545,-9.3572235,-9.366063,-11.082194,-13.8044815,-28.929123
98,,,,,,,,37.31098,8.641784,5.161959,-1.1145158,-25.075752,-61.975616
99,,,,,,,,20.812584,6.811924,6.602412,-4.3733406,-4.5551653,-23.91353
100,,,,,,,,20.133188,2.9885485,-9.487125,-9.764013,-10.942002,-25.779003
101,,,,,,,,27.478415,3.1415083,1.9643459,-5.891875,-10.109418,-23.01611
102,,,,,,,,17.599422,-0.30321756,-2.9962168,-8.480672,-9.9482975,-36.751183
103,,,,,,,,39.8426,8.722557,1.9871893,-2.0674324,-11.729971,-51.518173
104,,,,,,,,14.575134,-4.251817,-7.04538,-7.347183,-12.487773,-23.7657
105,,,,,,,,21.164215,6.223684,-6.48552,-8.287016,-10.5567045,-37.738144
106,,,,,,,,33.282066,5.8134117,-2.4693925,-21.033825,-23.262062,-52.872646
107,,,,,,,,45.625557,-2.8715093,-9.117425,-21.402052,-21.945803,-71.08669
108,,,,,,,,19.854197,-2.747174,-9.782535,-10.461873,-11.848649,-51.979218
109,,,,,,,,43.80792,4.770135,-5.2171617,-8.525759,-11.841468,-93.15257
110,,,,,,,,45.778606,7.8992767,2.408431,-0.49803817,-13.965547,-42.936417
111,,,,,,,,52.887627,2.9392,2.3499963,-20.610392,-20.8774,-91.27583
112,,,,,,,,20.474655,4.69476,-5.114612,-9.513411,-12.23674,-23.411283
113,,,,,,,,28.389095,11.136175,-1.1856602,-3.946074,-5.7318606,-31.915438
114,,,,,,,,42.92825,2.107678,0.42295265,-9.225967,-20.7866,-53.84526
115,,,,,,,,33.939373,11.7577715,-0.42322886,-3.270233,-6.598731,-36.281948
116,,,,,,,,39.39257,15.116411,0.9746399,-0.662083,-6.636173,-41.897808
117,,,,,,,,35.264942,12.600311,0.33094084,-6.2225413,-14.232838,-61.75501
118,,,,,,,,20.8192,4.5711074,1.5470581,-2.972787,-8.288195,-40.38882
119,,,,,,,,41.561016,-5.771537,-10.669189,-14.768304,-15.690016,-34.06716
120,,,,,,,,17.248907,9.449521,1.2875452,-13.317154,-13.843032,-74.968254
121,,,,,,,,54.71008,1.3378215,-5.6956673,-17.640636,-25.957977,-66.96171
122,,,,,,,,38.17466,14.731364,2.8115735,2.7700653,-17.54067,-57.060318
123,,,,,,,,50.519894,19.572098,2.2083185,-3.8125522,-15.642395,-61.996433
124,,,,,,,,12.969999,0.8010556,-4.142332,-4.7478085,-6.4821553,-26.406694
125,,,,,,,,17.958061,8.69927,7.4609766,-20.325197,-22.541191,-32.76925
126,,,,,,,,30.936134,9.453815,0.6241572,-12.688588,-15.273949,-59.080536
127,,,,,,,,34.611588,13.486022,6.262808,-4.344557,-6.5840764,-63.73651
128,,,,,,,,26.79876,-4.465034,-5.3424172,-6.9792833,-10.84929,-41.09629
129,,,,,,,,45.938717,-3.4632874,-4.2189045,-7.01555,-27.500605,-58.47343
130,,,,,,,,31.15507,1.6198812,-12.168416,-14.253605,-25.11337,-67.189125
131,,,,,,,,30.12887,-1.7663033,-4.5895467,-5.999525,-9.4137535,-36.746025
132,,,,,,,,7.0413017,4.603189,1.3221717,-8.445014,-12.809073,-53.609325
133,,,,,,,,26.941904,0.5789071,-1.1596141,-1.3333913,-3.8097305,-42.38096
134,,,,,,,,14.521001,7.360816,1.3766056,-2.6127238,-16.424698,-51.604664
135,,,,,,,,52.779408,4.1842813,2.725899,-9.400487,-20.305847,-88.3003
136,,,,,,,,27.437368,3.7974694,-14.227376,-19.108818,-19.915451,-55.736034
137,,,,,,,,17.735119,0.11379133,-0.28596973,-4.9929695,-13.359255,-32.06414
138,,,,,,,,21.391129,5.0656357,1.0377518,-16.091194,-16.6218,-44.361794
