seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred,delta_first_prod_vs_second_prob,delta_first_prod_vs_third_prob,delta_first_prod_vs_fourth_prob
0,,,,,,,,14.797939,58.15685,65.02852
1,,,,,,,,44.77547,58.363327,60.735268
2,,,,,,,,25.908129,27.506977,30.11295
3,,,,,,,,26.663458,30.911833,36.617344
4,,,,,,,,11.391797,36.58915,42.32208
5,,,,,,,,29.56533,35.13611,35.80805
6,,,,,,,,33.359566,37.90195,40.083164
7,,,,,,,,46.302246,60.333282,61.046818
8,,,,,,,,17.49635,18.90222,20.264969
9,,,,,,,,39.69578,46.2731,46.29772
10,,,,,,,,36.01826,44.793797,50.314857
11,,,,,,,,23.947866,27.583597,41.79733
12,,,,,,,,59.690575,92.38046,92.51136
13,,,,,,,,42.382603,48.015972,49.662945
14,,,,,,,,19.39767,26.317993,33.410606
15,,,,,,,,41.84671,48.557823,60.544033
16,,,,,,,,27.070045,39.769516,41.474022
17,,,,,,,,31.865177,32.91322,34.738174
18,,,,,,,,8.427009,14.360307,18.022938
19,,,,,,,,21.835382,22.122385,23.997505
20,,,,,,,,54.65957,56.226944,58.617527
21,,,,,,,,35.909378,47.502747,54.70496
22,,,,,,,,7.5088434,17.76801,28.65706
23,,,,,,,,27.467232,34.778496,37.56995
24,,,,,,,,6.513625,7.4337425,15.322408
25,,,,,,,,10.506508,13.118481,56.885284
26,,,,,,,,22.411171,25.814453,31.23323
27,,,,,,,,47.14769,73.68955,86.80295
28,,,,,,,,47.415867,48.126476,53.9553
29,,,,,,,,10.412352,14.5909815,15.490389
30,,,,,,,,20.032673,28.406712,32.235023
31,,,,,,,,20.257967,34.02375,36.230854
32,,,,,,,,33.41548,40.025276,44.6615
33,,,,,,,,10.888902,11.412519,15.265257
34,,,,,,,,32.453503,37.808613,42.507782
35,,,,,,,,29.660915,38.373596,38.761623
36,,,,,,,,22.29722,24.634666,30.720238
37,,,,,,,,42.926342,49.485664,50.204395
38,,,,,,,,23.911575,24.303051,36.906086
39,,,,,,,,17.044102,23.09594,24.815441
40,,,,,,,,20.195335,31.276703,31.725977
41,,,,,,,,31.3243,33.87884,34.11066
42,,,,,,,,15.422979,17.82522,28.448624
43,,,,,,,,27.773434,37.408844,42.227787
44,,,,,,,,25.39261,36.582523,36.69409
45,,,,,,,,22.960922,37.674107,47.60977
46,,,,,,,,24.197224,25.187107,26.311844
47,,,,,,,,65.44766,76.62926,82.367096
