seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred,first_largest,second_largest,third_largest,fourth_largest,fifth_largest,last_largest
0,,,,,,,,21.38323,4.6484895,-9.945502,-11.325567,-13.431067,-34.347233
1,,,,,,,,22.914503,-18.727493,-20.578484,-25.038698,-25.468655,-54.01013
2,,,,,,,,22.835335,-3.3601437,-4.7871046,-14.598826,-16.010166,-34.130096
3,,,,,,,,25.647726,-15.332818,-18.887789,-21.419676,-26.241558,-39.726933
4,,,,,,,,13.883666,-8.398949,-9.361212,-11.608438,-12.256709,-28.870079
5,,,,,,,,15.763028,-6.9730325,-7.4775743,-9.422199,-9.695187,-26.594585
6,,,,,,,,20.55196,-11.697264,-20.61201,-21.805616,-22.370464,-34.79837
7,,,,,,,,28.931118,-15.751666,-18.591854,-21.263895,-21.772587,-90.69675
8,,,,,,,,16.928207,-6.6071672,-14.198287,-14.464215,-15.195828,-28.992254
9,,,,,,,,33.13286,-6.7809567,-7.7991133,-23.331926,-24.040215,-49.869225
10,,,,,,,,20.855572,-13.169448,-13.223832,-13.464614,-16.74833,-63.57557
11,,,,,,,,26.983675,-4.9767256,-5.0676117,-13.243171,-17.324492,-31.453278
12,,,,,,,,34.812473,-20.83234,-24.874949,-30.209505,-33.951077,-109.49228
13,,,,,,,,20.959114,-8.615818,-11.934556,-16.503077,-17.706734,-31.370749
14,,,,,,,,16.400093,-5.9596467,-13.988017,-15.831462,-16.955143,-26.771181
15,,,,,,,,27.704382,-2.3385012,-2.6582637,-4.6788187,-5.7054577,-56.307556
16,,,,,,,,16.778261,-8.910437,-9.018271,-10.959261,-11.131914,-26.637138
17,,,,,,,,7.5502677,-7.1118937,-7.7166333,-12.417826,-13.84509,-17.660118
18,,,,,,,,11.301681,-5.3151436,-6.569215,-9.028284,-9.188723,-18.897598
19,,,,,,,,14.286338,-6.491514,-7.695977,-8.54137,-12.124322,-30.064901
20,,,,,,,,27.225435,-4.4074287,-7.1281495,-17.54237,-17.628365,-42.646595
21,,,,,,,,20.148426,-15.276113,-16.155237,-17.832176,-19.220747,-46.794254
22,,,,,,,,12.998729,-1.931578,-6.6844354,-7.0528355,-13.770538,-24.63704
23,,,,,,,,29.496479,-18.061836,-18.237581,-27.056973,-29.733839,-45.485943
24,,,,,,,,9.84418,-2.515264,-3.2715337,-3.353994,-5.285597,-21.2323
25,,,,,,,,17.652306,-4.6348953,-10.087572,-10.258413,-13.529587,-31.715822
26,,,,,,,,21.186605,-3.2220974,-3.3616495,-10.398515,-13.056078,-33.9962
27,,,,,,,,30.050398,-15.603747,-19.048155,-19.1032,-20.822533,-95.2086
28,,,,,,,,29.409681,-9.103221,-9.980948,-12.902378,-16.978872,-45.601227
29,,,,,,,,10.684843,1.7740391,1.082415,-0.6086154,-3.5312738,-20.558237
30,,,,,,,,14.05595,-6.621044,-9.966706,-10.430907,-14.584648,-49.213867
31,,,,,,,,9.661296,-13.892282,-14.886282,-15.802885,-17.352844,-24.825493
32,,,,,,,,19.645163,-11.90147,-13.317033,-14.120052,-18.159765,-32.15456
33,,,,,,,,15.674005,-5.0803614,-6.313609,-7.092066,-14.003559,-29.197708
34,,,,,,,,19.362192,-12.383081,-15.416004,-26.974144,-27.134521,-38.308865
35,,,,,,,,30.327578,-5.383183,-7.2249,-9.337705,-11.319008,-39.05824
36,,,,,,,,20.221035,-11.773547,-12.557555,-18.664505,-19.65769,-35.51225
37,,,,,,,,26.600073,-17.225584,-20.78336,-34.762943,-35.6975,-54.677204
38,,,,,,,,35.14049,4.4866204,-0.5300913,-2.9086297,-6.4745965,-45.988625
39,,,,,,,,17.41521,-10.813288,-10.906679,-14.831373,-17.045746,-30.2766
40,,,,,,,,26.933067,-14.370454,-16.491455,-16.826185,-20.02076,-51.30822
41,,,,,,,,6.904659,-13.547675,-14.28056,-14.68399,-15.291633,-25.777096
42,,,,,,,,19.528091,1.2676339,-1.4596417,-2.136802,-3.5500364,-35.88562
43,,,,,,,,14.10537,-8.684313,-9.107438,-9.705109,-13.8201,-30.462105
44,,,,,,,,15.070613,-9.135696,-10.481038,-15.289186,-19.445524,-42.734142
45,,,,,,,,19.548462,-12.723042,-13.702094,-14.87084,-22.822994,-40.642532
46,,,,,,,,8.754447,-10.847149,-14.857397,-15.736392,-17.272911,-22.755247
47,,,,,,,,49.576843,-5.92003,-11.045779,-13.681295,-14.255615,-63.711838
48,,,,,,,,8.469783,-1.5983467,-4.4385676,-5.212405,-6.101172,-29.003906
49,,,,,,,,20.83016,-11.00054,-11.636888,-14.634976,-15.56718,-57.258034
50,,,,,,,,19.895147,-12.998516,-13.2542,-15.725777,-17.721786,-59.774025
51,,,,,,,,22.870771,-21.411448,-21.566013,-25.113298,-25.625381,-58.911884
52,,,,,,,,44.268623,4.201911,-4.528783,-4.6491466,-6.0284348,-77.09775
53,,,,,,,,18.96899,2.0355866,1.9609691,-8.058798,-12.143442,-27.216427
54,,,,,,,,11.800741,-7.03712,-7.961496,-9.187796,-10.829712,-24.50622
55,,,,,,,,7.1992216,-10.081746,-10.170016,-12.095791,-13.552607,-22.08098
56,,,,,,,,27.510277,-21.978615,-24.294693,-26.363161,-26.783792,-67.85871
57,,,,,,,,18.146473,-10.312025,-11.364674,-13.678746,-15.183021,-34.395275
58,,,,,,,,22.506119,-4.75539,-5.566178,-15.571734,-15.703174,-33.298473
59,,,,,,,,30.818436,-17.315943,-18.55975,-22.534983,-24.279743,-48.674854
60,,,,,,,,20.58395,1.0844784,-2.8886335,-10.422868,-12.9290495,-33.346127
61,,,,,,,,21.15673,-1.4049039,-4.656668,-13.044715,-14.818814,-31.825794
62,,,,,,,,16.728443,-9.515042,-10.483316,-13.169293,-14.356563,-29.735872
63,,,,,,,,15.848725,-15.114902,-19.022902,-19.374987,-19.378616,-46.457413
64,,,,,,,,18.876183,-5.778843,-8.428037,-17.41767,-18.90667,-29.063148
65,,,,,,,,39.860386,-7.5004582,-8.997168,-10.157548,-10.71928,-54.165096
66,,,,,,,,24.777967,-13.643341,-16.76387,-17.539318,-18.020342,-36.104767
67,,,,,,,,12.746506,-3.6291423,-11.017432,-13.0426855,-13.189584,-22.36118
68,,,,,,,,19.825333,-6.786951,-7.6733427,-9.616377,-12.955946,-34.55817
69,,,,,,,,17.801003,-18.249392,-18.570349,-19.754776,-22.10455,-55.14825
70,,,,,,,,23.777536,-10.117644,-13.699712,-13.802109,-16.213015,-39.504448
71,,,,,,,,38.768044,3.2331624,2.0109038,0.08711685,-5.3570867,-71.26408
72,,,,,,,,19.103485,-9.630262,-17.556622,-17.858671,-18.567268,-30.197157
73,,,,,,,,22.602484,-8.030564,-12.355185,-18.6792,-18.708574,-30.894724
74,,,,,,,,24.368603,-15.300362,-15.76562,-18.357697,-20.278915,-74.19423
75,,,,,,,,16.98865,-13.154325,-16.626558,-19.392168,-19.566753,-44.18767
76,,,,,,,,19.566563,-9.639389,-11.269535,-11.923525,-12.801489,-32.785343
77,,,,,,,,27.218082,-12.020955,-17.106369,-21.420614,-22.072153,-40.575623
78,,,,,,,,19.727533,-11.611152,-20.961372,-23.368393,-25.38555,-36.474606
79,,,,,,,,34.31516,0.72181,0.2346847,-1.6151528,-6.86267,-61.347397
80,,,,,,,,6.678301,-3.4281342,-4.8378,-5.323757,-5.706106,-14.7097645
81,,,,,,,,15.885146,-12.758377,-17.03402,-21.914999,-23.179869,-42.581253
82,,,,,,,,31.401466,-18.19789,-18.732824,-19.4366,-20.733974,-50.41939
83,,,,,,,,17.392326,-4.720041,-9.594028,-12.740509,-14.534912,-23.261715
84,,,,,,,,29.516094,3.594005,-3.979739,-4.373384,-4.5024533,-53.929546
85,,,,,,,,6.80165,-11.650873,-13.19022,-14.089749,-16.842482,-24.59802
86,,,,,,,,17.71592,-9.892218,-14.213465,-18.400547,-18.471598,-60.846478
87,,,,,,,,21.232237,-10.573069,-10.943894,-13.511856,-16.848871,-41.829918
88,,,,,,,,23.994879,-20.325542,-20.341433,-22.594135,-22.940792,-57.670723
89,,,,,,,,35.8069,-5.496227,-6.8352394,-22.628248,-25.534552,-55.070213
90,,,,,,,,17.336983,-9.926471,-13.354086,-13.50906,-14.664555,-34.752216
91,,,,,,,,43.229572,4.4316034,4.011698,0.44113752,-5.7171164,-81.56316
92,,,,,,,,16.090942,-3.2970343,-4.097521,-9.413836,-11.21301,-24.87969
93,,,,,,,,16.503998,-1.5757552,-8.84855,-10.738544,-14.494474,-20.834171
94,,,,,,,,10.457224,-12.251273,-13.69948,-19.612785,-19.676905,-24.263512
95,,,,,,,,21.376661,-17.523487,-21.224726,-27.922935,-29.879839,-56.32408
96,,,,,,,,25.468739,1.1071701,0.81136453,-0.83448553,-3.0242703,-44.824337
97,,,,,,,,8.126624,-13.893671,-16.418055,-17.340672,-17.642294,-22.401426
98,,,,,,,,25.61688,-15.451128,-16.69904,-21.783024,-21.813234,-78.88094
99,,,,,,,,16.455627,-7.048349,-12.422895,-13.418294,-19.449186,-26.80015
100,,,,,,,,13.233172,0.33962852,-5.4020925,-7.910481,-8.311128,-22.952648
101,,,,,,,,43.035587,-0.67233264,-1.3006728,-5.149713,-9.146369,-75.85331
102,,,,,,,,19.417871,-9.3869505,-18.86043,-18.941387,-20.372673,-30.569454
