seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred,delta_first_prod_vs_second_prob,delta_first_prod_vs_third_prob,delta_first_prod_vs_fourth_prob
0,,,,,,,,5.6174154,14.320845,19.462809
1,,,,,,,,15.345557,25.064116,27.393902
2,,,,,,,,5.252533,8.034703,9.528361
3,,,,,,,,10.126113,10.743464,11.106845
4,,,,,,,,6.809471,9.18362,13.655241
5,,,,,,,,11.100929,13.9131365,16.709654
6,,,,,,,,12.1355715,12.894273,17.901518
7,,,,,,,,11.052797,18.665384,19.210617
8,,,,,,,,10.313526,11.039092,13.625639
9,,,,,,,,17.484865,20.193092,20.833853
10,,,,,,,,10.450773,11.094703,11.634576
11,,,,,,,,9.387045,9.591905,12.460223
12,,,,,,,,27.679623,31.418533,33.077805
13,,,,,,,,15.167926,16.514038,17.317575
14,,,,,,,,5.4306145,8.489504,13.51866
15,,,,,,,,10.929286,23.579441,23.712143
16,,,,,,,,7.804757,11.957726,19.822031
17,,,,,,,,10.213025,12.12058,12.152145
18,,,,,,,,3.4354467,7.783086,9.428137
19,,,,,,,,7.7386413,10.666572,12.535518
20,,,,,,,,13.926289,16.733952,26.708881
21,,,,,,,,14.70122,16.16917,19.900253
22,,,,,,,,5.553757,7.9557962,10.0273905
23,,,,,,,,9.286058,9.682998,12.826952
24,73,2.6093317290601235,0.3921568627450981,0.00784313725490196,1,3,2,0.11927986,0.54472756,5.08362
25,,,,,,,,13.23303,16.76221,29.024334
26,,,,,,,,7.0023804,12.316392,14.36455
27,,,,,,,,21.964014,25.884184,26.75744
28,,,,,,,,2.7767754,22.322205,23.576628
29,,,,,,,,6.4000864,8.885888,11.278651
30,,,,,,,,10.368882,10.872201,15.004394
31,,,,,,,,5.5934153,7.911319,8.312054
32,,,,,,,,8.083727,10.65149,12.177507
33,,,,,,,,4.170671,6.706832,12.881056
34,,,,,,,,11.131907,14.039646,16.44861
35,,,,,,,,11.057715,14.08662,14.134724
36,,,,,,,,10.093196,17.421894,18.171074
37,,,,,,,,22.421047,23.31524,23.66755
38,,,,,,,,10.273109,11.05049,18.47842
39,,,,,,,,6.2246304,7.752525,8.284297
40,,,,,,,,9.37549,11.06304,11.202811
41,,,,,,,,12.435007,13.744676,15.176134
42,,,,,,,,1.2576218,9.537152,11.511058
43,,,,,,,,11.955184,13.055418,13.590948
44,,,,,,,,10.554538,11.842957,14.431277
45,,,,,,,,11.245013,12.92089,14.4656
46,,,,,,,,8.44164,10.6044655,11.069765
47,,,,,,,,12.145661,13.702656,19.52753
48,,,,,,,,0.5398922,3.3529081,4.0706706
49,,,,,,,,9.867932,12.591873,24.400793
50,,,,,,,,8.057848,8.135995,8.290156
51,,,,,,,,11.457366,22.48581,22.573643
52,,,,,,,,13.0158,19.339125,20.649876
53,,,,,,,,4.8120193,6.485481,6.5068173
54,,,,,,,,9.067722,10.12227,11.885246
55,,,,,,,,0.460248,1.765265,8.316033
56,,,,,,,,20.218653,21.628574,25.078917
57,,,,,,,,8.538497,8.707367,15.236414
58,,,,,,,,10.929195,17.384596,20.682634
59,,,,,,,,6.095173,7.712329,10.9017105
60,,,,,,,,2.559925,6.8257084,9.441744
61,,,,,,,,9.664678,11.675742,14.129023
62,,,,,,,,11.762261,12.709767,18.817955
63,,,,,,,,9.742039,12.693068,13.45896
64,,,,,,,,3.9496465,7.193262,11.642623
65,,,,,,,,13.043708,15.246867,16.388453
66,,,,,,,,13.51341,22.00096,22.944355
67,,,,,,,,7.54997,7.800167,8.839928
68,,,,,,,,4.6244297,8.457993,8.554796
69,,,,,,,,17.305279,19.41147,23.316017
70,,,,,,,,3.1891143,3.8491206,4.3396993
71,,,,,,,,16.585396,23.206419,26.274918
72,,,,,,,,9.014034,11.293413,13.09476
73,,,,,,,,5.166064,5.9797163,8.615986
74,,,,,,,,4.3838844,9.020667,10.0814
75,,,,,,,,17.072563,17.53708,20.455954
76,,,,,,,,9.057188,10.791748,12.229289
77,,,,,,,,10.951368,11.491861,12.616203
78,,,,,,,,5.960282,6.0656075,9.051918
79,,,,,,,,4.050974,11.842905,19.349268
80,,,,,,,,0.30216455,1.3288747,3.60558
