seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred,first_largest,second_largest,third_largest,fourth_largest,fifth_largest,last_largest
0,,,,,,,,16.195528,10.578113,1.8746839,-3.2672799,-8.248802,-79.13624
1,,,,,,,,23.570925,8.225368,-1.4931899,-3.822977,-4.8862157,-51.522923
2,,,,,,,,9.76589,4.513357,1.7311866,0.23752856,-1.8589144,-10.5139675
3,,,,,,,,9.707811,-0.41830203,-1.0356528,-1.3990338,-3.4329803,-16.638542
4,,,,,,,,12.950676,6.141205,3.767055,-0.7045646,-3.9291072,-41.632072
5,,,,,,,,6.6527615,-4.4481683,-7.260375,-10.056892,-10.309654,-19.142626
6,,,,,,,,11.779887,-0.35568422,-1.1143852,-6.121631,-7.7425113,-47.46808
7,,,,,,,,12.396459,1.3436615,-6.268925,-6.8141584,-9.203761,-70.13015
8,,,,,,,,8.176728,-2.1367984,-2.862364,-5.448911,-6.6410575,-32.026794
9,,,,,,,,17.219643,-0.26522195,-2.9734502,-3.6142097,-5.330188,-11.834487
10,,,,,,,,7.041531,-3.4092417,-4.0531716,-4.5930448,-12.229155,-50.92072
11,,,,,,,,8.61553,-0.7715149,-0.9763746,-3.8446934,-5.6736746,-18.15062
12,,,,,,,,24.302473,-3.37715,-7.1160607,-8.775333,-12.783892,-65.08337
13,,,,,,,,15.502493,0.334567,-1.0115459,-1.8150818,-2.890603,-17.230806
14,,,,,,,,7.9128623,2.482248,-0.57664186,-5.6057973,-8.555785,-28.843554
15,,,,,,,,16.974777,6.045491,-6.6046634,-6.737365,-7.4621954,-42.756176
16,,,,,,,,8.617033,0.81227565,-3.3406925,-11.204998,-13.327346,-27.393696
17,,,,,,,,6.742604,-3.4704216,-5.377976,-5.409542,-8.6976795,-22.246368
18,,,,,,,,9.363408,5.9279613,1.5803225,-0.06472829,-2.245048,-16.242422
19,,,,,,,,10.910582,3.1719403,0.24400985,-1.6249362,-6.1653633,-44.320316
20,,,,,,,,19.437466,5.5111775,2.703515,-7.2714148,-7.5375156,-17.81666
21,,,,,,,,16.532722,1.8315034,0.3635527,-3.367531,-5.264755,-39.90976
22,,,,,,,,9.992343,4.4385858,2.0365467,-0.035047293,-1.6736223,-30.388718
23,,,,,,,,9.330749,0.04469005,-0.35224888,-3.496204,-4.0644536,-17.226395
24,139,3.6476870637477496,0.3921568627450981,0.0039215686274509665,1,2,3,1.6702678,1.550988,1.1255403,-3.4133525,-4.577861,-29.101942
25,,,,,,,,18.872534,5.6395035,2.110323,-10.1518,-10.538039,-81.5122
26,,,,,,,,12.506826,5.504446,0.1904344,-1.8577234,-3.2641773,-25.258364
27,,,,,,,,21.767403,-0.19661105,-4.116781,-4.9900384,-8.957506,-102.570625
28,,,,,,,,20.104088,17.327312,-2.2181177,-3.4725397,-6.6736813,-80.28101
29,,,,,,,,11.275947,4.87586,2.3900583,-0.0027045608,-1.8023633,-24.76732
30,,,,,,,,8.04598,-2.3229017,-2.8262205,-6.958413,-9.600797,-51.42642
31,,,,,,,,3.5393772,-2.054038,-4.3719416,-4.7726765,-5.866561,-44.59833
32,,,,,,,,11.218395,3.134668,0.56690526,-0.95911175,-6.0344224,-9.893859
33,,,,,,,,11.528966,7.358295,4.822134,-1.3520901,-3.2687454,-47.11213
34,,,,,,,,10.335518,-0.7963896,-3.7041283,-6.113093,-6.3079033,-26.224754
35,,,,,,,,11.044368,-0.013347328,-3.042253,-3.0903563,-8.192419,-17.952602
36,,,,,,,,14.804673,4.7114773,-2.61722,-3.3664017,-5.8465366,-24.448177
37,,,,,,,,19.824253,-2.5967934,-3.4909873,-3.843297,-6.938407,-21.411226
38,,,,,,,,7.9866047,-2.2865052,-3.063886,-10.4918165,-11.080154,-27.095163
39,,,,,,,,7.393465,1.1688348,-0.35905993,-0.89083207,-2.00413,-12.846256
