seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred,first_largest,second_largest,third_largest,fourth_largest,fifth_largest,last_largest
0,,,,,,,,67.372444,52.574505,9.215596,2.343924,-6.7581725,-102.11059
1,,,,,,,,51.330715,6.5552444,-7.032611,-9.404554,-10.35539,-64.80849
2,,,,,,,,20.939161,-4.9689674,-6.567815,-9.173789,-14.166912,-23.180319
3,,,,,,,,30.74063,4.0771713,-0.17120278,-5.8767157,-10.347773,-40.31283
4,,,,,,,,27.282299,15.890502,-9.30685,-15.039779,-20.703747,-62.93826
5,,,,,,,,30.731438,1.1661067,-4.4046717,-5.076609,-7.4446635,-43.786495
6,,,,,,,,24.527962,-8.831605,-13.37399,-15.5552025,-15.775441,-48.035614
7,,,,,,,,63.80462,17.50237,3.4713364,2.7578025,-16.592236,-106.08647
8,,,,,,,,15.836038,-1.6603111,-3.0661824,-4.428931,-5.5743446,-29.39621
9,,,,,,,,34.907703,-4.7880793,-11.365399,-11.3900175,-11.750747,-30.660511
10,,,,,,,,42.65524,6.6369777,-2.138556,-7.6596203,-35.459457,-89.826706
11,,,,,,,,28.102558,4.154691,0.5189605,-13.694772,-14.384581,-27.180258
12,,,,,,,,72.409706,12.71913,-19.970755,-20.101656,-20.610321,-118.07483
13,,,,,,,,42.69491,0.31230414,-5.3210654,-6.9680376,-21.97473,-55.979668
14,,,,,,,,24.833242,5.4355726,-1.4847512,-8.577362,-13.227242,-27.32606
15,,,,,,,,52.891037,11.044328,4.333212,-7.6529946,-14.81114,-66.55103
16,,,,,,,,35.145973,8.075928,-4.6235437,-6.3280506,-14.133237,-53.768875
17,,,,,,,,18.008196,-13.856982,-14.905025,-16.729977,-16.975454,-45.107784
18,,,,,,,,16.16126,7.734252,1.8009539,-1.8616778,-5.768095,-25.076315
19,,,,,,,,23.843105,2.0077226,1.72072,-0.15439978,-3.717165,-60.394478
20,,,,,,,,45.99313,-8.666437,-10.233814,-12.624398,-15.412186,-65.557686
21,,,,,,,,46.09707,10.187693,-1.4056761,-8.607891,-10.671583,-42.579178
22,,,,,,,,19.47089,11.962047,1.7028817,-9.186171,-11.169903,-40.15743
23,,,,,,,,32.485806,5.0185733,-2.2926903,-5.084144,-12.341679,-35.34915
