seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred,delta_first_prod_vs_second_prob,delta_first_prod_vs_third_prob,delta_first_prod_vs_fourth_prob
0,,,,,,,,11.12088,29.49622,48.645115
1,,,,,,,,19.233122,37.668766,47.464977
2,,,,,,,,20.67884,26.345636,28.632782
3,,,,,,,,27.896599,34.549927,34.559086
4,,,,,,,,16.633507,26.34634,31.148064
5,,,,,,,,28.863222,40.017025,40.352036
6,,,,,,,,31.376007,40.12245,41.748363
7,,,,,,,,54.005516,71.1785,74.51075
8,,,,,,,,20.381008,21.572372,23.12612
9,,,,,,,,37.942234,39.77352,44.545643
10,,,,,,,,30.391033,35.861023,41.328354
11,,,,,,,,20.052479,41.56866,45.559013
12,,,,,,,,65.5588,77.80988,80.49252
13,,,,,,,,38.991196,45.974564,51.645836
14,,,,,,,,18.473547,21.495226,24.448215
15,,,,,,,,19.839153,34.539673,40.3583
16,,,,,,,,14.499294,19.216305,21.950668
17,,,,,,,,24.26996,33.125317,36.190372
18,,,,,,,,18.464418,19.156708,28.863434
19,,,,,,,,17.471378,17.602865,27.044813
20,,,,,,,,25.33286,38.297825,45.33322
21,,,,,,,,27.023039,37.462616,39.03276
22,,,,,,,,13.591709,21.28711,34.073715
23,,,,,,,,22.654325,26.000668,29.012201
24,,,,,,,,6.472452,6.8996944,8.9199505
25,,,,,,,,17.974525,55.683083,69.82295
26,,,,,,,,25.314466,25.40474,27.505962
27,,,,,,,,57.009224,73.68213,87.527054
28,,,,,,,,42.312202,43.336735,49.719685
29,,,,,,,,21.296852,24.168526,24.200588
30,,,,,,,,31.236633,32.14294,36.73949
31,,,,,,,,26.999754,39.376045,52.259586
32,,,,,,,,23.7259,38.13753,38.581768
33,,,,,,,,14.201637,15.199726,22.362688
34,,,,,,,,23.211044,23.244576,24.923899
35,,,,,,,,34.13353,35.753883,38.953846
36,,,,,,,,28.084406,36.978687,42.28766
37,,,,,,,,31.644684,38.56954,46.129623
38,,,,,,,,25.796816,31.36734,35.057617
39,,,,,,,,10.349554,27.182743,29.607042
40,,,,,,,,23.194191,26.019588,29.767529
41,,,,,,,,33.753983,42.87673,45.036232
42,,,,,,,,10.449263,17.123238,20.875813
43,,,,,,,,26.774305,29.885313,31.46154
44,,,,,,,,31.230145,34.732967,44.0116
45,,,,,,,,35.63315,37.7295,39.737003
46,,,,,,,,22.376148,28.026083,31.494019
47,,,,,,,,48.71791,57.566196,65.70807
48,,,,,,,,4.941197,11.721724,13.015899
49,,,,,,,,23.238235,41.95425,47.05971
50,,,,,,,,27.709414,30.517788,34.77979
51,,,,,,,,34.044277,54.888847,58.88504
52,,,,,,,,32.21608,40.174168,44.067577
53,,,,,,,,8.042311,12.656679,23.70718
54,,,,,,,,15.895411,23.00321,38.19053
55,,,,,,,,9.486515,12.29559,30.006966
56,,,,,,,,41.968464,46.82902,48.017574
57,,,,,,,,23.5887,28.335886,33.28844
58,,,,,,,,52.323685,57.57545,61.40931
59,,,,,,,,22.302753,26.91522,30.737991
60,,,,,,,,28.79589,32.04858,32.39892
61,,,,,,,,23.108652,27.923204,35.58686
62,,,,,,,,34.727127,37.575928,53.817097
63,,,,,,,,18.332676,37.431694,37.800545
64,,,,,,,,25.10296,27.13242,29.985226
65,,,,,,,,37.446568,51.160927,58.774536
66,,,,,,,,25.728407,45.814114,46.418434
67,,,,,,,,18.918049,24.09946,28.383139
68,,,,,,,,9.13234,16.84455,23.427605
69,,,,,,,,40.95054,44.941795,45.09131
70,,,,,,,,8.066256,9.486197,19.689285
71,,,,,,,,27.664742,30.523901,36.282547
72,,,,,,,,17.242395,20.747904,23.736382
73,,,,,,,,28.25116,32.59592,37.283882
74,,,,,,,,44.150948,53.615364,55.612938
75,,,,,,,,36.01681,40.608627,42.512783
76,,,,,,,,42.22021,46.316933,47.108116
77,,,,,,,,21.638367,24.788616,26.813562
78,,,,,,,,16.43738,21.252792,27.306675
79,,,,,,,,18.434277,21.913313,21.94712
80,,,,,,,,7.797269,8.858121,12.968828
81,,,,,,,,36.746925,45.924206,47.897682
82,,,,,,,,43.74231,55.853218,71.38548
83,,,,,,,,24.959883,28.845661,29.52732
84,,,,,,,,17.98555,27.488565,41.075375
85,,,,,,,,16.70994,27.27432,32.767117
86,,,,,,,,23.617476,27.365433,31.905727
87,,,,,,,,38.313828,38.84116,46.90284
88,,,,,,,,41.25211,43.62653,45.930477
89,,,,,,,,55.15948,59.466362,62.09486
90,,,,,,,,37.391186,51.03484,63.289383
91,,,,,,,,20.407421,32.423878,32.93678
92,,,,,,,,16.229122,24.406315,27.801233
93,,,,,,,,27.337442,35.87159,36.187874
94,,,,,,,,28.585617,39.492874,40.782494
95,,,,,,,,37.887882,48.90744,56.66244
96,,,,,,,,24.050755,25.497366,31.27868
97,,,,,,,,28.188951,34.915844,41.447315
98,,,,,,,,27.059519,30.749653,38.134876
99,,,,,,,,10.260409,14.52886,15.615711
100,,,,,,,,25.398531,29.18298,29.382828
101,,,,,,,,23.327688,32.894627,38.424637
102,,,,,,,,16.753351,17.952099,27.413574
103,,,,,,,,19.305288,24.16494,32.028526
104,,,,,,,,25.987877,26.963583,35.843594
105,,,,,,,,11.320516,26.686615,27.045168
106,,,,,,,,31.229286,39.815643,57.999805
107,,,,,,,,57.67272,63.351707,67.60949
108,,,,,,,,11.581712,26.064798,26.582682
109,,,,,,,,12.894682,31.601946,36.410576
110,,,,,,,,25.782604,28.989887,39.402145
111,,,,,,,,66.02465,72.76731,83.53127
112,,,,,,,,24.498508,25.211884,31.816902
113,,,,,,,,18.651836,22.528004,32.92456
114,,,,,,,,39.744106,41.542305,44.268703
115,,,,,,,,32.81517,46.290844,54.43744
116,,,,,,,,31.495506,40.443775,41.82403
117,,,,,,,,11.616932,49.21753,53.53058
118,,,,,,,,13.335836,25.222672,27.638243
119,,,,,,,,53.643238,56.736794,66.45136
120,,,,,,,,21.423409,33.78902,37.91065
121,,,,,,,,53.140945,54.37075,65.68931
122,,,,,,,,49.1448,55.89578,66.78563
123,,,,,,,,29.55259,40.644325,46.17204
124,,,,,,,,18.454243,21.24504,21.425186
125,,,,,,,,35.13121,35.986443,38.17022
126,,,,,,,,26.437435,45.64215,65.255325
127,,,,,,,,30.250607,40.39064,44.30154
128,,,,,,,,26.513823,31.592564,33.940872
129,,,,,,,,40.247654,47.121708,53.073322
130,,,,,,,,38.812336,48.813786,54.10735
131,,,,,,,,42.199062,44.593136,52.89143
132,,,,,,,,0.4069376,11.264301,11.457219
133,,,,,,,,33.344765,33.474995,34.969143
134,,,,,,,,3.634291,6.000405,6.5267086
135,,,,,,,,78.288795,81.8586,86.36582
136,,,,,,,,29.023834,42.403862,43.859432
137,,,,,,,,15.708695,21.306858,22.515837
138,,,,,,,,15.361191,23.556034,38.06953
139,,,,,,,,27.048786,32.950333,39.395676
140,,,,,,,,17.499954,19.462118,23.120346
141,,,,,,,,13.269951,15.134275,17.996695
142,,,,,,,,26.341421,33.99729,48.572952
143,,,,,,,,12.458151,14.9588585,19.79234
144,,,,,,,,9.403677,15.8201475,25.046886
145,,,,,,,,32.09121,36.406944,42.794567
146,,,,,,,,21.021046,31.11979,36.160007
147,,,,,,,,32.33104,45.654736,49.857517
148,72,2.3113214496304324,0.3921568627450981,0.00392156862745098,7,9,4,0.98739576,2.3647227,3.494643
149,,,,,,,,51.585445,55.71855,64.50575
150,,,,,,,,21.561134,26.698452,31.530632
151,,,,,,,,31.925697,55.593704,56.21044
152,,,,,,,,25.204182,33.035736,37.335407
153,,,,,,,,21.786472,27.858545,28.308548
154,,,,,,,,14.908836,16.924557,28.812946
155,,,,,,,,44.7624,48.8181,53.341217
156,,,,,,,,30.91939,35.305237,40.977592
157,,,,,,,,56.92105,60.384655,60.52568
158,,,,,,,,4.7386923,8.002095,16.707653
159,,,,,,,,32.6921,44.86259,47.8498
160,,,,,,,,3.0651193,13.904857,16.033562
161,,,,,,,,51.58834,55.406216,59.730663
162,,,,,,,,22.952969,23.656616,33.446224
163,,,,,,,,33.53053,43.558064,54.62216
164,,,,,,,,38.48136,52.14907,56.135674
165,,,,,,,,49.876987,62.534668,81.872185
166,,,,,,,,42.451138,44.864876,47.45932
167,,,,,,,,26.120956,28.663692,33.986076
168,,,,,,,,20.370579,32.085396,36.636703
169,,,,,,,,46.605072,47.08127,47.699604
170,,,,,,,,32.55803,36.896595,40.653637
171,,,,,,,,58.203606,63.987312,69.37305
172,,,,,,,,13.518045,14.571728,21.53821
173,,,,,,,,12.484276,18.450577,21.469597
174,,,,,,,,22.336683,28.960598,30.912283
175,,,,,,,,24.913013,34.026207,59.604294
176,,,,,,,,27.22859,29.195166,30.846771
177,,,,,,,,19.259487,24.023176,26.397184
178,,,,,,,,28.747505,34.69628,39.355843
179,,,,,,,,47.36169,56.30368,60.804333
180,,,,,,,,5.4412003,12.305584,20.554768
181,,,,,,,,31.589817,42.886047,49.54126
182,,,,,,,,15.705418,28.600328,34.185658
183,,,,,,,,36.300133,43.09368,45.92836
184,,,,,,,,16.107151,24.368433,30.254772
185,,,,,,,,38.362972,40.033478,40.5363
186,,,,,,,,32.23074,33.79951,38.674335
187,,,,,,,,37.35544,52.305645,55.81872
188,,,,,,,,20.358541,36.01672,36.045807
189,,,,,,,,13.897383,24.81122,31.94865
190,,,,,,,,13.691259,16.084839,34.789692
191,,,,,,,,33.89854,34.57731,45.409492
192,,,,,,,,16.95587,37.87804,40.39658
193,,,,,,,,23.393559,32.66912,35.13157
194,,,,,,,,28.662428,47.952805,54.30531
195,,,,,,,,30.893784,34.71994,35.277187
196,,,,,,,,39.965206,42.953323,43.468044
197,,,,,,,,31.706684,39.436264,43.3844
198,,,,,,,,11.496361,46.152313,56.849907
199,,,,,,,,26.924568,29.863684,37.685257
200,,,,,,,,30.205093,36.44644,36.71639
201,,,,,,,,24.077957,34.7963,36.66984
202,,,,,,,,17.925022,25.787249,27.188395
203,,,,,,,,33.974834,43.563503,45.262592
204,,,,,,,,27.114582,38.7642,50.794224
205,,,,,,,,20.620579,30.15054,34.030502
206,,,,,,,,40.514534,41.627834,48.25909
207,,,,,,,,23.116438,23.672047,31.11526
208,,,,,,,,16.808376,23.748293,35.782154
209,,,,,,,,43.756832,45.54974,58.03786
210,,,,,,,,18.773617,26.538973,26.892317
211,,,,,,,,30.410536,37.93266,39.98999
212,,,,,,,,4.0483465,6.2422876,6.648918
213,,,,,,,,58.791077,65.85407,66.5399
214,,,,,,,,33.793175,43.14425,53.755783
215,,,,,,,,55.171818,63.39709,65.38323
216,,,,,,,,16.403776,21.767752,23.973372
217,,,,,,,,28.815401,33.794353,35.040833
218,,,,,,,,15.106234,28.393063,29.600407
219,,,,,,,,33.757324,34.832703,47.3099
220,,,,,,,,51.136803,52.229877,67.56911
221,,,,,,,,59.432945,59.94207,64.75499
222,,,,,,,,29.364717,37.296772,39.916702
