seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred,delta_first_prod_vs_second_prob,delta_first_prod_vs_third_prob,delta_first_prod_vs_fourth_prob
0,,,,,,,,5.585126,13.621087,15.627096
1,,,,,,,,9.619505,13.943228,16.37426
2,,,,,,,,3.153911,3.967127,4.9713306
3,,,,,,,,6.6886916,6.883131,8.859037
4,,,,,,,,5.692483,6.0854425,7.5376763
5,,,,,,,,5.943,6.2791038,11.844402
6,,,,,,,,9.429953,11.105959,11.665045
7,,,,,,,,10.956815,13.965578,17.852543
8,,,,,,,,8.794998,8.93804,9.217736
9,,,,,,,,7.4125676,8.165516,9.596069
10,,,,,,,,12.590019,12.900558,15.9534
11,,,,,,,,4.804266,6.9882183,9.581623
12,,,,,,,,25.914387,28.349756,38.51571
13,,,,,,,,12.653097,15.115383,15.712614
14,,,,,,,,9.601789,11.171354,11.202486
15,,,,,,,,9.026507,14.67991,17.768871
16,,,,,,,,4.156989,6.9508905,7.7704244
17,,,,,,,,7.251499,7.459395,7.9157686
18,,,,,,,,4.298271,5.044072,9.81921
19,,,,,,,,3.41258,3.736272,10.21627
20,,,,,,,,6.8673897,14.107312,14.138315
21,,,,,,,,9.324113,11.794876,13.754709
22,,,,,,,,2.5386963,3.6831145,3.905108
23,,,,,,,,8.396006,9.591151,10.06254
24,,,,,,,,0.84454125,1.2267094,2.991471
25,,,,,,,,6.825886,14.382561,15.423901
26,,,,,,,,4.253108,7.629317,7.888467
27,,,,,,,,14.100263,19.95462,21.460346
28,,,,,,,,3.8488007,7.6187735,12.050614
29,,,,,,,,5.2436047,5.616152,5.73003
30,,,,,,,,6.2569137,10.2674885,14.039171
31,,,,,,,,6.44207,7.842789,8.8947525
32,,,,,,,,9.600914,9.7364235,11.520499
33,,,,,,,,0.9009018,7.5775876,9.419396
34,,,,,,,,6.625399,7.874464,8.585949
35,,,,,,,,3.5915556,4.386915,5.875161
36,,,,,,,,12.78841,13.256055,13.63846
37,,,,,,,,10.218955,11.380572,17.062
38,,,,,,,,0.23553896,3.9928842,4.7825155
39,,,,,,,,4.068303,5.5286193,5.614107
40,,,,,,,,8.74421,9.12242,10.516325
41,,,,,,,,9.111954,10.0615635,10.398241
42,,,,,,,,6.3943377,7.216423,7.6205363
43,,,,,,,,5.406043,5.797073,10.02647
44,,,,,,,,8.30526,9.480025,10.032032
45,,,,,,,,7.685799,7.8538895,9.224857
46,,,,,,,,9.094314,10.542984,10.968161
47,,,,,,,,6.122294,6.786372,8.770596
48,,,,,,,,0.312011,0.4936068,1.0406631
49,,,,,,,,8.335545,15.365841,18.768562
50,,,,,,,,7.544915,11.980003,12.635672
51,,,,,,,,12.542144,16.91848,19.831627
52,,,,,,,,6.724209,13.668122,17.551468
53,,,,,,,,3.318139,3.9148107,5.983671
54,,,,,,,,7.876887,8.4294,11.242647
55,,,,,,,,4.8875875,6.543722,15.466127
56,,,,,,,,12.461533,16.168962,18.324812
57,,,,,,,,8.150214,8.25857,9.276982
58,,,,,,,,5.8300085,10.811273,12.424143
59,,,,,,,,7.5584393,8.01542,9.40083
60,,,,,,,,8.2860365,18.055138,20.31706
61,,,,,,,,5.6253486,5.688189,7.3783913
62,,,,,,,,9.052795,10.95446,11.1188345
63,,,,,,,,9.205537,11.184849,11.332897
64,,,,,,,,7.877262,8.869978,9.06523
65,,,,,,,,3.0737634,4.161919,8.983627
66,,,,,,,,11.163645,23.428383,23.604717
67,,,,,,,,9.291829,10.348354,10.485238
68,,,,,,,,1.3692598,4.533632,6.525091
69,,,,,,,,9.7783,12.013773,14.707046
70,,,,,,,,0.2863617,5.179556,7.5735946
71,,,,,,,,13.806885,15.4203415,19.369207
72,,,,,,,,7.444089,7.90727,9.505199
73,,,,,,,,9.034074,9.340664,11.85471
74,,,,,,,,11.826454,14.741928,15.663048
75,,,,,,,,9.20436,12.10582,12.3761
76,,,,,,,,8.653066,9.522699,11.92527
77,,,,,,,,8.197992,8.781176,8.848079
78,,,,,,,,4.9082546,7.751318,8.481998
79,,,,,,,,6.7712183,11.029668,16.093552
80,,,,,,,,5.8919663,6.620756,6.8142805
81,,,,,,,,10.057146,10.87501,12.639185
82,,,,,,,,12.237563,15.451273,19.163303
83,,,,,,,,5.8805633,6.0662374,11.628736
84,,,,,,,,6.664097,6.6913424,9.543259
85,,,,,,,,4.96601,5.478715,10.672803
86,,,,,,,,6.752166,11.130119,11.1707535
87,,,,,,,,6.0814404,9.074835,9.463648
88,,,,,,,,8.205366,11.779409,14.559944
89,,,,,,,,6.0614114,11.927809,13.232998
90,,,,,,,,17.708265,21.108778,23.324986
91,,,,,,,,14.831396,22.60738,23.469631
92,,,,,,,,6.4144354,7.474636,7.6493206
93,,,,,,,,8.466536,9.499568,10.442945
94,,,,,,,,7.8679132,7.971382,8.219417
95,,,,,,,,11.276054,16.654743,16.790356
96,,,,,,,,7.806862,7.811429,12.237832
97,,,,,,,,9.982995,10.879305,11.299678
98,,,,,,,,10.470112,11.897521,12.315512
99,,,,,,,,3.6622162,6.204483,7.943107
100,,,,,,,,1.8448639,5.3281016,6.118821
101,,,,,,,,7.497348,8.622345,9.963539
102,,,,,,,,9.88984,11.136308,11.973229
103,,,,,,,,11.182534,12.495849,17.006947
104,,,,,,,,6.876713,7.4628134,8.611069
105,,,,,,,,9.483122,9.606811,12.63157
106,,,,,,,,8.669174,12.734388,17.513481
107,,,,,,,,8.361713,14.068208,17.94524
108,,,,,,,,6.0267534,6.5937023,11.507512
109,,,,,,,,5.7038994,7.820176,8.984376
110,,,,,,,,8.04595,8.314324,9.917932
111,,,,,,,,14.152199,20.527143,21.927864
112,,,,,,,,7.4150796,8.208948,8.82276
113,,,,,,,,10.955135,12.013339,13.798164
114,,,,,,,,11.582417,15.303338,22.874554
115,,,,,,,,7.090931,10.077892,11.219858
116,,,,,,,,5.7607045,8.440003,9.178816
117,,,,,,,,8.323058,11.907461,14.694338
118,,,,,,,,5.922494,8.079948,8.198633
119,,,,,,,,14.200144,17.174047,20.783823
120,,,,,,,,5.2673774,8.061229,8.614478
121,,,,,,,,14.121232,14.557825,14.623308
122,,,,,,,,9.059996,9.388081,10.218627
